,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,7.4545,95.977295,6.8545003
1,2021-01-01 01:00:00+00:00,7.3045,96.30262,6.7545004
2,2021-01-01 02:00:00+00:00,9.6045,92.85381,8.5045
3,2021-01-01 03:00:00+00:00,12.7045,80.33604,9.4045
4,2021-01-01 04:00:00+00:00,15.804501,68.20448,9.9545
5,2021-01-01 05:00:00+00:00,18.3545,56.690933,9.6045
6,2021-01-01 06:00:00+00:00,20.0045,45.447563,7.8545003
7,2021-01-01 07:00:00+00:00,21.0045,40.182053,6.9545
8,2021-01-01 08:00:00+00:00,21.5545,38.716694,6.9045
9,2021-01-01 09:00:00+00:00,21.8045,37.352276,6.6045003
10,2021-01-01 10:00:00+00:00,21.4545,37.380608,6.3045
11,2021-01-01 11:00:00+00:00,18.654501,51.660023,8.5045
12,2021-01-01 12:00:00+00:00,15.9545,54.568466,6.8045
13,2021-01-01 13:00:00+00:00,14.7545,56.943764,6.3045
14,2021-01-01 14:00:00+00:00,13.4045,61.509777,6.1545
15,2021-01-01 15:00:00+00:00,12.5045,65.914986,6.3045
16,2021-01-01 16:00:00+00:00,11.8545,69.7474,6.5045004
17,2021-01-01 17:00:00+00:00,10.9045,75.04293,6.6545
18,2021-01-01 18:00:00+00:00,10.3545,78.64726,6.8045
19,2021-01-01 19:00:00+00:00,10.1545,79.7045,6.8045
20,2021-01-01 20:00:00+00:00,9.8545,81.88001,6.9045
21,2021-01-01 21:00:00+00:00,8.9545,87.884964,7.0545
22,2021-01-01 22:00:00+00:00,8.7045,89.687675,7.1045003
23,2021-01-01 23:00:00+00:00,8.054501,91.5044,6.7545004
24,2021-01-02 00:00:00+00:00,7.2545004,95.6418,6.6045003
25,2021-01-02 01:00:00+00:00,6.9045,96.291,6.3545003
26,2021-01-02 02:00:00+00:00,9.054501,93.139725,8.0045
27,2021-01-02 03:00:00+00:00,12.1045,80.25272,8.804501
28,2021-01-02 04:00:00+00:00,15.304501,69.25472,9.7045
29,2021-01-02 05:00:00+00:00,17.8545,60.49189,10.1045
30,2021-01-02 06:00:00+00:00,19.654501,51.05975,9.2545
31,2021-01-02 07:00:00+00:00,20.8045,44.904057,8.4045
32,2021-01-02 08:00:00+00:00,21.6045,40.767754,7.7045
33,2021-01-02 09:00:00+00:00,21.904501,37.76774,6.8545003
34,2021-01-02 10:00:00+00:00,21.654501,37.696213,6.6045003
35,2021-01-02 11:00:00+00:00,18.904501,61.957996,11.4545
36,2021-01-02 12:00:00+00:00,16.0045,60.050896,8.2545
37,2021-01-02 13:00:00+00:00,14.7545,65.506775,8.3545
38,2021-01-02 14:00:00+00:00,13.6545,69.1582,8.1045
39,2021-01-02 15:00:00+00:00,12.7545,73.83991,8.2045
40,2021-01-02 16:00:00+00:00,11.9045,78.345184,8.2545
41,2021-01-02 17:00:00+00:00,11.5045,79.3565,8.054501
42,2021-01-02 18:00:00+00:00,11.6045,77.76899,7.8545003
43,2021-01-02 19:00:00+00:00,11.3545,78.52886,7.7545004
44,2021-01-02 20:00:00+00:00,11.0045,81.473236,7.9545
45,2021-01-02 21:00:00+00:00,11.0045,83.150215,8.2545
46,2021-01-02 22:00:00+00:00,12.0045,80.782745,8.804501
47,2021-01-02 23:00:00+00:00,11.554501,83.78052,8.9045
48,2021-01-03 00:00:00+00:00,10.6045,90.74665,9.1545
49,2021-01-03 01:00:00+00:00,10.4045,91.34656,9.054501
50,2021-01-03 02:00:00+00:00,10.804501,91.06616,9.4045
51,2021-01-03 03:00:00+00:00,13.9545,76.833374,9.9545
52,2021-01-03 04:00:00+00:00,16.654501,64.824936,10.0045
53,2021-01-03 05:00:00+00:00,18.8045,55.860783,9.804501
54,2021-01-03 06:00:00+00:00,20.6045,46.865334,8.8545
55,2021-01-03 07:00:00+00:00,21.0545,44.06963,8.3545
56,2021-01-03 08:00:00+00:00,21.7045,41.778492,8.1545
57,2021-01-03 09:00:00+00:00,22.0545,40.206573,7.9045
58,2021-01-03 10:00:00+00:00,21.654501,40.229797,7.5545
59,2021-01-03 11:00:00+00:00,19.8545,53.03299,10.0045
60,2021-01-03 12:00:00+00:00,17.8545,61.51027,10.3545
61,2021-01-03 13:00:00+00:00,18.7045,54.906345,9.4545
62,2021-01-03 14:00:00+00:00,16.654501,63.962704,9.804501
63,2021-01-03 15:00:00+00:00,16.0545,64.91079,9.4545
64,2021-01-03 16:00:00+00:00,14.6545,70.77271,9.4045
65,2021-01-03 17:00:00+00:00,14.4045,74.129166,9.8545
66,2021-01-03 18:00:00+00:00,13.804501,77.06723,9.8545
67,2021-01-03 19:00:00+00:00,15.7045,67.276115,9.6545
68,2021-01-03 20:00:00+00:00,15.2545,69.47738,9.7045
69,2021-01-03 21:00:00+00:00,14.554501,73.16891,9.804501
70,2021-01-03 22:00:00+00:00,14.0045,76.32878,9.9045
71,2021-01-03 23:00:00+00:00,13.6045,78.86328,10.0045
72,2021-01-04 00:00:00+00:00,13.2045,83.97206,10.554501
73,2021-01-04 01:00:00+00:00,12.7045,86.18561,10.4545
74,2021-01-04 02:00:00+00:00,13.4545,84.8421,10.9545
75,2021-01-04 03:00:00+00:00,15.6545,72.637184,10.7545
76,2021-01-04 04:00:00+00:00,17.1045,67.11941,10.9545
77,2021-01-04 05:00:00+00:00,19.4545,58.693447,11.1545
78,2021-01-04 06:00:00+00:00,21.0545,53.87735,11.3545
79,2021-01-04 07:00:00+00:00,22.3045,49.094006,11.1045
80,2021-01-04 08:00:00+00:00,23.2545,46.5004,11.1545
81,2021-01-04 09:00:00+00:00,23.7045,45.255493,11.1545
82,2021-01-04 10:00:00+00:00,23.5545,45.666245,11.1545
83,2021-01-04 11:00:00+00:00,21.7545,63.420048,14.5045
84,2021-01-04 12:00:00+00:00,19.8045,62.779106,12.5045
85,2021-01-04 13:00:00+00:00,17.404501,72.47469,12.4045
86,2021-01-04 14:00:00+00:00,16.4545,75.469826,12.1045
87,2021-01-04 15:00:00+00:00,15.6545,78.12537,11.8545
88,2021-01-04 16:00:00+00:00,15.1045,80.66436,11.804501
89,2021-01-04 17:00:00+00:00,14.5045,83.84376,11.804501
90,2021-01-04 18:00:00+00:00,14.2045,85.48594,11.804501
91,2021-01-04 19:00:00+00:00,13.7045,88.8877,11.9045
92,2021-01-04 20:00:00+00:00,15.2045,80.677864,11.9045
93,2021-01-04 21:00:00+00:00,15.4545,79.91871,12.0045
94,2021-01-04 22:00:00+00:00,15.1045,83.63772,12.3545
95,2021-01-04 23:00:00+00:00,15.054501,82.8113,12.1545
96,2021-01-05 00:00:00+00:00,15.6045,82.067375,12.554501
97,2021-01-05 01:00:00+00:00,14.054501,89.20889,12.304501
98,2021-01-05 02:00:00+00:00,14.8545,87.82556,12.8545
99,2021-01-05 03:00:00+00:00,17.5045,76.63534,13.3545
100,2021-01-05 04:00:00+00:00,20.1045,66.64562,13.7045
101,2021-01-05 05:00:00+00:00,22.1045,58.94473,13.7045
102,2021-01-05 06:00:00+00:00,23.9545,52.19074,13.554501
103,2021-01-05 07:00:00+00:00,24.7045,48.454994,13.1045
104,2021-01-05 08:00:00+00:00,24.404501,49.011257,13.0045
105,2021-01-05 09:00:00+00:00,23.0545,57.475037,14.2045
106,2021-01-05 10:00:00+00:00,22.7045,57.95091,14.0045
107,2021-01-05 11:00:00+00:00,21.154501,63.081974,13.8545
108,2021-01-05 12:00:00+00:00,20.7545,65.4962,14.054501
109,2021-01-05 13:00:00+00:00,19.904501,68.80272,14.0045
110,2021-01-05 14:00:00+00:00,19.3045,71.87886,14.1045
111,2021-01-05 15:00:00+00:00,18.7545,76.58389,14.554501
112,2021-01-05 16:00:00+00:00,18.5045,75.55991,14.1045
113,2021-01-05 17:00:00+00:00,17.9545,78.72143,14.2045
114,2021-01-05 18:00:00+00:00,17.5545,80.46889,14.1545
115,2021-01-05 19:00:00+00:00,17.4545,79.935455,13.9545
116,2021-01-05 20:00:00+00:00,17.3545,79.66261,13.804501
117,2021-01-05 21:00:00+00:00,16.8545,80.898834,13.554501
118,2021-01-05 22:00:00+00:00,16.5045,82.71703,13.554501
119,2021-01-05 23:00:00+00:00,16.3045,83.77654,13.554501
120,2021-01-06 00:00:00+00:00,16.1045,86.802925,13.9045
121,2021-01-06 01:00:00+00:00,14.0045,93.69875,13.0045
122,2021-01-06 02:00:00+00:00,16.2045,87.66031,14.1545
123,2021-01-06 03:00:00+00:00,18.2545,80.045715,14.7545
124,2021-01-06 04:00:00+00:00,20.4545,72.319725,15.304501
125,2021-01-06 05:00:00+00:00,21.7045,66.76174,15.2545
126,2021-01-06 06:00:00+00:00,22.6045,62.193172,15.0045
127,2021-01-06 07:00:00+00:00,24.0545,54.113293,14.2045
128,2021-01-06 08:00:00+00:00,25.0045,48.377533,13.3545
129,2021-01-06 09:00:00+00:00,25.2045,47.80453,13.3545
130,2021-01-06 10:00:00+00:00,24.5045,53.87845,14.554501
131,2021-01-06 11:00:00+00:00,23.3545,58.295506,14.7045
132,2021-01-06 12:00:00+00:00,22.1045,64.52703,15.1045
133,2021-01-06 13:00:00+00:00,21.0045,69.91179,15.304501
134,2021-01-06 14:00:00+00:00,20.2045,72.50747,15.1045
135,2021-01-06 15:00:00+00:00,19.6045,74.531,14.9545
136,2021-01-06 16:00:00+00:00,18.904501,76.85479,14.7545
137,2021-01-06 17:00:00+00:00,18.3045,78.772224,14.554501
138,2021-01-06 18:00:00+00:00,17.8045,81.02439,14.5045
139,2021-01-06 19:00:00+00:00,17.5545,82.844055,14.6045
140,2021-01-06 20:00:00+00:00,17.0045,86.608696,14.7545
141,2021-01-06 21:00:00+00:00,16.3045,89.964325,14.6545
142,2021-01-06 22:00:00+00:00,15.4045,92.55964,14.2045
143,2021-01-06 23:00:00+00:00,15.054501,93.14255,13.9545
144,2021-01-07 00:00:00+00:00,14.7545,94.95901,13.9545
145,2021-01-07 01:00:00+00:00,14.1545,95.55641,13.4545
146,2021-01-07 02:00:00+00:00,16.0545,91.40959,14.6545
147,2021-01-07 03:00:00+00:00,18.7045,80.365,15.2545
148,2021-01-07 04:00:00+00:00,21.2545,68.62651,15.2545
149,2021-01-07 05:00:00+00:00,23.2545,59.027824,14.804501
150,2021-01-07 06:00:00+00:00,24.8545,52.423485,14.4545
151,2021-01-07 07:00:00+00:00,26.1045,47.12138,13.9545
152,2021-01-07 08:00:00+00:00,27.0045,43.11779,13.4045
153,2021-01-07 09:00:00+00:00,27.404501,41.0331,13.0045
154,2021-01-07 10:00:00+00:00,27.154501,40.829693,12.7045
155,2021-01-07 11:00:00+00:00,24.9545,49.15799,13.554501
156,2021-01-07 12:00:00+00:00,21.904501,55.89964,12.7045
157,2021-01-07 13:00:00+00:00,21.1045,59.28421,12.8545
158,2021-01-07 14:00:00+00:00,19.904501,67.0387,13.6045
159,2021-01-07 15:00:00+00:00,18.7045,72.9451,13.7545
160,2021-01-07 16:00:00+00:00,17.8545,76.44166,13.6545
161,2021-01-07 17:00:00+00:00,17.0545,79.62051,13.5045
162,2021-01-07 18:00:00+00:00,16.154501,84.032455,13.4545
163,2021-01-07 19:00:00+00:00,15.5045,87.59746,13.4545
164,2021-01-07 20:00:00+00:00,15.0045,89.57561,13.304501
165,2021-01-07 21:00:00+00:00,15.0045,89.86797,13.3545
166,2021-01-07 22:00:00+00:00,14.8545,90.73988,13.3545
167,2021-01-07 23:00:00+00:00,13.9545,92.78167,12.804501
168,2021-01-08 00:00:00+00:00,13.9045,95.54794,13.2045
169,2021-01-08 01:00:00+00:00,13.6045,96.1643,13.0045
170,2021-01-08 02:00:00+00:00,15.4545,92.26338,14.2045
171,2021-01-08 03:00:00+00:00,18.1045,81.850586,14.9545
172,2021-01-08 04:00:00+00:00,20.5045,71.40584,15.1545
173,2021-01-08 05:00:00+00:00,22.5045,61.177006,14.6545
174,2021-01-08 06:00:00+00:00,24.1045,52.229614,13.7045
175,2021-01-08 07:00:00+00:00,25.1045,47.46693,13.1545
176,2021-01-08 08:00:00+00:00,25.7045,45.505756,13.054501
