,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,16.137,84.030495,13.437
1,2021-01-01 01:00:00+00:00,15.187,90.762634,13.687
2,2021-01-01 02:00:00+00:00,15.187,91.651276,13.837001
3,2021-01-01 03:00:00+00:00,17.837,79.73002,14.287001
4,2021-01-01 04:00:00+00:00,20.837,68.32333,14.787001
5,2021-01-01 05:00:00+00:00,23.536999,59.859013,15.287001
6,2021-01-01 06:00:00+00:00,25.687,54.35101,15.787001
7,2021-01-01 07:00:00+00:00,27.137,51.185257,16.187
8,2021-01-01 08:00:00+00:00,28.187,49.066414,16.487
9,2021-01-01 09:00:00+00:00,28.737,48.130836,16.687
10,2021-01-01 10:00:00+00:00,28.837,47.85262,16.687
11,2021-01-01 11:00:00+00:00,28.536999,48.84759,16.737
12,2021-01-01 12:00:00+00:00,26.536999,59.610523,18.036999
13,2021-01-01 13:00:00+00:00,24.286999,64.78945,17.237
14,2021-01-01 14:00:00+00:00,23.487,65.653305,16.687
15,2021-01-01 15:00:00+00:00,22.536999,69.317894,16.637
16,2021-01-01 16:00:00+00:00,21.687,72.53993,16.536999
17,2021-01-01 17:00:00+00:00,21.536999,69.79015,15.787001
18,2021-01-01 18:00:00+00:00,20.337,64.98311,13.537001
19,2021-01-01 19:00:00+00:00,19.237,63.481205,12.137
20,2021-01-01 20:00:00+00:00,18.536999,64.5923,11.737
21,2021-01-01 21:00:00+00:00,18.137,65.363686,11.537001
22,2021-01-01 22:00:00+00:00,17.837,65.08293,11.187
23,2021-01-01 23:00:00+00:00,17.437,65.429344,10.887
24,2021-01-02 00:00:00+00:00,17.087,67.33893,10.987
25,2021-01-02 01:00:00+00:00,16.687,66.58707,10.437
26,2021-01-02 02:00:00+00:00,16.337,65.84902,9.937
27,2021-01-02 03:00:00+00:00,17.587,60.428505,9.837001
28,2021-01-02 04:00:00+00:00,19.487,54.739326,10.137
29,2021-01-02 05:00:00+00:00,21.687,50.58206,10.987
30,2021-01-02 06:00:00+00:00,24.036999,46.560486,11.887
31,2021-01-02 07:00:00+00:00,25.587,43.14945,12.137
32,2021-01-02 08:00:00+00:00,26.487,41.31742,12.287001
33,2021-01-02 09:00:00+00:00,26.987,40.383606,12.387
34,2021-01-02 10:00:00+00:00,27.137,39.76745,12.287001
35,2021-01-02 11:00:00+00:00,26.887,39.697575,12.037001
36,2021-01-02 12:00:00+00:00,24.786999,55.891483,15.387
37,2021-01-02 13:00:00+00:00,22.637,52.533127,12.437
38,2021-01-02 14:00:00+00:00,21.937,46.916744,10.087001
39,2021-01-02 15:00:00+00:00,20.737,45.037563,8.387
40,2021-01-02 16:00:00+00:00,19.687,44.896797,7.387
41,2021-01-02 17:00:00+00:00,18.837,44.19931,6.387
42,2021-01-02 18:00:00+00:00,17.887,41.98819,4.787
43,2021-01-02 19:00:00+00:00,16.737,45.62786,4.937
44,2021-01-02 20:00:00+00:00,15.837001,49.510845,5.287
45,2021-01-02 21:00:00+00:00,15.087001,52.493137,5.437
46,2021-01-02 22:00:00+00:00,14.437,55.119934,5.537
47,2021-01-02 23:00:00+00:00,13.737,57.877594,5.587
48,2021-01-03 00:00:00+00:00,13.487,64.56245,6.937
49,2021-01-03 01:00:00+00:00,12.987,65.793594,6.737
50,2021-01-03 02:00:00+00:00,12.637,66.399055,6.537
51,2021-01-03 03:00:00+00:00,14.487,58.869778,6.537
52,2021-01-03 04:00:00+00:00,17.087,51.41677,6.987
53,2021-01-03 05:00:00+00:00,19.987,45.597546,7.887
54,2021-01-03 06:00:00+00:00,22.536999,38.07808,7.537
55,2021-01-03 07:00:00+00:00,24.187,32.85679,6.837
56,2021-01-03 08:00:00+00:00,25.137,30.619658,6.637
57,2021-01-03 09:00:00+00:00,25.637,30.030636,6.787
58,2021-01-03 10:00:00+00:00,25.637,30.030636,6.787
59,2021-01-03 11:00:00+00:00,25.337,30.675695,6.837
60,2021-01-03 12:00:00+00:00,23.937,40.061733,9.537001
61,2021-01-03 13:00:00+00:00,22.237,39.850082,7.937
62,2021-01-03 14:00:00+00:00,21.137,41.902393,7.687
63,2021-01-03 15:00:00+00:00,20.286999,44.759346,7.887
64,2021-01-03 16:00:00+00:00,19.536999,45.939728,7.587
65,2021-01-03 17:00:00+00:00,18.887,46.86782,7.287
66,2021-01-03 18:00:00+00:00,18.237,47.49524,6.887
67,2021-01-03 19:00:00+00:00,16.937,53.530174,7.437
68,2021-01-03 20:00:00+00:00,16.637,54.932537,7.537
69,2021-01-03 21:00:00+00:00,16.137,56.70879,7.537
70,2021-01-03 22:00:00+00:00,15.537001,59.53157,7.687
71,2021-01-03 23:00:00+00:00,15.287001,62.585976,8.187
72,2021-01-04 00:00:00+00:00,15.187,69.23132,9.587001
73,2021-01-04 01:00:00+00:00,15.037001,71.561295,9.937
74,2021-01-04 02:00:00+00:00,14.937,74.9674,10.537001
75,2021-01-04 03:00:00+00:00,16.137,72.72445,11.237
76,2021-01-04 04:00:00+00:00,18.337,67.37469,12.187
77,2021-01-04 05:00:00+00:00,21.187,63.294228,13.937
78,2021-01-04 06:00:00+00:00,23.237,59.02366,14.787001
79,2021-01-04 07:00:00+00:00,24.837,53.962757,14.887
80,2021-01-04 08:00:00+00:00,25.887,50.533665,14.837001
81,2021-01-04 09:00:00+00:00,26.337,47.953175,14.437
82,2021-01-04 10:00:00+00:00,26.387,45.395885,13.637
83,2021-01-04 11:00:00+00:00,26.036999,43.84466,12.787001
84,2021-01-04 12:00:00+00:00,24.987,48.68899,13.437
85,2021-01-04 13:00:00+00:00,22.487,51.130314,11.887
86,2021-01-04 14:00:00+00:00,21.837,47.838844,10.287001
87,2021-01-04 15:00:00+00:00,21.286999,46.581333,9.387
88,2021-01-04 16:00:00+00:00,20.587,46.38802,8.687
89,2021-01-04 17:00:00+00:00,19.536999,47.6916,8.137
90,2021-01-04 18:00:00+00:00,18.487,51.790646,8.387
91,2021-01-04 19:00:00+00:00,17.286999,58.55767,9.087001
92,2021-01-04 20:00:00+00:00,16.687,62.276016,9.437
93,2021-01-04 21:00:00+00:00,16.286999,64.31114,9.537001
94,2021-01-04 22:00:00+00:00,15.687,67.27246,9.637
95,2021-01-04 23:00:00+00:00,15.037001,69.66781,9.537001
96,2021-01-05 00:00:00+00:00,15.187,68.76802,9.487
97,2021-01-05 01:00:00+00:00,14.687,67.29004,8.687
98,2021-01-05 02:00:00+00:00,13.937,70.396225,8.637
99,2021-01-05 03:00:00+00:00,16.087,61.51095,8.687
100,2021-01-05 04:00:00+00:00,18.187,55.70429,9.187
101,2021-01-05 05:00:00+00:00,20.587,51.479317,10.237
102,2021-01-05 06:00:00+00:00,22.987,46.119576,10.787001
103,2021-01-05 07:00:00+00:00,24.637,40.5287,10.337001
104,2021-01-05 08:00:00+00:00,25.687,37.567047,10.137
105,2021-01-05 09:00:00+00:00,26.187,36.47122,10.137
106,2021-01-05 10:00:00+00:00,26.286999,36.014824,10.037001
107,2021-01-05 11:00:00+00:00,25.887,36.63106,9.937
108,2021-01-05 12:00:00+00:00,24.036999,49.07346,12.687
109,2021-01-05 13:00:00+00:00,21.837,52.497883,11.687
110,2021-01-05 14:00:00+00:00,20.887,54.01292,11.237
111,2021-01-05 15:00:00+00:00,19.737,56.47001,10.837001
112,2021-01-05 16:00:00+00:00,18.987,57.420906,10.387
113,2021-01-05 17:00:00+00:00,18.286999,57.63246,9.787001
114,2021-01-05 18:00:00+00:00,17.387,58.582138,9.187
115,2021-01-05 19:00:00+00:00,16.587,59.785236,8.737
116,2021-01-05 20:00:00+00:00,15.937,60.648617,8.337001
117,2021-01-05 21:00:00+00:00,15.337001,61.33484,7.937
118,2021-01-05 22:00:00+00:00,14.687,63.089146,7.737
119,2021-01-05 23:00:00+00:00,13.937,66.22492,7.737
120,2021-01-06 00:00:00+00:00,13.987,71.12306,8.837001
121,2021-01-06 01:00:00+00:00,13.487,73.223656,8.787001
122,2021-01-06 02:00:00+00:00,13.087001,75.6675,8.887
123,2021-01-06 03:00:00+00:00,14.887,71.05521,9.687
124,2021-01-06 04:00:00+00:00,17.237,64.95234,10.587001
125,2021-01-06 05:00:00+00:00,19.737,57.225018,11.037001
126,2021-01-06 06:00:00+00:00,22.036999,50.507553,11.287001
127,2021-01-06 07:00:00+00:00,23.887,44.120003,10.937
128,2021-01-06 08:00:00+00:00,25.036999,40.10361,10.537001
129,2021-01-06 09:00:00+00:00,25.637,38.95636,10.637
130,2021-01-06 10:00:00+00:00,25.887,38.63949,10.737
131,2021-01-06 11:00:00+00:00,25.587,39.595352,10.837001
132,2021-01-06 12:00:00+00:00,23.637,55.606037,14.237
133,2021-01-06 13:00:00+00:00,21.237,56.842865,12.337001
134,2021-01-06 14:00:00+00:00,20.587,50.288498,9.887
135,2021-01-06 15:00:00+00:00,19.737,46.784245,8.037001
136,2021-01-06 16:00:00+00:00,18.487,49.38487,7.687
137,2021-01-06 17:00:00+00:00,17.237,53.975,7.837
138,2021-01-06 18:00:00+00:00,16.737,55.14592,7.687
