,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,17.890999,88.37259,15.941
1,2021-01-01 01:00:00+00:00,17.741,91.22487,16.291
2,2021-01-01 02:00:00+00:00,18.541,88.42704,16.591
3,2021-01-01 03:00:00+00:00,21.041,79.414024,17.341
4,2021-01-01 04:00:00+00:00,23.691,69.32144,17.741
5,2021-01-01 05:00:00+00:00,25.691,59.79006,17.291
6,2021-01-01 06:00:00+00:00,27.241,52.36511,16.640999
7,2021-01-01 07:00:00+00:00,28.341,47.72073,16.191
8,2021-01-01 08:00:00+00:00,29.091,44.253326,15.691
9,2021-01-01 09:00:00+00:00,29.541,40.959896,14.891
10,2021-01-01 10:00:00+00:00,29.741,39.205452,14.391
11,2021-01-01 11:00:00+00:00,29.241,40.352463,14.391
12,2021-01-01 12:00:00+00:00,27.241,49.92195,15.891
13,2021-01-01 13:00:00+00:00,26.741,50.919437,15.740999
14,2021-01-01 14:00:00+00:00,25.691,55.05099,15.990999
15,2021-01-01 15:00:00+00:00,24.941,59.61515,16.541
16,2021-01-01 16:00:00+00:00,24.591,61.26253,16.640999
17,2021-01-01 17:00:00+00:00,23.941,63.899513,16.691
18,2021-01-01 18:00:00+00:00,23.291,66.45131,16.691
19,2021-01-01 19:00:00+00:00,22.791,68.71005,16.741
20,2021-01-01 20:00:00+00:00,22.640999,69.11826,16.691
21,2021-01-01 21:00:00+00:00,21.791,72.55839,16.640999
22,2021-01-01 22:00:00+00:00,20.991,75.9613,16.591
23,2021-01-01 23:00:00+00:00,19.991,82.34731,16.890999
24,2021-01-02 00:00:00+00:00,18.491,90.12341,16.841
25,2021-01-02 01:00:00+00:00,17.890999,92.6958,16.691
26,2021-01-02 02:00:00+00:00,18.591,88.43119,16.640999
27,2021-01-02 03:00:00+00:00,20.691,76.15546,16.341
28,2021-01-02 04:00:00+00:00,23.191,62.725464,15.691
29,2021-01-02 05:00:00+00:00,25.341,53.229,15.141
30,2021-01-02 06:00:00+00:00,26.691,48.35833,14.891
31,2021-01-02 07:00:00+00:00,27.890999,43.643013,14.391
32,2021-01-02 08:00:00+00:00,28.841,39.981476,13.891
33,2021-01-02 09:00:00+00:00,29.191,38.17435,13.490999
34,2021-01-02 10:00:00+00:00,29.241,36.722775,12.941
35,2021-01-02 11:00:00+00:00,28.941,36.043186,12.391
36,2021-01-02 12:00:00+00:00,26.991,45.70797,14.290999
37,2021-01-02 13:00:00+00:00,24.591,49.382072,13.290999
38,2021-01-02 14:00:00+00:00,24.191,50.74456,13.341
39,2021-01-02 15:00:00+00:00,22.941,56.52353,13.841
40,2021-01-02 16:00:00+00:00,21.991,61.05873,14.141
41,2021-01-02 17:00:00+00:00,21.291,64.142784,14.240999
42,2021-01-02 18:00:00+00:00,20.841,65.72704,14.191
43,2021-01-02 19:00:00+00:00,20.140999,66.65321,13.740999
44,2021-01-02 20:00:00+00:00,19.291,69.58094,13.591
45,2021-01-02 21:00:00+00:00,18.491,74.34258,13.841
46,2021-01-02 22:00:00+00:00,17.941,77.95829,14.040999
47,2021-01-02 23:00:00+00:00,17.291,82.278336,14.240999
48,2021-01-03 00:00:00+00:00,16.941,88.86201,15.091
49,2021-01-03 01:00:00+00:00,16.841,90.29319,15.240999
50,2021-01-03 02:00:00+00:00,17.341,88.60987,15.441
51,2021-01-03 03:00:00+00:00,19.841,76.999985,15.691
52,2021-01-03 04:00:00+00:00,22.691,64.4469,15.641
53,2021-01-03 05:00:00+00:00,25.191,50.84213,14.290999
54,2021-01-03 06:00:00+00:00,27.041,40.798088,12.591
55,2021-01-03 07:00:00+00:00,28.341,35.171684,11.490999
56,2021-01-03 08:00:00+00:00,29.390999,30.154287,10.091
57,2021-01-03 09:00:00+00:00,29.941,26.589956,8.691
58,2021-01-03 10:00:00+00:00,29.941,25.530603,8.091
59,2021-01-03 11:00:00+00:00,29.390999,25.732431,7.741
60,2021-01-03 12:00:00+00:00,26.991,38.565872,11.691
61,2021-01-03 13:00:00+00:00,23.991,46.241898,11.740999
62,2021-01-03 14:00:00+00:00,23.941,49.208763,12.641
63,2021-01-03 15:00:00+00:00,23.291,59.226887,14.891
64,2021-01-03 16:00:00+00:00,23.041,60.128696,14.891
65,2021-01-03 17:00:00+00:00,22.341,62.73698,14.891
66,2021-01-03 18:00:00+00:00,21.441,65.85379,14.790999
67,2021-01-03 19:00:00+00:00,20.691,68.514786,14.691
68,2021-01-03 20:00:00+00:00,20.091,71.559685,14.790999
69,2021-01-03 21:00:00+00:00,19.791,73.37289,14.891
70,2021-01-03 22:00:00+00:00,19.390999,75.704094,14.990999
71,2021-01-03 23:00:00+00:00,18.741,79.34399,15.091
72,2021-01-04 00:00:00+00:00,18.390999,85.91489,15.990999
73,2021-01-04 01:00:00+00:00,17.991,88.38098,16.041
74,2021-01-04 02:00:00+00:00,18.591,85.38867,16.091
75,2021-01-04 03:00:00+00:00,20.691,75.19109,16.140999
76,2021-01-04 04:00:00+00:00,22.890999,64.90343,15.941
77,2021-01-04 05:00:00+00:00,24.791,54.474606,14.990999
78,2021-01-04 06:00:00+00:00,26.390999,42.389404,12.591
79,2021-01-04 07:00:00+00:00,27.991,32.70561,10.091
80,2021-01-04 08:00:00+00:00,28.791,28.511238,8.740999
81,2021-01-04 09:00:00+00:00,29.191,26.38815,7.941
82,2021-01-04 10:00:00+00:00,29.291,26.236118,7.941
83,2021-01-04 11:00:00+00:00,29.091,26.63155,7.991
84,2021-01-04 12:00:00+00:00,26.941,42.680775,13.191
85,2021-01-04 13:00:00+00:00,25.140999,39.46989,10.391
86,2021-01-04 14:00:00+00:00,24.491,44.728264,11.691
87,2021-01-04 15:00:00+00:00,23.691,49.95437,12.641
88,2021-01-04 16:00:00+00:00,23.140999,52.149582,12.790999
89,2021-01-04 17:00:00+00:00,22.291,56.179153,13.141
90,2021-01-04 18:00:00+00:00,21.341,60.316204,13.341
91,2021-01-04 19:00:00+00:00,20.591,62.955944,13.290999
92,2021-01-04 20:00:00+00:00,19.890999,64.88683,13.091
93,2021-01-04 21:00:00+00:00,18.841,68.81576,12.990999
94,2021-01-04 22:00:00+00:00,18.591,71.04997,13.240999
95,2021-01-04 23:00:00+00:00,17.991,74.49965,13.391
96,2021-01-05 00:00:00+00:00,18.191,75.2638,13.740999
97,2021-01-05 01:00:00+00:00,18.341,74.07589,13.641
98,2021-01-05 02:00:00+00:00,18.691,72.47016,13.641
99,2021-01-05 03:00:00+00:00,20.241,66.89074,13.891
100,2021-01-05 04:00:00+00:00,21.691,63.611126,14.490999
101,2021-01-05 05:00:00+00:00,22.441,62.156258,14.841
102,2021-01-05 06:00:00+00:00,23.691,58.5642,15.091
103,2021-01-05 07:00:00+00:00,24.941,53.64273,14.891
