,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,17.513,82.30585,14.462999
1,2021-01-01 01:00:00+00:00,17.013,84.67503,14.412999
2,2021-01-01 02:00:00+00:00,16.813,86.0329,14.462999
3,2021-01-01 03:00:00+00:00,19.013,77.36815,14.962999
4,2021-01-01 04:00:00+00:00,22.113,67.70637,15.863
5,2021-01-01 05:00:00+00:00,24.913,62.117447,17.163
6,2021-01-01 06:00:00+00:00,26.813,55.68063,17.213001
7,2021-01-01 07:00:00+00:00,28.163,50.004192,16.763
8,2021-01-01 08:00:00+00:00,28.163,48.439434,16.263
9,2021-01-01 09:00:00+00:00,28.363,47.57471,16.163
10,2021-01-01 10:00:00+00:00,28.213001,47.534714,16.013
11,2021-01-01 11:00:00+00:00,27.713001,49.254646,16.113
12,2021-01-01 12:00:00+00:00,25.663,69.05208,19.563
13,2021-01-01 13:00:00+00:00,23.313,67.73223,17.013
14,2021-01-01 14:00:00+00:00,22.663,72.25506,17.413
15,2021-01-01 15:00:00+00:00,21.713001,77.77518,17.663
16,2021-01-01 16:00:00+00:00,21.413,77.73049,17.363
17,2021-01-01 17:00:00+00:00,20.613,83.7324,17.763
18,2021-01-01 18:00:00+00:00,19.963001,87.43782,17.813
19,2021-01-01 19:00:00+00:00,19.263,90.748825,17.713001
20,2021-01-01 20:00:00+00:00,18.763,92.742676,17.563
21,2021-01-01 21:00:00+00:00,18.713001,91.57611,17.313
22,2021-01-01 22:00:00+00:00,18.313,93.01236,17.163
23,2021-01-01 23:00:00+00:00,18.063,92.99943,16.913
24,2021-01-02 00:00:00+00:00,17.963001,94.180725,17.013
25,2021-01-02 01:00:00+00:00,17.663,94.16772,16.713001
26,2021-01-02 02:00:00+00:00,17.713001,93.57389,16.663
27,2021-01-02 03:00:00+00:00,20.913,79.14542,17.163
28,2021-01-02 04:00:00+00:00,23.463001,67.54823,17.113
29,2021-01-02 05:00:00+00:00,25.413,59.914757,17.063
30,2021-01-02 06:00:00+00:00,26.863,54.472515,16.913
31,2021-01-02 07:00:00+00:00,28.063,50.777157,16.913
32,2021-01-02 08:00:00+00:00,27.763,50.699287,16.613
33,2021-01-02 09:00:00+00:00,27.463001,51.760685,16.663
34,2021-01-02 10:00:00+00:00,27.263,52.87175,16.813
35,2021-01-02 11:00:00+00:00,26.063,58.015484,17.163
36,2021-01-02 12:00:00+00:00,25.113,60.993927,17.063
37,2021-01-02 13:00:00+00:00,22.413,76.18666,18.013
38,2021-01-02 14:00:00+00:00,21.313,84.86726,18.663
39,2021-01-02 15:00:00+00:00,21.013,87.25849,18.813
40,2021-01-02 16:00:00+00:00,20.313,90.81916,18.763
41,2021-01-02 17:00:00+00:00,19.363,95.130424,18.563
42,2021-01-02 18:00:00+00:00,19.363,95.7275,18.663
43,2021-01-02 19:00:00+00:00,18.413,97.82776,18.063
44,2021-01-02 20:00:00+00:00,18.513,97.52272,18.113
45,2021-01-02 21:00:00+00:00,17.863,98.4376,17.613
46,2021-01-02 22:00:00+00:00,17.213001,99.369316,17.113
47,2021-01-02 23:00:00+00:00,17.313,99.68446,17.263
48,2021-01-03 00:00:00+00:00,17.213001,99.68419,17.163
49,2021-01-03 01:00:00+00:00,16.963001,99.68359,16.913
50,2021-01-03 02:00:00+00:00,17.213001,99.369316,17.113
51,2021-01-03 03:00:00+00:00,18.213001,95.389114,17.463001
52,2021-01-03 04:00:00+00:00,20.663,85.87016,18.213001
53,2021-01-03 05:00:00+00:00,23.663,69.53471,17.763
54,2021-01-03 06:00:00+00:00,26.113,49.306164,14.662999
55,2021-01-03 07:00:00+00:00,27.563,37.471756,11.763
56,2021-01-03 08:00:00+00:00,28.163,35.121872,11.313
57,2021-01-03 09:00:00+00:00,28.313,34.586693,11.212999
58,2021-01-03 10:00:00+00:00,28.213001,34.903984,11.263
59,2021-01-03 11:00:00+00:00,27.613,37.116543,11.662999
60,2021-01-03 12:00:00+00:00,25.063,58.33072,16.313
61,2021-01-03 13:00:00+00:00,22.763,53.60877,12.863
62,2021-01-03 14:00:00+00:00,22.213001,54.352016,12.563
63,2021-01-03 15:00:00+00:00,20.763,74.9636,16.163
64,2021-01-03 16:00:00+00:00,20.263,77.064995,16.113
65,2021-01-03 17:00:00+00:00,19.113,81.977325,15.962999
66,2021-01-03 18:00:00+00:00,19.563,76.71063,15.363
67,2021-01-03 19:00:00+00:00,19.413,77.677826,15.412999
68,2021-01-03 20:00:00+00:00,18.863,79.87234,15.313
69,2021-01-03 21:00:00+00:00,17.913,86.9735,15.712999
70,2021-01-03 22:00:00+00:00,17.763,87.51803,15.662999
71,2021-01-03 23:00:00+00:00,17.363,89.46736,15.613
72,2021-01-04 00:00:00+00:00,17.313,89.17739,15.513
73,2021-01-04 01:00:00+00:00,17.763,88.361824,15.813
74,2021-01-04 02:00:00+00:00,18.213001,89.81743,16.513
75,2021-01-04 03:00:00+00:00,20.013,85.53492,17.513
76,2021-01-04 04:00:00+00:00,21.613,79.74402,17.963001
77,2021-01-04 05:00:00+00:00,22.913,72.75659,17.763
78,2021-01-04 06:00:00+00:00,23.963001,66.589714,17.363
79,2021-01-04 07:00:00+00:00,25.013,61.553032,17.113
80,2021-01-04 08:00:00+00:00,26.063,55.31931,16.413
81,2021-01-04 09:00:00+00:00,26.363,52.810555,15.962999
82,2021-01-04 10:00:00+00:00,25.463001,56.416897,16.163
83,2021-01-04 11:00:00+00:00,23.763,66.33839,17.113
84,2021-01-04 12:00:00+00:00,22.713001,68.04304,16.513
85,2021-01-04 13:00:00+00:00,21.413,76.511406,17.113
86,2021-01-04 14:00:00+00:00,21.113,81.196556,17.763
87,2021-01-04 15:00:00+00:00,20.813,84.28316,18.063
88,2021-01-04 16:00:00+00:00,20.463001,85.58074,17.963001
89,2021-01-04 17:00:00+00:00,19.963001,88.54482,18.013
90,2021-01-04 18:00:00+00:00,19.713001,89.36396,17.913
91,2021-01-04 19:00:00+00:00,19.413,90.473755,17.813
92,2021-01-04 20:00:00+00:00,19.113,91.60077,17.713001
93,2021-01-04 21:00:00+00:00,18.863,92.74801,17.663
94,2021-01-04 22:00:00+00:00,18.563,94.80226,17.713001
95,2021-01-04 23:00:00+00:00,18.463001,95.69866,17.763
96,2021-01-05 00:00:00+00:00,17.963001,97.82033,17.613
97,2021-01-05 01:00:00+00:00,18.313,96.29885,17.713001
