,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,21.45,91.17641,19.95
1,2021-01-01 01:00:00+00:00,21.6,89.50736,19.8
2,2021-01-01 02:00:00+00:00,22.35,87.64914,20.2
3,2021-01-01 03:00:00+00:00,23.9,80.30239,20.3
4,2021-01-01 04:00:00+00:00,25.1,73.36395,20.0
5,2021-01-01 05:00:00+00:00,25.55,73.6677,20.5
6,2021-01-01 06:00:00+00:00,26.35,69.18397,20.25
7,2021-01-01 07:00:00+00:00,26.95,63.749104,19.5
8,2021-01-01 08:00:00+00:00,27.5,57.27031,18.3
9,2021-01-01 09:00:00+00:00,27.0,58.42162,18.15
10,2021-01-01 10:00:00+00:00,26.6,58.880207,17.9
11,2021-01-01 11:00:00+00:00,26.0,63.942352,18.65
12,2021-01-01 12:00:00+00:00,25.1,73.59135,20.05
13,2021-01-01 13:00:00+00:00,23.8,78.325226,19.8
14,2021-01-01 14:00:00+00:00,23.05,81.69689,19.75
15,2021-01-01 15:00:00+00:00,22.9,82.18672,19.7
16,2021-01-01 16:00:00+00:00,23.05,82.20502,19.85
17,2021-01-01 17:00:00+00:00,22.75,83.71233,19.85
18,2021-01-01 18:00:00+00:00,22.4,84.718544,19.7
19,2021-01-01 19:00:00+00:00,21.95,86.26515,19.55
20,2021-01-01 20:00:00+00:00,22.0,85.46968,19.45
21,2021-01-01 21:00:00+00:00,21.65,85.70066,19.15
22,2021-01-01 22:00:00+00:00,21.6,84.63305,18.9
23,2021-01-01 23:00:00+00:00,21.6,83.32113,18.65
24,2021-01-02 00:00:00+00:00,21.55,83.5764,18.65
25,2021-01-02 01:00:00+00:00,22.05,81.0629,18.65
26,2021-01-02 02:00:00+00:00,22.55,80.87495,19.1
27,2021-01-02 03:00:00+00:00,23.6,78.296295,19.6
28,2021-01-02 04:00:00+00:00,24.85,77.277504,20.6
29,2021-01-02 05:00:00+00:00,26.2,73.551285,21.1
30,2021-01-02 06:00:00+00:00,25.55,81.01242,22.05
31,2021-01-02 07:00:00+00:00,27.3,77.17215,22.95
32,2021-01-02 08:00:00+00:00,25.45,88.44816,23.4
33,2021-01-02 09:00:00+00:00,25.7,82.52363,22.5
34,2021-01-02 10:00:00+00:00,25.8,85.33177,23.15
35,2021-01-02 11:00:00+00:00,25.45,88.71539,23.45
36,2021-01-02 12:00:00+00:00,24.5,85.45975,21.9
37,2021-01-02 13:00:00+00:00,24.0,86.72595,21.65
38,2021-01-02 14:00:00+00:00,23.65,88.571075,21.65
39,2021-01-02 15:00:00+00:00,23.35,89.912445,21.6
40,2021-01-02 16:00:00+00:00,23.1,91.280876,21.6
41,2021-01-02 17:00:00+00:00,22.85,92.67276,21.6
42,2021-01-02 18:00:00+00:00,22.75,92.667435,21.5
43,2021-01-02 19:00:00+00:00,22.9,91.828896,21.5
44,2021-01-02 20:00:00+00:00,22.75,92.38422,21.45
45,2021-01-02 21:00:00+00:00,22.7,92.664795,21.45
46,2021-01-02 22:00:00+00:00,22.45,94.6597,21.55
47,2021-01-02 23:00:00+00:00,22.35,95.23694,21.55
48,2021-01-03 00:00:00+00:00,22.2,96.11024,21.55
49,2021-01-03 01:00:00+00:00,22.45,95.82433,21.75
50,2021-01-03 02:00:00+00:00,22.75,94.9608,21.9
51,2021-01-03 03:00:00+00:00,23.2,92.97443,22.0
52,2021-01-03 04:00:00+00:00,23.85,91.60584,22.4
53,2021-01-03 05:00:00+00:00,24.15,90.793564,22.55
54,2021-01-03 06:00:00+00:00,25.15,87.35993,22.9
55,2021-01-03 07:00:00+00:00,25.0,90.30252,23.3
56,2021-01-03 08:00:00+00:00,25.55,89.52866,23.7
57,2021-01-03 09:00:00+00:00,26.05,87.7025,23.85
58,2021-01-03 10:00:00+00:00,26.55,80.406265,22.9
59,2021-01-03 11:00:00+00:00,24.8,90.836235,23.2
60,2021-01-03 12:00:00+00:00,24.4,91.08561,22.85
61,2021-01-03 13:00:00+00:00,23.7,95.28395,22.9
62,2021-01-03 14:00:00+00:00,23.65,94.99396,22.8
63,2021-01-03 15:00:00+00:00,23.5,94.41357,22.55
64,2021-01-03 16:00:00+00:00,23.45,93.8395,22.4
65,2021-01-03 17:00:00+00:00,23.35,94.12086,22.35
66,2021-01-03 18:00:00+00:00,23.2,94.977425,22.35
67,2021-01-03 19:00:00+00:00,23.05,95.551704,22.3
68,2021-01-03 20:00:00+00:00,22.85,95.83662,22.15
69,2021-01-03 21:00:00+00:00,22.75,95.54187,22.0
70,2021-01-03 22:00:00+00:00,22.7,95.54024,21.95
