,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,6.4805,91.71959,5.2305
1,2021-01-01 01:00:00+00:00,6.3805003,91.0773,5.0305004
2,2021-01-01 02:00:00+00:00,7.1805,89.258224,5.5305004
3,2021-01-01 03:00:00+00:00,9.830501,76.16507,5.8305
4,2021-01-01 04:00:00+00:00,12.9805,62.91304,6.0805
5,2021-01-01 05:00:00+00:00,15.6305,52.638115,5.9805
6,2021-01-01 06:00:00+00:00,17.630499,47.818493,6.4305
7,2021-01-01 07:00:00+00:00,19.130499,46.457176,7.3805003
8,2021-01-01 08:00:00+00:00,20.1805,46.59018,8.3805
9,2021-01-01 09:00:00+00:00,20.7305,47.53645,9.1805
10,2021-01-01 10:00:00+00:00,20.780499,48.518925,9.5305
11,2021-01-01 11:00:00+00:00,19.780499,57.235786,11.080501
12,2021-01-01 12:00:00+00:00,15.7805,71.70017,10.6805
13,2021-01-01 13:00:00+00:00,14.7305,74.43396,10.2305
14,2021-01-01 14:00:00+00:00,13.6305,78.34116,9.9305
15,2021-01-01 15:00:00+00:00,12.7305,81.42587,9.6305
16,2021-01-01 16:00:00+00:00,12.330501,80.82702,9.1305
17,2021-01-01 17:00:00+00:00,11.830501,80.48637,8.580501
18,2021-01-01 18:00:00+00:00,11.6305,79.10581,8.1305
19,2021-01-01 19:00:00+00:00,11.5305,78.02266,7.8305
20,2021-01-01 20:00:00+00:00,11.4305,77.21387,7.5805
21,2021-01-01 21:00:00+00:00,11.080501,77.687706,7.3305
22,2021-01-01 22:00:00+00:00,10.830501,77.91501,7.1305003
23,2021-01-01 23:00:00+00:00,10.2305,79.98918,6.9305
24,2021-01-02 00:00:00+00:00,9.9805,84.45545,7.4805
25,2021-01-02 01:00:00+00:00,9.4305,87.03211,7.3805003
26,2021-01-02 02:00:00+00:00,10.330501,82.50326,7.4805
27,2021-01-02 03:00:00+00:00,12.5305,73.3001,7.8805003
28,2021-01-02 04:00:00+00:00,15.4305,64.337494,8.7305
29,2021-01-02 05:00:00+00:00,18.280499,60.19006,10.4305
30,2021-01-02 06:00:00+00:00,20.3305,58.518192,11.9305
31,2021-01-02 07:00:00+00:00,21.9305,56.82794,12.9805
32,2021-01-02 08:00:00+00:00,22.780499,55.572636,13.4305
33,2021-01-02 09:00:00+00:00,23.1805,54.597507,13.5305
34,2021-01-02 10:00:00+00:00,23.1805,55.132717,13.6805
35,2021-01-02 11:00:00+00:00,21.9805,62.858845,14.580501
36,2021-01-02 12:00:00+00:00,19.780499,72.899956,14.7805
37,2021-01-02 13:00:00+00:00,18.880499,74.64983,14.2805
