,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,22.601,88.48574,20.601
1,2021-01-01 01:00:00+00:00,22.551,87.39651,20.351
2,2021-01-01 02:00:00+00:00,22.951,84.777,20.251
3,2021-01-01 03:00:00+00:00,24.651,75.82883,20.101
4,2021-01-01 04:00:00+00:00,26.401,65.847694,19.501
5,2021-01-01 05:00:00+00:00,28.151,56.713444,18.751
6,2021-01-01 06:00:00+00:00,29.501,50.8286,18.251
7,2021-01-01 07:00:00+00:00,30.401,46.772564,17.751
8,2021-01-01 08:00:00+00:00,30.851,43.75113,17.101
9,2021-01-01 09:00:00+00:00,31.051,41.112453,16.301
10,2021-01-01 10:00:00+00:00,30.851,40.278458,15.801
11,2021-01-01 11:00:00+00:00,29.901,41.991016,15.601
12,2021-01-01 12:00:00+00:00,27.851,49.134182,16.201
13,2021-01-01 13:00:00+00:00,26.701,51.894524,16.001
14,2021-01-01 14:00:00+00:00,25.801,55.96289,16.351
15,2021-01-01 15:00:00+00:00,25.301,58.57327,16.601
16,2021-01-01 16:00:00+00:00,24.701,63.66091,17.351
17,2021-01-01 17:00:00+00:00,24.101,72.05852,18.751
18,2021-01-01 18:00:00+00:00,23.751,76.39598,19.351
19,2021-01-01 19:00:00+00:00,23.551,77.80417,19.451
20,2021-01-01 20:00:00+00:00,23.301,78.74131,19.401
21,2021-01-01 21:00:00+00:00,22.951,80.1757,19.351
22,2021-01-01 22:00:00+00:00,22.551,81.63438,19.251
23,2021-01-01 23:00:00+00:00,22.101,83.63902,19.201
24,2021-01-02 00:00:00+00:00,21.801,83.34434,18.851
25,2021-01-02 01:00:00+00:00,21.701,83.5936,18.801
26,2021-01-02 02:00:00+00:00,22.251,80.83597,18.801
27,2021-01-02 03:00:00+00:00,24.601,69.71369,18.701
28,2021-01-02 04:00:00+00:00,27.151,54.717163,17.251
29,2021-01-02 05:00:00+00:00,28.901,47.71792,16.701
30,2021-01-02 06:00:00+00:00,30.151,45.396084,17.051
31,2021-01-02 07:00:00+00:00,31.201,42.615807,17.001
32,2021-01-02 08:00:00+00:00,32.101,40.10996,16.851
33,2021-01-02 09:00:00+00:00,32.551003,38.732727,16.701
34,2021-01-02 10:00:00+00:00,31.901,40.695602,16.901
35,2021-01-02 11:00:00+00:00,30.551,45.647434,17.501
36,2021-01-02 12:00:00+00:00,28.901,53.119446,18.401
37,2021-01-02 13:00:00+00:00,27.551,58.918797,18.801
38,2021-01-02 14:00:00+00:00,26.801,62.53737,19.051
39,2021-01-02 15:00:00+00:00,26.051,67.8527,19.651
40,2021-01-02 16:00:00+00:00,25.351,72.50457,20.051
41,2021-01-02 17:00:00+00:00,24.951,75.64236,20.351
42,2021-01-02 18:00:00+00:00,24.551,78.67546,20.601
43,2021-01-02 19:00:00+00:00,24.301,80.60332,20.751
44,2021-01-02 20:00:00+00:00,24.151,81.33164,20.751
