,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,23.320002,80.72419,19.820002
1,2021-01-01 01:00:00+00:00,23.720001,81.78029,20.42
2,2021-01-01 02:00:00+00:00,24.17,80.8348,20.67
3,2021-01-01 03:00:00+00:00,25.42,70.52269,19.67
4,2021-01-01 04:00:00+00:00,26.02,67.63622,19.570002
5,2021-01-01 05:00:00+00:00,26.820002,61.57333,18.820002
6,2021-01-01 06:00:00+00:00,26.77,60.41739,18.470001
7,2021-01-01 07:00:00+00:00,27.12,59.187405,18.470001
8,2021-01-01 08:00:00+00:00,26.77,60.79687,18.570002
9,2021-01-01 09:00:00+00:00,26.720001,59.840496,18.27
10,2021-01-01 10:00:00+00:00,26.42,62.844788,18.77
11,2021-01-01 11:00:00+00:00,25.92,65.13536,18.87
12,2021-01-01 12:00:00+00:00,25.470001,69.66153,19.52
13,2021-01-01 13:00:00+00:00,24.970001,71.32124,19.42
14,2021-01-01 14:00:00+00:00,24.820002,73.31598,19.720001
15,2021-01-01 15:00:00+00:00,24.52,74.411224,19.67
16,2021-01-01 16:00:00+00:00,24.27,74.13877,19.37
17,2021-01-01 17:00:00+00:00,23.77,75.4536,19.17
18,2021-01-01 18:00:00+00:00,23.77,75.4536,19.17
19,2021-01-01 19:00:00+00:00,23.67,76.38341,19.27
20,2021-01-01 20:00:00+00:00,23.62,77.332146,19.42
21,2021-01-01 21:00:00+00:00,23.77,78.807945,19.87
22,2021-01-01 22:00:00+00:00,23.92,78.82918,20.02
23,2021-01-01 23:00:00+00:00,23.67,81.522,20.320002
24,2021-01-02 00:00:00+00:00,23.02,86.36801,20.62
25,2021-01-02 01:00:00+00:00,23.37,86.66726,21.02
26,2021-01-02 02:00:00+00:00,23.62,87.491165,21.42
27,2021-01-02 03:00:00+00:00,23.42,92.139915,22.070002
28,2021-01-02 04:00:00+00:00,23.67,91.594986,22.220001
29,2021-01-02 05:00:00+00:00,23.87,91.60704,22.42
30,2021-01-02 06:00:00+00:00,24.17,91.62513,22.720001
31,2021-01-02 07:00:00+00:00,24.17,92.18232,22.820002
32,2021-01-02 08:00:00+00:00,24.67,87.31737,22.42
33,2021-01-02 09:00:00+00:00,25.27,83.99257,22.37
34,2021-01-02 10:00:00+00:00,25.320002,82.98228,22.220001
35,2021-01-02 11:00:00+00:00,25.12,82.70649,21.970001
36,2021-01-02 12:00:00+00:00,24.570002,82.89492,21.470001
