,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,5.861,86.07471,3.711
1,2021-01-01 01:00:00+00:00,6.711,77.266106,3.011
2,2021-01-01 02:00:00+00:00,5.361,84.81473,3.011
3,2021-01-01 03:00:00+00:00,7.811,81.611084,4.861
4,2021-01-01 04:00:00+00:00,9.211,82.930336,6.461
5,2021-01-01 05:00:00+00:00,10.861,79.533844,7.461
6,2021-01-01 06:00:00+00:00,12.611,74.57016,8.211
7,2021-01-01 07:00:00+00:00,13.961,68.98557,8.361
8,2021-01-01 08:00:00+00:00,14.911,64.221664,8.211
9,2021-01-01 09:00:00+00:00,15.361,62.17964,8.161
10,2021-01-01 10:00:00+00:00,15.311001,62.37945,8.161
11,2021-01-01 11:00:00+00:00,14.611,67.50198,8.661
12,2021-01-01 12:00:00+00:00,13.611,71.05131,8.461
13,2021-01-01 13:00:00+00:00,12.961,74.378365,8.511001
14,2021-01-01 14:00:00+00:00,10.711,81.71229,7.711
15,2021-01-01 15:00:00+00:00,9.811001,83.00435,7.061
16,2021-01-01 16:00:00+00:00,9.561001,81.00184,6.461
17,2021-01-01 17:00:00+00:00,10.261001,75.1916,6.061
18,2021-01-01 18:00:00+00:00,7.011,84.11351,4.511
19,2021-01-01 19:00:00+00:00,6.111,83.41805,3.511
20,2021-01-01 20:00:00+00:00,6.361,78.59017,2.911
21,2021-01-01 21:00:00+00:00,7.061,72.290764,2.411
22,2021-01-01 22:00:00+00:00,7.211,69.29522,1.961
23,2021-01-01 23:00:00+00:00,7.961,66.78578,2.161
24,2021-01-02 00:00:00+00:00,9.361,71.96382,4.561
25,2021-01-02 01:00:00+00:00,9.861,66.72537,3.961
26,2021-01-02 02:00:00+00:00,10.611,61.488518,3.511
27,2021-01-02 03:00:00+00:00,11.711,57.366077,3.5609999
28,2021-01-02 04:00:00+00:00,13.211,63.839115,6.511
29,2021-01-02 05:00:00+00:00,15.311001,58.870438,7.311
30,2021-01-02 06:00:00+00:00,15.411,56.914036,6.911
31,2021-01-02 07:00:00+00:00,16.911001,51.0181,6.711
32,2021-01-02 08:00:00+00:00,17.161001,53.224724,7.561
33,2021-01-02 09:00:00+00:00,16.961,53.90303,7.561
34,2021-01-02 10:00:00+00:00,16.811,56.878536,8.211
35,2021-01-02 11:00:00+00:00,15.761001,69.34547,10.161
36,2021-01-02 12:00:00+00:00,14.161,91.28801,12.761001
37,2021-01-02 13:00:00+00:00,13.561001,87.420555,11.511001
38,2021-01-02 14:00:00+00:00,12.911,85.349556,10.511001
39,2021-01-02 15:00:00+00:00,13.011001,75.91071,8.861
40,2021-01-02 16:00:00+00:00,12.461,75.052185,8.161
41,2021-01-02 17:00:00+00:00,12.611,71.58811,7.611
42,2021-01-02 18:00:00+00:00,13.361,63.87309,6.661
43,2021-01-02 19:00:00+00:00,13.361,62.353436,6.311
44,2021-01-02 20:00:00+00:00,13.711,59.701153,6.011
45,2021-01-02 21:00:00+00:00,14.461,60.08917,6.811
46,2021-01-02 22:00:00+00:00,13.961,61.009014,6.561
47,2021-01-02 23:00:00+00:00,14.861,60.3917,7.261
48,2021-01-03 00:00:00+00:00,13.011001,77.46186,9.161
49,2021-01-03 01:00:00+00:00,12.961,72.634415,8.161
50,2021-01-03 02:00:00+00:00,12.561001,73.05665,7.861
51,2021-01-03 03:00:00+00:00,14.961,64.23284,8.261001
52,2021-01-03 04:00:00+00:00,16.311,64.31646,9.561001
53,2021-01-03 05:00:00+00:00,16.561,67.22969,10.461
54,2021-01-03 06:00:00+00:00,17.611,65.46688,11.061001
55,2021-01-03 07:00:00+00:00,17.961,66.634224,11.661
56,2021-01-03 08:00:00+00:00,20.211,54.924156,10.861
57,2021-01-03 09:00:00+00:00,19.911001,59.193367,11.711
58,2021-01-03 10:00:00+00:00,19.061,67.52339,12.911
59,2021-01-03 11:00:00+00:00,18.061,78.482635,14.261001
60,2021-01-03 12:00:00+00:00,17.911001,65.96645,11.461
61,2021-01-03 13:00:00+00:00,16.361,72.284996,11.361
62,2021-01-03 14:00:00+00:00,13.361,83.71108,10.661
63,2021-01-03 15:00:00+00:00,14.661,77.71671,10.811001
64,2021-01-03 16:00:00+00:00,14.261001,82.168465,11.261001
65,2021-01-03 17:00:00+00:00,13.111,86.801056,10.961
66,2021-01-03 18:00:00+00:00,13.811001,84.60039,11.261001
67,2021-01-03 19:00:00+00:00,14.861,79.04681,11.261001
68,2021-01-03 20:00:00+00:00,14.911,78.792725,11.261001
69,2021-01-03 21:00:00+00:00,14.661,80.60427,11.361
70,2021-01-03 22:00:00+00:00,13.211,87.67838,11.211
71,2021-01-03 23:00:00+00:00,12.561001,87.61946,10.561001
72,2021-01-04 00:00:00+00:00,14.411,82.73271,11.511001
73,2021-01-04 01:00:00+00:00,14.311001,83.82141,11.611
74,2021-01-04 02:00:00+00:00,14.411,83.00658,11.561001
75,2021-01-04 03:00:00+00:00,15.111,79.08305,11.511001
76,2021-01-04 04:00:00+00:00,16.411001,78.238556,12.611
77,2021-01-04 05:00:00+00:00,17.611,74.19229,12.961
78,2021-01-04 06:00:00+00:00,19.261,67.12449,13.011001
79,2021-01-04 07:00:00+00:00,19.111,69.7727,13.461
80,2021-01-04 08:00:00+00:00,19.661001,69.20235,13.861
81,2021-01-04 09:00:00+00:00,19.411001,70.74311,13.961
82,2021-01-04 10:00:00+00:00,18.961,72.04958,13.811001
83,2021-01-04 11:00:00+00:00,18.311,75.52828,13.911
84,2021-01-04 12:00:00+00:00,17.361,82.82076,14.411
85,2021-01-04 13:00:00+00:00,16.911001,84.66394,14.311001
86,2021-01-04 14:00:00+00:00,16.261,87.382034,14.161
87,2021-01-04 15:00:00+00:00,15.561001,88.74937,13.711
88,2021-01-04 16:00:00+00:00,16.711,78.53955,12.961
89,2021-01-04 17:00:00+00:00,16.561,74.011345,11.911
90,2021-01-04 18:00:00+00:00,16.061,75.653946,11.761001
91,2021-01-04 19:00:00+00:00,16.561,72.08288,11.511001
92,2021-01-04 20:00:00+00:00,16.361,74.4664,11.811001
93,2021-01-04 21:00:00+00:00,16.361,75.95268,12.111
94,2021-01-04 22:00:00+00:00,15.711,79.69209,12.211
95,2021-01-04 23:00:00+00:00,15.061001,80.12783,11.661
96,2021-01-05 00:00:00+00:00,14.861,84.43814,12.261001
97,2021-01-05 01:00:00+00:00,15.811001,76.11413,11.611
98,2021-01-05 02:00:00+00:00,16.161001,73.69789,11.461
99,2021-01-05 03:00:00+00:00,16.861,70.72296,11.511001
100,2021-01-05 04:00:00+00:00,17.811,67.0443,11.611
101,2021-01-05 05:00:00+00:00,19.211,58.829433,10.961
102,2021-01-05 06:00:00+00:00,19.111,58.221684,10.711
103,2021-01-05 07:00:00+00:00,19.061,61.179676,11.411
104,2021-01-05 08:00:00+00:00,17.961,64.67999,11.211
105,2021-01-05 09:00:00+00:00,17.661001,69.03377,11.911
106,2021-01-05 10:00:00+00:00,17.011,72.16534,11.961
107,2021-01-05 11:00:00+00:00,17.461,63.92884,10.561001
108,2021-01-05 12:00:00+00:00,16.461,67.884384,10.511001
109,2021-01-05 13:00:00+00:00,17.261,57.96199,8.911
110,2021-01-05 14:00:00+00:00,16.061,62.34155,8.861
111,2021-01-05 15:00:00+00:00,15.011001,71.55641,9.911
112,2021-01-05 16:00:00+00:00,14.561001,75.40572,10.261001
113,2021-01-05 17:00:00+00:00,17.161001,59.721794,9.261001
114,2021-01-05 18:00:00+00:00,15.761001,70.27761,10.361
115,2021-01-05 19:00:00+00:00,16.961,66.42349,10.661
116,2021-01-05 20:00:00+00:00,16.011,77.92218,12.161
117,2021-01-05 21:00:00+00:00,14.661,87.521126,12.611
118,2021-01-05 22:00:00+00:00,14.161,91.58724,12.811001
119,2021-01-05 23:00:00+00:00,13.361,96.15714,12.761001
120,2021-01-06 00:00:00+00:00,14.561001,84.12708,11.911
121,2021-01-06 01:00:00+00:00,14.361,85.784355,12.011001
122,2021-01-06 02:00:00+00:00,14.561001,83.85027,11.861
123,2021-01-06 03:00:00+00:00,15.311001,82.0303,12.261001
124,2021-01-06 04:00:00+00:00,16.361,81.89507,13.261001
125,2021-01-06 05:00:00+00:00,17.861,77.19128,13.811001
126,2021-01-06 06:00:00+00:00,18.261,75.520096,13.861
127,2021-01-06 07:00:00+00:00,18.411001,73.84754,13.661
128,2021-01-06 08:00:00+00:00,18.311,74.55381,13.711
129,2021-01-06 09:00:00+00:00,18.761,70.85069,13.361
130,2021-01-06 10:00:00+00:00,18.361,72.175,13.261001
131,2021-01-06 11:00:00+00:00,17.811,75.9391,13.511001
132,2021-01-06 12:00:00+00:00,17.361,76.86292,13.261001
133,2021-01-06 13:00:00+00:00,15.161,88.716415,13.311001
134,2021-01-06 14:00:00+00:00,14.661,91.917564,13.361
135,2021-01-06 15:00:00+00:00,14.011001,93.08863,12.911
136,2021-01-06 16:00:00+00:00,13.511001,93.67523,12.511001
137,2021-01-06 17:00:00+00:00,12.911,93.64644,11.911
138,2021-01-06 18:00:00+00:00,12.661,92.71103,11.511001
139,2021-01-06 19:00:00+00:00,12.411,91.78024,11.111
140,2021-01-06 20:00:00+00:00,12.361,91.17006,10.961
141,2021-01-06 21:00:00+00:00,12.161,90.5524,10.661
142,2021-01-06 22:00:00+00:00,12.011001,90.84387,10.561001
143,2021-01-06 23:00:00+00:00,11.761001,89.921486,10.161
144,2021-01-07 00:00:00+00:00,11.811001,87.55096,9.811001
145,2021-01-07 01:00:00+00:00,11.661,86.08,9.411
146,2021-01-07 02:00:00+00:00,10.911,86.58661,8.761001
147,2021-01-07 03:00:00+00:00,12.611,78.45156,8.961
148,2021-01-07 04:00:00+00:00,15.161,71.345535,10.011001
149,2021-01-07 05:00:00+00:00,16.761,70.23748,11.311001
150,2021-01-07 06:00:00+00:00,17.961,67.74223,11.911
151,2021-01-07 07:00:00+00:00,18.811,67.03137,12.561001
152,2021-01-07 08:00:00+00:00,19.161001,66.448494,12.761001
153,2021-01-07 09:00:00+00:00,19.111,67.754654,13.011001
154,2021-01-07 10:00:00+00:00,18.861,68.37141,12.911
155,2021-01-07 11:00:00+00:00,18.061,72.35639,13.011001
156,2021-01-07 12:00:00+00:00,15.211,85.59078,12.811001
157,2021-01-07 13:00:00+00:00,13.811001,92.773865,12.661
158,2021-01-07 14:00:00+00:00,13.361,94.9054,12.561001
159,2021-01-07 15:00:00+00:00,13.211,95.52435,12.511001
160,2021-01-07 16:00:00+00:00,13.361,93.668045,12.361
161,2021-01-07 17:00:00+00:00,13.061001,93.962326,12.111
162,2021-01-07 18:00:00+00:00,12.311001,96.12605,11.711
163,2021-01-07 19:00:00+00:00,11.811001,97.392334,11.411
164,2021-01-07 20:00:00+00:00,11.611,97.0661,11.161
165,2021-01-07 21:00:00+00:00,11.461,96.42037,10.911
166,2021-01-07 22:00:00+00:00,11.161,96.091576,10.561001
167,2021-01-07 23:00:00+00:00,10.761001,96.72333,10.261001
168,2021-01-08 00:00:00+00:00,10.561001,96.07342,9.961
169,2021-01-08 01:00:00+00:00,11.011001,94.4969,10.161
170,2021-01-08 02:00:00+00:00,10.511001,95.43061,9.811001
171,2021-01-08 03:00:00+00:00,11.961,92.672356,10.811001
172,2021-01-08 04:00:00+00:00,13.711,89.18154,11.961
173,2021-01-08 05:00:00+00:00,14.911,81.17239,11.711
174,2021-01-08 06:00:00+00:00,15.411,78.34703,11.661
175,2021-01-08 07:00:00+00:00,16.161001,72.969986,11.311001
176,2021-01-08 08:00:00+00:00,16.561,72.08288,11.511001
177,2021-01-08 09:00:00+00:00,16.861,70.48952,11.461
178,2021-01-08 10:00:00+00:00,16.911001,69.34241,11.261001
179,2021-01-08 11:00:00+00:00,16.361,71.57049,11.211
180,2021-01-08 12:00:00+00:00,12.911,89.70991,11.261001
181,2021-01-08 13:00:00+00:00,12.111,91.76168,10.811001
182,2021-01-08 14:00:00+00:00,12.111,92.37344,10.911
183,2021-01-08 15:00:00+00:00,11.711,94.52632,10.861
184,2021-01-08 16:00:00+00:00,11.361,97.06042,10.911
185,2021-01-08 17:00:00+00:00,11.011001,97.37608,10.611
186,2021-01-08 18:00:00+00:00,10.961,95.446434,10.261001
187,2021-01-08 19:00:00+00:00,10.761001,93.22867,9.711
188,2021-01-08 20:00:00+00:00,10.111,93.50953,9.111
189,2021-01-08 21:00:00+00:00,9.411,91.281204,8.061001
190,2021-01-08 22:00:00+00:00,9.111,86.11169,6.911
191,2021-01-08 23:00:00+00:00,9.461,80.43217,6.261
192,2021-01-09 00:00:00+00:00,9.461,80.15542,6.211
193,2021-01-09 01:00:00+00:00,10.261001,77.82687,6.561
194,2021-01-09 02:00:00+00:00,10.461,78.393974,6.861
195,2021-01-09 03:00:00+00:00,12.111,76.01973,8.011001
196,2021-01-09 04:00:00+00:00,13.961,75.81209,9.761001
197,2021-01-09 05:00:00+00:00,15.861,71.71516,10.761001
198,2021-01-09 06:00:00+00:00,17.711,65.48843,11.161
199,2021-01-09 07:00:00+00:00,18.811,62.141785,11.411
200,2021-01-09 08:00:00+00:00,19.061,61.99394,11.611
201,2021-01-09 09:00:00+00:00,19.011,62.80645,11.761001
202,2021-01-09 10:00:00+00:00,18.461,65.00331,11.761001
203,2021-01-09 11:00:00+00:00,17.661001,68.806625,11.861
204,2021-01-09 12:00:00+00:00,15.161,80.141685,11.761001
205,2021-01-09 13:00:00+00:00,13.711,87.14609,11.611
206,2021-01-09 14:00:00+00:00,12.561001,92.093956,11.311001
207,2021-01-09 15:00:00+00:00,11.661,94.52423,10.811001
208,2021-01-09 16:00:00+00:00,11.211,95.137634,10.461
209,2021-01-09 17:00:00+00:00,10.911,95.44468,10.211
210,2021-01-09 18:00:00+00:00,10.461,96.715706,9.961
211,2021-01-09 19:00:00+00:00,10.211,98.01395,9.911
212,2021-01-09 20:00:00+00:00,10.011001,99.001,9.861
213,2021-01-09 21:00:00+00:00,9.811001,99.33197,9.711
214,2021-01-09 22:00:00+00:00,9.761001,98.66735,9.561001
215,2021-01-09 23:00:00+00:00,9.461,98.66421,9.261001
216,2021-01-10 00:00:00+00:00,9.161,100.0,9.161
217,2021-01-10 01:00:00+00:00,9.361,99.329605,9.261001
