,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,12.924,90.008415,11.324
1,2021-01-01 01:00:00+00:00,12.724,91.19404,11.324
2,2021-01-01 02:00:00+00:00,14.824,81.429306,11.674
3,2021-01-01 03:00:00+00:00,17.624,69.711945,12.024
4,2021-01-01 04:00:00+00:00,20.274,59.868122,12.224
5,2021-01-01 05:00:00+00:00,22.474,50.790833,11.774
6,2021-01-01 06:00:00+00:00,23.824001,44.543976,11.024
7,2021-01-01 07:00:00+00:00,24.674002,40.539093,10.374
8,2021-01-01 08:00:00+00:00,25.074001,39.188526,10.224
9,2021-01-01 09:00:00+00:00,25.074001,38.668182,10.024
10,2021-01-01 10:00:00+00:00,24.574001,39.839836,10.024
11,2021-01-01 11:00:00+00:00,21.824001,54.431503,12.224
12,2021-01-01 12:00:00+00:00,18.674002,65.04947,11.974
13,2021-01-01 13:00:00+00:00,18.924002,63.20251,11.774
14,2021-01-01 14:00:00+00:00,18.924002,61.55393,11.374
15,2021-01-01 15:00:00+00:00,17.574001,66.77359,11.324
16,2021-01-01 16:00:00+00:00,15.824,75.11658,11.424
17,2021-01-01 17:00:00+00:00,14.924,80.63993,11.624
18,2021-01-01 18:00:00+00:00,14.624,81.67274,11.524
19,2021-01-01 19:00:00+00:00,14.124,85.19585,11.674
20,2021-01-01 20:00:00+00:00,13.774,88.01889,11.824
21,2021-01-01 21:00:00+00:00,13.424,89.45336,11.724
22,2021-01-01 22:00:00+00:00,12.874,89.70708,11.224
23,2021-01-01 23:00:00+00:00,12.174,89.05784,10.424
24,2021-01-02 00:00:00+00:00,12.324,90.563896,10.824
25,2021-01-02 01:00:00+00:00,12.074,88.1623,10.174
26,2021-01-02 02:00:00+00:00,14.024,74.5619,9.574
27,2021-01-02 03:00:00+00:00,16.724,62.075634,9.424
28,2021-01-02 04:00:00+00:00,19.574001,52.6057,9.624
29,2021-01-02 05:00:00+00:00,21.924002,45.8266,9.724
30,2021-01-02 06:00:00+00:00,23.474,41.43537,9.624
31,2021-01-02 07:00:00+00:00,24.474,36.848923,8.774
32,2021-01-02 08:00:00+00:00,25.074001,33.561436,7.924
33,2021-01-02 09:00:00+00:00,25.174002,32.799095,7.674
34,2021-01-02 10:00:00+00:00,24.624,35.424347,8.324
35,2021-01-02 11:00:00+00:00,21.674002,52.977776,11.674
36,2021-01-02 12:00:00+00:00,18.374,60.81664,10.674
37,2021-01-02 13:00:00+00:00,18.224,60.78138,10.524
38,2021-01-02 14:00:00+00:00,19.274,54.319794,9.824
39,2021-01-02 15:00:00+00:00,18.974,54.79128,9.674
40,2021-01-02 16:00:00+00:00,18.374,57.077374,9.724
41,2021-01-02 17:00:00+00:00,17.674002,60.449127,9.924
42,2021-01-02 18:00:00+00:00,16.624,65.91058,10.224
43,2021-01-02 19:00:00+00:00,14.174,79.21001,10.624
44,2021-01-02 20:00:00+00:00,12.774,87.34786,10.724
45,2021-01-02 21:00:00+00:00,12.624,87.91728,10.674
46,2021-01-02 22:00:00+00:00,12.224,89.35913,10.524
47,2021-01-02 23:00:00+00:00,12.024,90.54271,10.524
48,2021-01-03 00:00:00+00:00,11.874,93.596245,10.874
49,2021-01-03 01:00:00+00:00,12.574,92.70622,11.424
50,2021-01-03 02:00:00+00:00,15.074,83.35988,12.274
51,2021-01-03 03:00:00+00:00,17.974,71.166695,12.674
52,2021-01-03 04:00:00+00:00,20.724,61.163475,12.974
53,2021-01-03 05:00:00+00:00,22.774,53.963253,12.974
54,2021-01-03 06:00:00+00:00,24.274,47.24219,12.324
55,2021-01-03 07:00:00+00:00,25.324001,41.53944,11.324
56,2021-01-03 08:00:00+00:00,25.874,38.25201,10.574
57,2021-01-03 09:00:00+00:00,25.974,36.778374,10.074
58,2021-01-03 10:00:00+00:00,25.474,38.266846,10.224
59,2021-01-03 11:00:00+00:00,22.524,55.87167,13.274
60,2021-01-03 12:00:00+00:00,19.474,59.87566,11.474
61,2021-01-03 13:00:00+00:00,18.524,62.904037,11.324
62,2021-01-03 14:00:00+00:00,17.274,68.95684,11.524
63,2021-01-03 15:00:00+00:00,16.274,75.439995,11.924
64,2021-01-03 16:00:00+00:00,15.574,79.41098,12.024
65,2021-01-03 17:00:00+00:00,14.724,83.04433,11.874
66,2021-01-03 18:00:00+00:00,14.324,83.5465,11.574
67,2021-01-03 19:00:00+00:00,14.174,84.36139,11.574
68,2021-01-03 20:00:00+00:00,13.774,87.15199,11.674
69,2021-01-03 21:00:00+00:00,13.674,88.30096,11.774
70,2021-01-03 22:00:00+00:00,13.324,89.74136,11.674
71,2021-01-03 23:00:00+00:00,12.774,91.19733,11.374
72,2021-01-04 00:00:00+00:00,12.674,94.255035,11.774
73,2021-01-04 01:00:00+00:00,12.824,94.57261,11.974
74,2021-01-04 02:00:00+00:00,15.774,83.170044,12.924
75,2021-01-04 03:00:00+00:00,19.024,69.755844,13.374
76,2021-01-04 04:00:00+00:00,22.074001,59.902035,13.924
77,2021-01-04 05:00:00+00:00,24.324001,50.945053,13.524
78,2021-01-04 06:00:00+00:00,25.824001,45.242096,13.074
79,2021-01-04 07:00:00+00:00,26.824001,40.73762,12.374
80,2021-01-04 08:00:00+00:00,27.324001,38.153008,11.824
81,2021-01-04 09:00:00+00:00,27.374,37.54257,11.624
82,2021-01-04 10:00:00+00:00,26.824001,39.549446,11.924
83,2021-01-04 11:00:00+00:00,23.774,58.96146,15.274
84,2021-01-04 12:00:00+00:00,21.124,62.870724,13.774
85,2021-01-04 13:00:00+00:00,20.324001,65.40438,13.624
86,2021-01-04 14:00:00+00:00,18.824001,73.67964,14.024
87,2021-01-04 15:00:00+00:00,17.924002,79.74213,14.374
88,2021-01-04 16:00:00+00:00,16.924002,84.93951,14.374
89,2021-01-04 17:00:00+00:00,16.474,86.27781,14.174
90,2021-01-04 18:00:00+00:00,16.174002,87.657555,14.124
91,2021-01-04 19:00:00+00:00,15.974,87.92434,13.974
92,2021-01-04 20:00:00+00:00,15.674,88.18405,13.724
93,2021-01-04 21:00:00+00:00,15.024,90.1626,13.424
94,2021-01-04 22:00:00+00:00,14.524,91.3115,13.124
95,2021-01-04 23:00:00+00:00,14.674,91.023895,13.224
