,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,2.461,99.645195,2.411
1,2021-01-01 01:00:00+00:00,2.411,99.29122,2.3109999
2,2021-01-01 02:00:00+00:00,2.511,98.58803,2.3109999
3,2021-01-01 03:00:00+00:00,3.911,97.91233,3.611
4,2021-01-01 04:00:00+00:00,5.761,97.94296,5.461
5,2021-01-01 05:00:00+00:00,7.861,96.979004,7.411
6,2021-01-01 06:00:00+00:00,10.961,86.591545,8.811001
7,2021-01-01 07:00:00+00:00,13.661,72.762215,8.861
8,2021-01-01 08:00:00+00:00,15.261001,63.22009,8.311001
9,2021-01-01 09:00:00+00:00,16.011,58.641636,7.911
10,2021-01-01 10:00:00+00:00,16.161001,58.083153,7.911
11,2021-01-01 11:00:00+00:00,15.311001,70.190315,9.911
12,2021-01-01 12:00:00+00:00,14.111,68.08695,8.311001
13,2021-01-01 13:00:00+00:00,11.611,76.979774,7.711
14,2021-01-01 14:00:00+00:00,8.861,86.67924,6.761
15,2021-01-01 15:00:00+00:00,8.461,87.84022,6.561
16,2021-01-01 16:00:00+00:00,8.161,88.41998,6.361
17,2021-01-01 17:00:00+00:00,8.161,89.33755,6.511
18,2021-01-01 18:00:00+00:00,8.111,89.333534,6.461
19,2021-01-01 19:00:00+00:00,7.861,89.31336,6.211
20,2021-01-01 20:00:00+00:00,8.061001,88.10706,6.211
21,2021-01-01 21:00:00+00:00,7.511,90.84027,6.111
22,2021-01-01 22:00:00+00:00,8.661,85.474976,6.361
23,2021-01-01 23:00:00+00:00,8.061001,89.022484,6.361
24,2021-01-02 00:00:00+00:00,8.711,90.92353,7.311
25,2021-01-02 01:00:00+00:00,9.211,90.95789,7.811
26,2021-01-02 02:00:00+00:00,9.411,89.74241,7.811
27,2021-01-02 03:00:00+00:00,10.211,87.10684,8.161
28,2021-01-02 04:00:00+00:00,11.461,84.62196,8.961
29,2021-01-02 05:00:00+00:00,12.711,80.067345,9.361
30,2021-01-02 06:00:00+00:00,14.411,71.68424,9.361
31,2021-01-02 07:00:00+00:00,15.461,67.45153,9.461
32,2021-01-02 08:00:00+00:00,16.361,66.07486,10.011001
33,2021-01-02 09:00:00+00:00,16.311,67.62761,10.311001
34,2021-01-02 10:00:00+00:00,15.961,73.17634,11.161
35,2021-01-02 11:00:00+00:00,15.161,75.005196,10.761001
36,2021-01-02 12:00:00+00:00,15.011001,73.00636,10.211
37,2021-01-02 13:00:00+00:00,14.461,73.8912,9.861
38,2021-01-02 14:00:00+00:00,14.561001,74.15638,10.011001
39,2021-01-02 15:00:00+00:00,14.061001,77.62451,10.211
40,2021-01-02 16:00:00+00:00,13.711,78.61568,10.061001
41,2021-01-02 17:00:00+00:00,13.361,80.15814,10.011001
42,2021-01-02 18:00:00+00:00,12.911,81.72286,9.861
43,2021-01-02 19:00:00+00:00,12.461,83.60555,9.761001
44,2021-01-02 20:00:00+00:00,11.911,85.52952,9.561001
45,2021-01-02 21:00:00+00:00,11.711,85.221375,9.311001
46,2021-01-02 22:00:00+00:00,11.661,84.35965,9.111
47,2021-01-02 23:00:00+00:00,11.961,81.87481,8.961
48,2021-01-03 00:00:00+00:00,11.861,84.38228,9.311001
49,2021-01-03 01:00:00+00:00,11.611,86.94694,9.511001
50,2021-01-03 02:00:00+00:00,11.761001,88.134895,9.861
51,2021-01-03 03:00:00+00:00,13.161,86.231445,10.911
52,2021-01-03 04:00:00+00:00,14.811001,84.98929,12.311001
53,2021-01-03 05:00:00+00:00,16.311,81.09087,13.061001
54,2021-01-03 06:00:00+00:00,17.511,77.64081,13.561001
55,2021-01-03 07:00:00+00:00,18.961,73.70341,14.161
56,2021-01-03 08:00:00+00:00,19.761,71.49892,14.461
57,2021-01-03 09:00:00+00:00,20.111,70.19188,14.511001
58,2021-01-03 10:00:00+00:00,20.361,70.013504,14.711
59,2021-01-03 11:00:00+00:00,19.711,74.54893,15.061001
60,2021-01-03 12:00:00+00:00,17.011,80.65706,13.661
61,2021-01-03 13:00:00+00:00,15.811001,85.37421,13.361
62,2021-01-03 14:00:00+00:00,15.161,89.58758,13.461
63,2021-01-03 15:00:00+00:00,14.811001,91.926605,13.511001
64,2021-01-03 16:00:00+00:00,14.561001,92.81444,13.411
65,2021-01-03 17:00:00+00:00,14.361,92.80365,13.211
66,2021-01-03 18:00:00+00:00,13.461,94.90928,12.661
67,2021-01-03 19:00:00+00:00,13.311001,95.52775,12.611
68,2021-01-03 20:00:00+00:00,13.161,96.7835,12.661
69,2021-01-03 21:00:00+00:00,12.911,97.095406,12.461
70,2021-01-03 22:00:00+00:00,12.911,96.777306,12.411
71,2021-01-03 23:00:00+00:00,13.361,96.15714,12.761001
72,2021-01-04 00:00:00+00:00,12.961,97.41543,12.561001
73,2021-01-04 01:00:00+00:00,12.711,97.09093,12.261001
74,2021-01-04 02:00:00+00:00,12.911,96.46012,12.361
75,2021-01-04 03:00:00+00:00,14.061001,93.09122,12.961
76,2021-01-04 04:00:00+00:00,15.211,90.764275,13.711
77,2021-01-04 05:00:00+00:00,16.661001,86.29623,14.361
78,2021-01-04 06:00:00+00:00,18.161001,80.55056,14.761001
79,2021-01-04 07:00:00+00:00,19.911001,74.822266,15.311001
80,2021-01-04 08:00:00+00:00,20.011,75.079216,15.461
81,2021-01-04 09:00:00+00:00,19.711,76.48821,15.461
82,2021-01-04 10:00:00+00:00,19.461,79.191734,15.761001
83,2021-01-04 11:00:00+00:00,18.911001,81.952034,15.761001
84,2021-01-04 12:00:00+00:00,18.661001,80.8767,15.311001
85,2021-01-04 13:00:00+00:00,17.461,88.053734,15.461
86,2021-01-04 14:00:00+00:00,16.861,90.29462,15.261001
87,2021-01-04 15:00:00+00:00,16.411001,91.4322,15.011001
88,2021-01-04 16:00:00+00:00,15.911,92.58768,14.711
89,2021-01-04 17:00:00+00:00,15.511001,92.56555,14.311001
90,2021-01-04 18:00:00+00:00,15.561001,90.78813,14.061001
91,2021-01-04 19:00:00+00:00,15.561001,89.909386,13.911
92,2021-01-04 20:00:00+00:00,15.411,90.48385,13.861
93,2021-01-04 21:00:00+00:00,15.311001,89.59905,13.611
94,2021-01-04 22:00:00+00:00,15.261001,89.59525,13.561001
95,2021-01-04 23:00:00+00:00,15.511001,87.88364,13.511001
96,2021-01-05 00:00:00+00:00,15.461,86.741455,13.261001
97,2021-01-05 01:00:00+00:00,15.261001,88.148445,13.311001
98,2021-01-05 02:00:00+00:00,14.911,90.154396,13.311001
99,2021-01-05 03:00:00+00:00,15.811001,87.05747,13.661
100,2021-01-05 04:00:00+00:00,16.311,87.10418,14.161
101,2021-01-05 05:00:00+00:00,17.261,86.35508,14.961
102,2021-01-05 06:00:00+00:00,17.711,85.57139,15.261001
103,2021-01-05 07:00:00+00:00,18.311,82.669106,15.311001
104,2021-01-05 08:00:00+00:00,18.861,79.87208,15.311001
105,2021-01-05 09:00:00+00:00,19.161001,78.89579,15.411
106,2021-01-05 10:00:00+00:00,19.211,79.920296,15.661
107,2021-01-05 11:00:00+00:00,18.511,84.56631,15.861
108,2021-01-05 12:00:00+00:00,17.311,85.530205,14.861
109,2021-01-05 13:00:00+00:00,16.211,85.41606,13.761001
110,2021-01-05 14:00:00+00:00,15.711,85.08581,13.211
111,2021-01-05 15:00:00+00:00,15.661,84.80326,13.111
112,2021-01-05 16:00:00+00:00,15.311001,87.580025,13.261001
113,2021-01-05 17:00:00+00:00,15.161,87.852715,13.161
114,2021-01-05 18:00:00+00:00,16.011,84.2904,13.361
115,2021-01-05 19:00:00+00:00,15.961,87.07153,13.811001
116,2021-01-05 20:00:00+00:00,15.961,90.81529,14.461
117,2021-01-05 21:00:00+00:00,15.461,94.67997,14.611
118,2021-01-05 22:00:00+00:00,14.861,96.82513,14.361
119,2021-01-05 23:00:00+00:00,15.111,96.51921,14.561001
120,2021-01-06 00:00:00+00:00,14.961,95.274796,14.211
121,2021-01-06 01:00:00+00:00,15.011001,94.96879,14.211
122,2021-01-06 02:00:00+00:00,14.811001,94.653786,13.961
123,2021-01-06 03:00:00+00:00,15.411,95.29086,14.661
124,2021-01-06 04:00:00+00:00,16.211,92.0102,14.911
125,2021-01-06 05:00:00+00:00,17.561,87.21982,15.411
126,2021-01-06 06:00:00+00:00,18.761,82.45933,15.711
127,2021-01-06 07:00:00+00:00,19.811,76.01526,15.461
128,2021-01-06 08:00:00+00:00,20.111,76.30678,15.811001
129,2021-01-06 09:00:00+00:00,20.261,75.84441,15.861
130,2021-01-06 10:00:00+00:00,20.211,74.632805,15.561001
131,2021-01-06 11:00:00+00:00,19.711,78.974625,15.961
