,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,6.1,89.79534,4.55
1,2021-01-01 01:00:00+00:00,5.75,91.99378,4.55
2,2021-01-01 02:00:00+00:00,6.85,85.57756,4.6
3,2021-01-01 03:00:00+00:00,10.2,69.17363,4.8
4,2021-01-01 04:00:00+00:00,14.0,51.475384,4.15
5,2021-01-01 05:00:00+00:00,16.55,41.89788,3.55
6,2021-01-01 06:00:00+00:00,18.55,35.904026,3.15
7,2021-01-01 07:00:00+00:00,20.15,32.732388,3.25
8,2021-01-01 08:00:00+00:00,21.2,31.560053,3.65
9,2021-01-01 09:00:00+00:00,21.7,31.813906,4.2
10,2021-01-01 10:00:00+00:00,21.6,32.57414,4.45
11,2021-01-01 11:00:00+00:00,20.35,41.822083,6.95
12,2021-01-01 12:00:00+00:00,16.05,50.43527,5.75
13,2021-01-01 13:00:00+00:00,15.0,51.56611,5.1
14,2021-01-01 14:00:00+00:00,13.4,57.392723,5.15
15,2021-01-01 15:00:00+00:00,12.4,61.27124,5.15
16,2021-01-01 16:00:00+00:00,11.85,61.999218,4.8
17,2021-01-01 17:00:00+00:00,11.45,61.904728,4.4
18,2021-01-01 18:00:00+00:00,11.2,61.845505,4.15
19,2021-01-01 19:00:00+00:00,10.4,65.22371,4.15
20,2021-01-01 20:00:00+00:00,9.6,70.516396,4.5
21,2021-01-01 21:00:00+00:00,9.25,74.75752,5.0
22,2021-01-01 22:00:00+00:00,8.85,80.34662,5.65
23,2021-01-01 23:00:00+00:00,8.7,83.44125,6.05
24,2021-01-02 00:00:00+00:00,9.85,81.31968,6.8
25,2021-01-02 01:00:00+00:00,9.25,84.66239,6.8
26,2021-01-02 02:00:00+00:00,9.35,85.54849,7.05
27,2021-01-02 03:00:00+00:00,12.6,71.34233,7.55
28,2021-01-02 04:00:00+00:00,16.1,56.31367,7.4
29,2021-01-02 05:00:00+00:00,18.95,46.565914,7.25
30,2021-01-02 06:00:00+00:00,20.9,42.991493,7.85
31,2021-01-02 07:00:00+00:00,22.35,41.81931,8.75
32,2021-01-02 08:00:00+00:00,23.4,40.861725,9.35
33,2021-01-02 09:00:00+00:00,23.9,40.3211,9.6
34,2021-01-02 10:00:00+00:00,23.85,40.85143,9.75
35,2021-01-02 11:00:00+00:00,22.85,64.27538,15.75
36,2021-01-02 12:00:00+00:00,22.55,45.389175,10.15
37,2021-01-02 13:00:00+00:00,21.45,48.86349,10.25
38,2021-01-02 14:00:00+00:00,17.5,64.793976,10.8
39,2021-01-02 15:00:00+00:00,15.9,72.20062,10.9
40,2021-01-02 16:00:00+00:00,15.45,73.81797,10.8
41,2021-01-02 17:00:00+00:00,15.2,75.01177,10.8
42,2021-01-02 18:00:00+00:00,14.55,78.73968,10.9
43,2021-01-02 19:00:00+00:00,14.1,80.5279,10.8
44,2021-01-02 20:00:00+00:00,13.45,82.61439,10.55
45,2021-01-02 21:00:00+00:00,13.25,82.04022,10.25
46,2021-01-02 22:00:00+00:00,12.85,83.09396,10.05
47,2021-01-02 23:00:00+00:00,12.4,85.58091,10.05
48,2021-01-03 00:00:00+00:00,12.2,91.15941,10.8
49,2021-01-03 01:00:00+00:00,12.2,91.15941,10.8
50,2021-01-03 02:00:00+00:00,13.05,85.93414,10.75
51,2021-01-03 03:00:00+00:00,15.75,72.65447,10.85
52,2021-01-03 04:00:00+00:00,18.65,61.286854,11.05
53,2021-01-03 05:00:00+00:00,21.2,53.205975,11.3
54,2021-01-03 06:00:00+00:00,23.1,47.86412,11.45
55,2021-01-03 07:00:00+00:00,24.45,43.838757,11.35
56,2021-01-03 08:00:00+00:00,25.35,40.99988,11.15
57,2021-01-03 09:00:00+00:00,25.55,39.716736,10.85
58,2021-01-03 10:00:00+00:00,25.7,38.586834,10.55
59,2021-01-03 11:00:00+00:00,24.55,49.37118,13.25
60,2021-01-03 12:00:00+00:00,21.95,55.72824,12.7
61,2021-01-03 13:00:00+00:00,21.45,55.23829,12.1
62,2021-01-03 14:00:00+00:00,20.95,55.29415,11.65
63,2021-01-03 15:00:00+00:00,20.35,57.376255,11.65
64,2021-01-03 16:00:00+00:00,19.9,59.582603,11.8
65,2021-01-03 17:00:00+00:00,19.5,61.89043,12.0
66,2021-01-03 18:00:00+00:00,18.95,66.18679,12.5
67,2021-01-03 19:00:00+00:00,18.6,69.446106,12.9
68,2021-01-03 20:00:00+00:00,18.2,72.61809,13.2
69,2021-01-03 21:00:00+00:00,17.5,76.63463,13.35
