,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,10.626,91.668846,9.326
1,2021-01-01 01:00:00+00:00,10.526,91.04737,9.126
2,2021-01-01 02:00:00+00:00,12.426,81.65982,9.376
3,2021-01-01 03:00:00+00:00,15.326,72.33594,10.376
4,2021-01-01 04:00:00+00:00,18.325998,64.546104,11.526
5,2021-01-01 05:00:00+00:00,20.675999,57.267475,11.926
6,2021-01-01 06:00:00+00:00,22.226,51.061443,11.626
7,2021-01-01 07:00:00+00:00,23.026,45.97721,10.776
8,2021-01-01 08:00:00+00:00,23.425999,44.581837,10.676
9,2021-01-01 09:00:00+00:00,23.425999,44.28604,10.576
10,2021-01-01 10:00:00+00:00,22.976,45.96346,10.726
11,2021-01-01 11:00:00+00:00,20.026,65.9822,13.476
12,2021-01-01 12:00:00+00:00,17.575998,63.954426,10.676
13,2021-01-01 13:00:00+00:00,16.675999,67.25363,10.576
14,2021-01-01 14:00:00+00:00,15.276,74.033455,10.676
15,2021-01-01 15:00:00+00:00,15.376,72.10426,10.376
16,2021-01-01 16:00:00+00:00,14.876,70.10558,9.476
17,2021-01-01 17:00:00+00:00,14.326,69.5271,8.826
18,2021-01-01 18:00:00+00:00,13.676,70.82358,8.476
19,2021-01-01 19:00:00+00:00,12.976,73.131676,8.276
20,2021-01-01 20:00:00+00:00,12.176,76.03043,8.076
21,2021-01-01 21:00:00+00:00,11.426,78.53961,7.826
22,2021-01-01 22:00:00+00:00,11.176,78.23473,7.526
23,2021-01-01 23:00:00+00:00,10.776,78.71042,7.226
24,2021-01-02 00:00:00+00:00,10.676,83.39329,7.976
25,2021-01-02 01:00:00+00:00,10.676,83.11025,7.926
26,2021-01-02 02:00:00+00:00,12.376,76.06332,8.276
27,2021-01-02 03:00:00+00:00,15.176,66.7145,9.026
28,2021-01-02 04:00:00+00:00,18.075998,59.54166,10.076
29,2021-01-02 05:00:00+00:00,20.425999,54.253716,10.876
30,2021-01-02 06:00:00+00:00,22.075998,49.35922,10.976
31,2021-01-02 07:00:00+00:00,22.976,44.90429,10.376
32,2021-01-02 08:00:00+00:00,23.376,43.25036,10.176
33,2021-01-02 09:00:00+00:00,23.376,42.53329,9.926
34,2021-01-02 10:00:00+00:00,22.925999,44.147057,10.076
35,2021-01-02 11:00:00+00:00,22.226,47.46823,10.526
36,2021-01-02 12:00:00+00:00,20.026,55.4272,10.826
37,2021-01-02 13:00:00+00:00,17.276,67.37806,11.176
38,2021-01-02 14:00:00+00:00,16.825998,67.959114,10.876
39,2021-01-02 15:00:00+00:00,16.175999,69.427635,10.576
40,2021-01-02 16:00:00+00:00,15.726,69.33852,10.126
41,2021-01-02 17:00:00+00:00,15.126,71.57796,10.026
42,2021-01-02 18:00:00+00:00,14.376,73.87629,9.776
43,2021-01-02 19:00:00+00:00,13.676,76.275566,9.576
44,2021-01-02 20:00:00+00:00,12.876,79.821945,9.476
45,2021-01-02 21:00:00+00:00,11.476,86.93397,9.376
46,2021-01-02 22:00:00+00:00,10.776,90.149956,9.226
47,2021-01-02 23:00:00+00:00,10.476,90.43225,8.976
48,2021-01-03 00:00:00+00:00,10.176,92.57241,9.026
49,2021-01-03 01:00:00+00:00,10.326,93.20617,9.276
50,2021-01-03 02:00:00+00:00,12.676,85.04022,10.226
51,2021-01-03 03:00:00+00:00,15.926,74.39196,11.376
52,2021-01-03 04:00:00+00:00,19.126,63.039837,11.926
53,2021-01-03 05:00:00+00:00,21.476,53.277416,11.576
54,2021-01-03 06:00:00+00:00,22.825998,47.789787,11.176
55,2021-01-03 07:00:00+00:00,23.376,46.997974,11.426
56,2021-01-03 08:00:00+00:00,23.726,46.629322,11.626
57,2021-01-03 09:00:00+00:00,23.675999,46.924572,11.676
