,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,4.348,100.0,4.348
1,2021-01-01 01:00:00+00:00,3.898,99.64931,3.848
2,2021-01-01 02:00:00+00:00,4.198,98.95372,4.048
3,2021-01-01 03:00:00+00:00,5.648,97.94111,5.348
4,2021-01-01 04:00:00+00:00,7.548,97.63746,7.198
5,2021-01-01 05:00:00+00:00,9.798,90.383286,8.298
6,2021-01-01 06:00:00+00:00,13.098,74.15095,8.598
7,2021-01-01 07:00:00+00:00,15.748,49.83146,5.298
8,2021-01-01 08:00:00+00:00,17.048,41.747166,3.948
9,2021-01-01 09:00:00+00:00,17.748,38.155178,3.2979999
10,2021-01-01 10:00:00+00:00,17.798,37.767567,3.198
11,2021-01-01 11:00:00+00:00,16.648,48.042824,5.598
12,2021-01-01 12:00:00+00:00,15.048,42.96532,2.5479999
13,2021-01-01 13:00:00+00:00,13.998,42.96822,1.5979999
14,2021-01-01 14:00:00+00:00,13.448,43.117493,1.148
15,2021-01-01 15:00:00+00:00,12.898,44.853855,1.198
16,2021-01-01 16:00:00+00:00,10.248,56.385303,1.948
17,2021-01-01 17:00:00+00:00,7.698,73.9621,3.348
18,2021-01-01 18:00:00+00:00,6.848,86.78029,4.798
19,2021-01-01 19:00:00+00:00,6.298,91.07165,4.948
20,2021-01-01 20:00:00+00:00,6.948,91.43217,5.648
21,2021-01-01 21:00:00+00:00,7.148,93.0383,6.098
22,2021-01-01 22:00:00+00:00,7.698,90.54081,6.248
23,2021-01-01 23:00:00+00:00,6.148,94.61393,5.348
24,2021-01-02 00:00:00+00:00,5.548,97.26102,5.148
25,2021-01-02 01:00:00+00:00,6.648,95.29134,5.948
26,2021-01-02 02:00:00+00:00,6.848,96.62157,6.348
27,2021-01-02 03:00:00+00:00,9.198,87.00974,7.148
28,2021-01-02 04:00:00+00:00,12.448,75.8177,8.298
29,2021-01-02 05:00:00+00:00,15.548,61.593166,8.198
