,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,13.848,90.67046,12.348
1,2021-01-01 01:00:00+00:00,13.548,90.35168,11.998
2,2021-01-01 02:00:00+00:00,13.998,88.03854,12.048
3,2021-01-01 03:00:00+00:00,16.598,75.991135,12.348
4,2021-01-01 04:00:00+00:00,19.598,64.61156,12.748
5,2021-01-01 05:00:00+00:00,22.548,54.082237,12.798
6,2021-01-01 06:00:00+00:00,24.898,46.79486,12.748
7,2021-01-01 07:00:00+00:00,26.448,43.104855,12.898
8,2021-01-01 08:00:00+00:00,27.148,41.909927,13.098
9,2021-01-01 09:00:00+00:00,27.348,42.239708,13.398
10,2021-01-01 10:00:00+00:00,27.248,43.749634,13.848
11,2021-01-01 11:00:00+00:00,26.648,46.359673,14.198
12,2021-01-01 12:00:00+00:00,23.898,59.37028,15.498
13,2021-01-01 13:00:00+00:00,21.698,67.62258,15.448
14,2021-01-01 14:00:00+00:00,21.248,69.73464,15.498
15,2021-01-01 15:00:00+00:00,20.698,70.75686,15.198
16,2021-01-01 16:00:00+00:00,20.198,71.11982,14.798
17,2021-01-01 17:00:00+00:00,19.648,73.58465,14.798
18,2021-01-01 18:00:00+00:00,19.198,76.16178,14.898
19,2021-01-01 19:00:00+00:00,19.348,72.82323,14.348
20,2021-01-01 20:00:00+00:00,19.148,70.69345,13.698
21,2021-01-01 21:00:00+00:00,18.998,69.75082,13.348
22,2021-01-01 22:00:00+00:00,18.898,70.41649,13.398
23,2021-01-01 23:00:00+00:00,18.748,71.07941,13.398
24,2021-01-02 00:00:00+00:00,18.648,70.59874,13.198
25,2021-01-02 01:00:00+00:00,18.248,73.10173,13.348
26,2021-01-02 02:00:00+00:00,18.598,72.218056,13.498
27,2021-01-02 03:00:00+00:00,20.398,66.27535,13.898
28,2021-01-02 04:00:00+00:00,22.298,60.344067,14.248
29,2021-01-02 05:00:00+00:00,24.248,56.48033,15.048
30,2021-01-02 06:00:00+00:00,25.598,54.50269,15.748
31,2021-01-02 07:00:00+00:00,26.948,51.628,16.148
32,2021-01-02 08:00:00+00:00,27.198,50.39118,15.997999
33,2021-01-02 09:00:00+00:00,27.148,49.89755,15.798
34,2021-01-02 10:00:00+00:00,26.548,53.53564,16.348
35,2021-01-02 11:00:00+00:00,25.648,58.655552,16.948
36,2021-01-02 12:00:00+00:00,23.798,66.5558,17.198
37,2021-01-02 13:00:00+00:00,21.998,73.521095,17.048
38,2021-01-02 14:00:00+00:00,21.248,78.94314,17.448
39,2021-01-02 15:00:00+00:00,20.248,85.28982,17.698
40,2021-01-02 16:00:00+00:00,19.748,87.41855,17.598
41,2021-01-02 17:00:00+00:00,19.098,90.451904,17.498
42,2021-01-02 18:00:00+00:00,18.298,95.09158,17.498
43,2021-01-02 19:00:00+00:00,18.248,96.29705,17.648
44,2021-01-02 20:00:00+00:00,18.198,95.99246,17.548
45,2021-01-02 21:00:00+00:00,18.198,95.69012,17.498
46,2021-01-02 22:00:00+00:00,18.298,95.09158,17.498
47,2021-01-02 23:00:00+00:00,18.148,94.78613,17.298
48,2021-01-03 00:00:00+00:00,17.698,95.06953,16.898
49,2021-01-03 01:00:00+00:00,17.498,95.9713,16.848
50,2021-01-03 02:00:00+00:00,17.598,95.97434,16.948
51,2021-01-03 03:00:00+00:00,18.898,93.04249,17.748
52,2021-01-03 04:00:00+00:00,20.748,87.507904,18.598
53,2021-01-03 05:00:00+00:00,22.698,77.92111,18.648
54,2021-01-03 06:00:00+00:00,24.048,70.48733,18.348
55,2021-01-03 07:00:00+00:00,25.098,65.57667,18.198
56,2021-01-03 08:00:00+00:00,25.748,65.099144,18.698
57,2021-01-03 09:00:00+00:00,26.248,63.003742,18.648
58,2021-01-03 10:00:00+00:00,24.048,70.708595,18.398
59,2021-01-03 11:00:00+00:00,21.998,83.888374,19.148
60,2021-01-03 12:00:00+00:00,21.298,82.2476,18.148
61,2021-01-03 13:00:00+00:00,19.648,90.77469,18.098
62,2021-01-03 14:00:00+00:00,18.948,92.46087,17.698
63,2021-01-03 15:00:00+00:00,18.548,94.503426,17.648
64,2021-01-03 16:00:00+00:00,18.148,95.38688,17.398
65,2021-01-03 17:00:00+00:00,18.098,95.38514,17.348
66,2021-01-03 18:00:00+00:00,17.948,95.682014,17.248
67,2021-01-03 19:00:00+00:00,17.898,95.68038,17.198
68,2021-01-03 20:00:00+00:00,17.598,96.58426,17.048
69,2021-01-03 21:00:00+00:00,17.298,97.809296,16.948
70,2021-01-03 22:00:00+00:00,17.048,98.11605,16.748
71,2021-01-03 23:00:00+00:00,16.898,98.42607,16.648
72,2021-01-04 00:00:00+00:00,17.048,98.74053,16.848
73,2021-01-04 01:00:00+00:00,17.048,98.74053,16.848
74,2021-01-04 02:00:00+00:00,16.998,98.11535,16.698
75,2021-01-04 03:00:00+00:00,18.348,89.827446,16.648
76,2021-01-04 04:00:00+00:00,20.598,75.65693,16.148
77,2021-01-04 05:00:00+00:00,22.198,66.436874,15.648
78,2021-01-04 06:00:00+00:00,23.798,58.778175,15.248
79,2021-01-04 07:00:00+00:00,24.148,56.093407,14.848
80,2021-01-04 08:00:00+00:00,24.048,57.346256,15.098
81,2021-01-04 09:00:00+00:00,24.548,57.28377,15.548
82,2021-01-04 10:00:00+00:00,25.098,52.148735,14.598
83,2021-01-04 11:00:00+00:00,24.298,53.652206,14.298
84,2021-01-04 12:00:00+00:00,22.898,55.78314,13.598
85,2021-01-04 13:00:00+00:00,21.548,57.48152,12.798
86,2021-01-04 14:00:00+00:00,19.848,65.515915,13.198
87,2021-01-04 15:00:00+00:00,19.248,69.12121,13.448
88,2021-01-04 16:00:00+00:00,19.598,67.19399,13.348
