,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,13.572,93.67815,12.572
1,2021-01-01 01:00:00+00:00,13.172,95.2101,12.422
2,2021-01-01 02:00:00+00:00,14.622,87.80489,12.622
3,2021-01-01 03:00:00+00:00,17.472,73.68453,12.722
4,2021-01-01 04:00:00+00:00,20.472,61.30546,12.772
5,2021-01-01 05:00:00+00:00,22.872002,52.42206,12.622
6,2021-01-01 06:00:00+00:00,24.622002,45.20912,11.972
7,2021-01-01 07:00:00+00:00,25.872002,40.875,11.572
8,2021-01-01 08:00:00+00:00,26.622002,38.84599,11.472
9,2021-01-01 09:00:00+00:00,26.972,37.429745,11.222
10,2021-01-01 10:00:00+00:00,26.922,36.435173,10.772
11,2021-01-01 11:00:00+00:00,25.822,49.388382,14.422
12,2021-01-01 12:00:00+00:00,21.922,52.52002,11.772
13,2021-01-01 13:00:00+00:00,20.972,56.034214,11.872
14,2021-01-01 14:00:00+00:00,19.422,63.731365,12.372
15,2021-01-01 15:00:00+00:00,20.572,58.384247,12.122
16,2021-01-01 16:00:00+00:00,18.122002,64.71518,11.372
17,2021-01-01 17:00:00+00:00,16.472,66.987335,10.322
18,2021-01-01 18:00:00+00:00,16.322,64.75193,9.672
19,2021-01-01 19:00:00+00:00,15.372,70.20216,9.972
20,2021-01-01 20:00:00+00:00,14.822,74.20167,10.272
21,2021-01-01 21:00:00+00:00,14.422,76.39615,10.322
22,2021-01-01 22:00:00+00:00,13.822,80.22216,10.472
23,2021-01-01 23:00:00+00:00,13.322,84.26543,10.722
24,2021-01-02 00:00:00+00:00,12.822,90.89926,11.372
25,2021-01-02 01:00:00+00:00,12.472,93.62526,11.472
26,2021-01-02 02:00:00+00:00,14.072,85.47205,11.672
27,2021-01-02 03:00:00+00:00,17.122002,71.24088,11.872
28,2021-01-02 04:00:00+00:00,20.472,57.976856,11.922
29,2021-01-02 05:00:00+00:00,23.222,47.267876,11.372
30,2021-01-02 06:00:00+00:00,25.122002,40.395424,10.722
31,2021-01-02 07:00:00+00:00,26.322,36.63131,10.322
32,2021-01-02 08:00:00+00:00,26.972,35.491436,10.422
33,2021-01-02 09:00:00+00:00,27.222,34.857967,10.372
34,2021-01-02 10:00:00+00:00,27.072,34.815823,10.222
35,2021-01-02 11:00:00+00:00,25.822,38.87895,10.772
36,2021-01-02 12:00:00+00:00,21.872002,51.13684,11.322
37,2021-01-02 13:00:00+00:00,21.572,53.83243,11.822
38,2021-01-02 14:00:00+00:00,19.472,62.498116,12.122
39,2021-01-02 15:00:00+00:00,18.422,67.83634,12.372
40,2021-01-02 16:00:00+00:00,17.722,67.02579,11.522
41,2021-01-02 17:00:00+00:00,17.272001,66.710236,11.022
42,2021-01-02 18:00:00+00:00,16.622002,67.24239,10.522
43,2021-01-02 19:00:00+00:00,15.872,65.97011,9.522
44,2021-01-02 20:00:00+00:00,15.022,64.90274,8.472
45,2021-01-02 21:00:00+00:00,14.322,66.53305,8.172
46,2021-01-02 22:00:00+00:00,13.622,71.77836,8.622
47,2021-01-02 23:00:00+00:00,12.972,75.39325,8.722
48,2021-01-03 00:00:00+00:00,12.222,77.07688,8.322
49,2021-01-03 01:00:00+00:00,11.672,80.46448,8.422
50,2021-01-03 02:00:00+00:00,14.172,68.0995,8.372
51,2021-01-03 03:00:00+00:00,17.322,56.240746,8.522
52,2021-01-03 04:00:00+00:00,20.672,47.360577,9.072
53,2021-01-03 05:00:00+00:00,23.672,40.528187,9.472
54,2021-01-03 06:00:00+00:00,25.922,33.1219,8.472
55,2021-01-03 07:00:00+00:00,27.372002,28.606426,7.572
56,2021-01-03 08:00:00+00:00,28.272001,26.140594,7.022
57,2021-01-03 09:00:00+00:00,28.572,25.95386,7.172
58,2021-01-03 10:00:00+00:00,28.322,27.341316,7.722
59,2021-01-03 11:00:00+00:00,26.422,38.661594,11.222
60,2021-01-03 12:00:00+00:00,26.272001,32.7744,8.622
61,2021-01-03 13:00:00+00:00,25.172,34.98364,8.622
62,2021-01-03 14:00:00+00:00,22.972,40.87849,8.972
63,2021-01-03 15:00:00+00:00,19.472,51.35586,9.172
64,2021-01-03 16:00:00+00:00,17.422,57.417976,8.922
65,2021-01-03 17:00:00+00:00,16.372002,60.751858,8.772
66,2021-01-03 18:00:00+00:00,15.622,64.380066,8.922
67,2021-01-03 19:00:00+00:00,15.022,67.360054,9.022
68,2021-01-03 20:00:00+00:00,14.372,70.00701,8.972
69,2021-01-03 21:00:00+00:00,13.672,72.51901,8.822
70,2021-01-03 22:00:00+00:00,14.172,68.5624,8.472
71,2021-01-03 23:00:00+00:00,14.122,69.018,8.522
72,2021-01-04 00:00:00+00:00,13.472,78.05528,9.722
73,2021-01-04 01:00:00+00:00,13.722,77.05424,9.772
74,2021-01-04 02:00:00+00:00,15.772,67.51609,9.772
