,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,9.78,91.92591,8.53
1,2021-01-01 01:00:00+00:00,9.68,92.23156,8.4800005
2,2021-01-01 02:00:00+00:00,11.2300005,87.497505,9.2300005
3,2021-01-01 03:00:00+00:00,14.33,76.381325,10.2300005
4,2021-01-01 04:00:00+00:00,16.929998,67.53039,10.88
5,2021-01-01 05:00:00+00:00,19.23,62.237617,11.83
6,2021-01-01 06:00:00+00:00,21.23,57.97099,12.63
7,2021-01-01 07:00:00+00:00,22.63,54.28034,12.93
8,2021-01-01 08:00:00+00:00,23.529999,51.91075,13.08
9,2021-01-01 09:00:00+00:00,23.88,50.497417,12.9800005
10,2021-01-01 10:00:00+00:00,23.779999,50.306202,12.83
11,2021-01-01 11:00:00+00:00,22.679998,60.628315,14.68
12,2021-01-01 12:00:00+00:00,18.98,72.05303,13.83
13,2021-01-01 13:00:00+00:00,17.58,78.41189,13.78
14,2021-01-01 14:00:00+00:00,16.529999,80.855675,13.2300005
15,2021-01-01 15:00:00+00:00,15.43,83.67554,12.68
16,2021-01-01 16:00:00+00:00,14.4800005,85.51474,12.08
17,2021-01-01 17:00:00+00:00,13.53,87.99745,11.58
18,2021-01-01 18:00:00+00:00,12.58,90.58192,11.08
19,2021-01-01 19:00:00+00:00,12.33,90.564316,10.83
20,2021-01-01 20:00:00+00:00,12.28,91.772156,10.9800005
21,2021-01-01 21:00:00+00:00,12.18,92.99246,11.08
22,2021-01-01 22:00:00+00:00,11.93,94.22239,11.03
23,2021-01-01 23:00:00+00:00,11.43,94.829704,10.63
24,2021-01-02 00:00:00+00:00,11.63,96.10569,11.03
25,2021-01-02 01:00:00+00:00,11.13,97.37852,10.7300005
26,2021-01-02 02:00:00+00:00,12.2300005,97.0801,11.78
27,2021-01-02 03:00:00+00:00,15.13,88.425064,13.2300005
28,2021-01-02 04:00:00+00:00,18.58,75.57224,14.18
29,2021-01-02 05:00:00+00:00,21.38,62.521282,13.93
30,2021-01-02 06:00:00+00:00,23.23,52.172737,12.88
31,2021-01-02 07:00:00+00:00,24.429998,45.15633,11.78
32,2021-01-02 08:00:00+00:00,25.13,41.485207,11.13
33,2021-01-02 09:00:00+00:00,25.38,40.467846,10.9800005
