,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,2.961,93.13943,1.961
1,2021-01-01 01:00:00+00:00,2.461,94.11795,1.611
2,2021-01-01 02:00:00+00:00,2.661,94.127266,1.811
3,2021-01-01 03:00:00+00:00,5.361,87.55357,3.461
4,2021-01-01 04:00:00+00:00,9.561001,73.77874,5.111
5,2021-01-01 05:00:00+00:00,13.061001,64.02514,6.411
6,2021-01-01 06:00:00+00:00,15.361,53.85367,6.061
7,2021-01-01 07:00:00+00:00,16.961,46.81507,5.511
8,2021-01-01 08:00:00+00:00,18.011,43.66167,5.461
9,2021-01-01 09:00:00+00:00,18.511,42.460308,5.511
10,2021-01-01 10:00:00+00:00,18.461,42.59348,5.511
11,2021-01-01 11:00:00+00:00,17.461,48.936295,6.611
12,2021-01-01 12:00:00+00:00,14.111,60.211346,6.511
13,2021-01-01 13:00:00+00:00,12.861,64.86759,6.411
14,2021-01-01 14:00:00+00:00,11.711,69.95922,6.411
15,2021-01-01 15:00:00+00:00,12.111,67.90497,6.361
16,2021-01-01 16:00:00+00:00,11.861,69.03233,6.361
17,2021-01-01 17:00:00+00:00,11.361,71.350426,6.361
18,2021-01-01 18:00:00+00:00,11.211,71.56796,6.261
19,2021-01-01 19:00:00+00:00,11.361,70.61673,6.211
20,2021-01-01 20:00:00+00:00,11.261001,70.35398,6.061
21,2021-01-01 21:00:00+00:00,10.411,78.9259,6.911
22,2021-01-01 22:00:00+00:00,10.711,78.7007,7.161
23,2021-01-01 23:00:00+00:00,10.361,82.5071,7.511
24,2021-01-02 00:00:00+00:00,10.211,78.08716,6.561
25,2021-01-02 01:00:00+00:00,9.461,83.532684,6.811
26,2021-01-02 02:00:00+00:00,9.011001,85.21921,6.661
27,2021-01-02 03:00:00+00:00,11.161,76.12268,7.111
28,2021-01-02 04:00:00+00:00,13.211,68.5996,7.561
29,2021-01-02 05:00:00+00:00,15.011001,65.56256,8.611
30,2021-01-02 06:00:00+00:00,15.911,68.91357,10.211
31,2021-01-02 07:00:00+00:00,16.511,70.65617,11.161
32,2021-01-02 08:00:00+00:00,18.061,68.21018,12.111
33,2021-01-02 09:00:00+00:00,19.711,65.06018,12.961
34,2021-01-02 10:00:00+00:00,20.011,67.060684,13.711
35,2021-01-02 11:00:00+00:00,18.961,72.75432,13.961
36,2021-01-02 12:00:00+00:00,17.561,75.159454,13.111
37,2021-01-02 13:00:00+00:00,16.311,80.82644,13.011001
38,2021-01-02 14:00:00+00:00,15.461,86.17743,13.161
39,2021-01-02 15:00:00+00:00,14.811001,90.73688,13.311001
40,2021-01-02 16:00:00+00:00,14.811001,91.33004,13.411
41,2021-01-02 17:00:00+00:00,14.711,91.62167,13.361
42,2021-01-02 18:00:00+00:00,14.361,92.2,13.111
43,2021-01-02 19:00:00+00:00,14.011001,92.78471,12.861
44,2021-01-02 20:00:00+00:00,14.061001,92.4845,12.861
45,2021-01-02 21:00:00+00:00,14.011001,92.78471,12.861
46,2021-01-02 22:00:00+00:00,13.811001,93.07822,12.711
47,2021-01-02 23:00:00+00:00,13.511001,93.98287,12.561001
48,2021-01-03 00:00:00+00:00,13.311001,93.35844,12.261001
49,2021-01-03 01:00:00+00:00,12.861,93.33581,11.811001
50,2021-01-03 02:00:00+00:00,13.061001,91.51779,11.711
51,2021-01-03 03:00:00+00:00,13.911,89.78586,12.261001
52,2021-01-03 04:00:00+00:00,15.011001,87.552895,12.961
53,2021-01-03 05:00:00+00:00,16.161001,83.216034,13.311001
54,2021-01-03 06:00:00+00:00,18.061,74.998024,13.561001
55,2021-01-03 07:00:00+00:00,20.011,68.37925,14.011001
56,2021-01-03 08:00:00+00:00,20.911001,66.81289,14.511001
57,2021-01-03 09:00:00+00:00,21.261,67.100815,14.911
58,2021-01-03 10:00:00+00:00,20.911001,70.34403,15.311001
59,2021-01-03 11:00:00+00:00,20.611,73.75096,15.761001
60,2021-01-03 12:00:00+00:00,18.061,82.63881,15.061001
61,2021-01-03 13:00:00+00:00,17.411001,87.7675,15.361
62,2021-01-03 14:00:00+00:00,17.061,91.4732,15.661
63,2021-01-03 15:00:00+00:00,16.811,92.34096,15.561001
64,2021-01-03 16:00:00+00:00,16.161001,94.70792,15.311001
65,2021-01-03 17:00:00+00:00,15.661,94.383385,14.761001
66,2021-01-03 18:00:00+00:00,15.111,94.97259,14.311001
67,2021-01-03 19:00:00+00:00,14.861,94.96307,14.061001
68,2021-01-03 20:00:00+00:00,14.711,94.34305,13.811001
69,2021-01-03 21:00:00+00:00,14.611,93.11971,13.511001
