,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,16.916,96.87439,16.416
1,2021-01-01 01:00:00+00:00,16.016,98.73055,15.815999
2,2021-01-01 02:00:00+00:00,16.966002,90.01283,15.316
3,2021-01-01 03:00:00+00:00,18.066,80.27844,14.616
4,2021-01-01 04:00:00+00:00,19.766,67.447624,13.566
5,2021-01-01 05:00:00+00:00,21.316,60.31035,13.316
6,2021-01-01 06:00:00+00:00,22.616001,55.894608,13.366
7,2021-01-01 07:00:00+00:00,22.866001,54.51788,13.216
8,2021-01-01 08:00:00+00:00,23.066,52.130062,12.716
9,2021-01-01 09:00:00+00:00,23.216002,52.855507,13.066
10,2021-01-01 10:00:00+00:00,22.916,52.605495,12.716
11,2021-01-01 11:00:00+00:00,21.716002,65.0688,14.866
12,2021-01-01 12:00:00+00:00,21.266,64.972336,14.415999
13,2021-01-01 13:00:00+00:00,19.866001,71.05794,14.466
14,2021-01-01 14:00:00+00:00,18.766,75.358536,14.316
15,2021-01-01 15:00:00+00:00,18.266,79.53285,14.665999
16,2021-01-01 16:00:00+00:00,17.566,85.831825,15.165999
17,2021-01-01 17:00:00+00:00,17.366001,88.32835,15.415999
18,2021-01-01 18:00:00+00:00,16.816,90.87295,15.316
19,2021-01-01 19:00:00+00:00,16.116001,94.70613,15.266
20,2021-01-01 20:00:00+00:00,15.415999,96.52727,14.866
21,2021-01-01 21:00:00+00:00,14.966,96.20393,14.366
22,2021-01-01 22:00:00+00:00,14.616,95.57198,13.915999
23,2021-01-01 23:00:00+00:00,14.466,95.87775,13.816
24,2021-01-02 00:00:00+00:00,14.616,96.19381,14.016
25,2021-01-02 01:00:00+00:00,14.766,96.19815,14.165999
26,2021-01-02 02:00:00+00:00,16.266,91.12905,14.816
27,2021-01-02 03:00:00+00:00,18.766,80.37329,15.316
28,2021-01-02 04:00:00+00:00,21.116001,69.48594,15.316
29,2021-01-02 05:00:00+00:00,22.816,65.09501,15.915999
30,2021-01-02 06:00:00+00:00,23.716002,62.24403,16.066
31,2021-01-02 07:00:00+00:00,24.466002,60.075756,16.216002
32,2021-01-02 08:00:00+00:00,23.016,67.45808,16.666
33,2021-01-02 09:00:00+00:00,22.916,70.27506,17.216002
34,2021-01-02 10:00:00+00:00,21.216002,80.95465,17.816
35,2021-01-02 11:00:00+00:00,20.666,84.79854,18.016
36,2021-01-02 12:00:00+00:00,19.966002,88.82371,18.066
37,2021-01-02 13:00:00+00:00,19.516,92.49227,18.266
38,2021-01-02 14:00:00+00:00,19.066,95.71803,18.366001
39,2021-01-02 15:00:00+00:00,18.816,97.22323,18.366001
40,2021-01-02 16:00:00+00:00,18.766,96.31141,18.166
41,2021-01-02 17:00:00+00:00,18.416,98.13555,18.116001
42,2021-01-02 18:00:00+00:00,18.366001,97.82698,18.016
43,2021-01-02 19:00:00+00:00,18.116001,98.440605,17.866001
44,2021-01-02 20:00:00+00:00,17.966002,97.51241,17.566
45,2021-01-02 21:00:00+00:00,17.216002,99.369316,17.116001
46,2021-01-02 22:00:00+00:00,16.966002,99.0535,16.816
47,2021-01-02 23:00:00+00:00,16.866001,97.802086,16.516
48,2021-01-03 00:00:00+00:00,17.166,97.188385,16.716002
49,2021-01-03 01:00:00+00:00,17.166,96.88031,16.666
50,2021-01-03 02:00:00+00:00,17.766,93.87388,16.766
51,2021-01-03 03:00:00+00:00,19.866001,81.29284,16.566
52,2021-01-03 04:00:00+00:00,21.466002,74.3682,16.716002
53,2021-01-03 05:00:00+00:00,23.466002,65.440704,16.616001
54,2021-01-03 06:00:00+00:00,24.416,63.19723,16.966002
55,2021-01-03 07:00:00+00:00,25.266,60.261215,17.016
56,2021-01-03 08:00:00+00:00,24.416,63.598766,17.066
57,2021-01-03 09:00:00+00:00,24.216002,64.569664,17.116001
58,2021-01-03 10:00:00+00:00,23.366001,69.697296,17.516
59,2021-01-03 11:00:00+00:00,23.016,71.63767,17.616001
60,2021-01-03 12:00:00+00:00,21.716002,79.75814,18.066
61,2021-01-03 13:00:00+00:00,20.566,86.94497,18.316
62,2021-01-03 14:00:00+00:00,19.866001,91.93429,18.516
63,2021-01-03 15:00:00+00:00,19.316,96.025894,18.666
64,2021-01-03 16:00:00+00:00,19.516,95.433784,18.766
65,2021-01-03 17:00:00+00:00,19.466002,96.330696,18.866001
66,2021-01-03 18:00:00+00:00,19.316,96.326614,18.716002
67,2021-01-03 19:00:00+00:00,18.866001,96.6167,18.316
68,2021-01-03 20:00:00+00:00,18.516,96.60781,17.966002
69,2021-01-03 21:00:00+00:00,18.316,96.90729,17.816
70,2021-01-03 22:00:00+00:00,18.166,96.903786,17.666
71,2021-01-03 23:00:00+00:00,18.066,96.90145,17.566
72,2021-01-04 00:00:00+00:00,17.866001,97.20323,17.416
73,2021-01-04 01:00:00+00:00,18.016,95.38232,17.266
74,2021-01-04 02:00:00+00:00,18.066,95.083084,17.266
75,2021-01-04 03:00:00+00:00,19.116001,86.80956,16.866001
76,2021-01-04 04:00:00+00:00,20.416,78.32487,16.516
77,2021-01-04 05:00:00+00:00,22.116001,70.57121,16.516
78,2021-01-04 06:00:00+00:00,23.366001,65.21192,16.466002
79,2021-01-04 07:00:00+00:00,24.166,61.1656,16.216002
80,2021-01-04 08:00:00+00:00,24.166,60.776867,16.116001
81,2021-01-04 09:00:00+00:00,23.666,62.831173,16.166
82,2021-01-04 10:00:00+00:00,23.616001,62.82006,16.116001
83,2021-01-04 11:00:00+00:00,23.516,63.199787,16.116001
84,2021-01-04 12:00:00+00:00,22.666,66.95932,16.216002
85,2021-01-04 13:00:00+00:00,21.066,79.920586,17.466002
86,2021-01-04 14:00:00+00:00,20.166,88.83979,18.266
87,2021-01-04 15:00:00+00:00,19.666,93.081764,18.516
88,2021-01-04 16:00:00+00:00,18.866001,98.449455,18.616001
89,2021-01-04 17:00:00+00:00,19.116001,97.229485,18.666
90,2021-01-04 18:00:00+00:00,19.116001,96.01996,18.466002
91,2021-01-04 19:00:00+00:00,18.466002,98.75407,18.266
92,2021-01-04 20:00:00+00:00,18.516,96.00201,17.866001
93,2021-01-04 21:00:00+00:00,18.016,97.82121,17.666
94,2021-01-04 22:00:00+00:00,17.966002,97.82037,17.616001
95,2021-01-04 23:00:00+00:00,17.666,99.685326,17.616001
96,2021-01-05 00:00:00+00:00,17.966002,99.060684,17.816
97,2021-01-05 01:00:00+00:00,18.066,98.440025,17.816
98,2021-01-05 02:00:00+00:00,18.566,94.50417,17.666
99,2021-01-05 03:00:00+00:00,19.916,87.158714,17.716002
100,2021-01-05 04:00:00+00:00,21.516,78.237946,17.566
101,2021-01-05 05:00:00+00:00,22.966002,70.95371,17.416
102,2021-01-05 06:00:00+00:00,22.966002,72.537155,17.766
103,2021-01-05 07:00:00+00:00,22.066,79.55641,18.366001
104,2021-01-05 08:00:00+00:00,22.066,81.57336,18.766
105,2021-01-05 09:00:00+00:00,22.316,79.84026,18.666
106,2021-01-05 10:00:00+00:00,22.916,75.78943,18.416
107,2021-01-05 11:00:00+00:00,21.166,88.09255,19.116001
108,2021-01-05 12:00:00+00:00,20.216002,95.754585,19.516
109,2021-01-05 13:00:00+00:00,19.816,97.24404,19.366001
110,2021-01-05 14:00:00+00:00,19.716002,98.15379,19.416
111,2021-01-05 15:00:00+00:00,19.666,96.93853,19.166
112,2021-01-05 16:00:00+00:00,19.416,97.84415,19.066
113,2021-01-05 17:00:00+00:00,19.516,98.15104,19.216002
114,2021-01-05 18:00:00+00:00,19.566,98.76445,19.366001
115,2021-01-05 19:00:00+00:00,19.416,98.14961,19.116001
116,2021-01-05 20:00:00+00:00,19.166,99.68891,19.116001
117,2021-01-05 21:00:00+00:00,19.266,99.68916,19.216002
118,2021-01-05 22:00:00+00:00,19.316,99.379395,19.216002
119,2021-01-05 23:00:00+00:00,19.366001,99.3796,19.266
120,2021-01-06 00:00:00+00:00,19.516,99.07173,19.366001
121,2021-01-06 01:00:00+00:00,19.666,99.07278,19.516
122,2021-01-06 02:00:00+00:00,19.766,98.76631,19.566
123,2021-01-06 03:00:00+00:00,20.016,97.550606,19.616001
124,2021-01-06 04:00:00+00:00,21.066,88.9116,19.166
125,2021-01-06 05:00:00+00:00,22.566,84.21247,19.766
126,2021-01-06 06:00:00+00:00,22.016,86.8087,19.716002
127,2021-01-06 07:00:00+00:00,22.766,84.757416,20.066
128,2021-01-06 08:00:00+00:00,23.666,75.672386,19.116001
129,2021-01-06 09:00:00+00:00,21.866001,85.989334,19.416
130,2021-01-06 10:00:00+00:00,21.766,90.07573,20.066
131,2021-01-06 11:00:00+00:00,21.516,89.501076,19.716002
132,2021-01-06 12:00:00+00:00,20.516,93.99739,19.516
133,2021-01-06 13:00:00+00:00,19.916,97.548775,19.516
134,2021-01-06 14:00:00+00:00,19.716002,98.15379,19.416
135,2021-01-06 15:00:00+00:00,19.566,98.76445,19.366001
136,2021-01-06 16:00:00+00:00,19.566,99.68984,19.516
137,2021-01-06 17:00:00+00:00,19.516,99.68976,19.466002
138,2021-01-06 18:00:00+00:00,19.566,99.38056,19.466002
139,2021-01-06 19:00:00+00:00,19.566,99.68984,19.516
140,2021-01-06 20:00:00+00:00,19.566,99.68984,19.516
141,2021-01-06 21:00:00+00:00,19.566,99.38056,19.466002
142,2021-01-06 22:00:00+00:00,19.466002,99.6896,19.416
143,2021-01-06 23:00:00+00:00,19.366001,99.68936,19.316
144,2021-01-07 00:00:00+00:00,19.066,99.378204,18.966002
145,2021-01-07 01:00:00+00:00,19.016,98.45123,18.766
146,2021-01-07 02:00:00+00:00,19.066,98.14472,18.766
147,2021-01-07 03:00:00+00:00,19.166,98.146126,18.866001
148,2021-01-07 04:00:00+00:00,19.616001,96.6357,19.066
149,2021-01-07 05:00:00+00:00,20.216002,93.98412,19.216002
150,2021-01-07 06:00:00+00:00,21.166,88.367455,19.166
151,2021-01-07 07:00:00+00:00,22.166,82.09686,18.966002
152,2021-01-07 08:00:00+00:00,22.866001,77.702705,18.766
153,2021-01-07 09:00:00+00:00,23.416,73.99515,18.516
154,2021-01-07 10:00:00+00:00,22.366001,81.35705,19.016
155,2021-01-07 11:00:00+00:00,22.166,82.35334,19.016
156,2021-01-07 12:00:00+00:00,21.816,85.45095,19.266
157,2021-01-07 13:00:00+00:00,20.666,92.555275,19.416
158,2021-01-07 14:00:00+00:00,20.166,96.94998,19.666
159,2021-01-07 15:00:00+00:00,19.866001,98.76724,19.666
160,2021-01-07 16:00:00+00:00,19.866001,97.24507,19.416
161,2021-01-07 17:00:00+00:00,20.066,95.45242,19.316
162,2021-01-07 18:00:00+00:00,20.216002,93.98412,19.216002
163,2021-01-07 19:00:00+00:00,19.816,97.85067,19.466002
164,2021-01-07 20:00:00+00:00,19.516,98.15104,19.216002
165,2021-01-07 21:00:00+00:00,19.316,99.68926,19.266
166,2021-01-07 22:00:00+00:00,19.366001,99.68936,19.316
167,2021-01-07 23:00:00+00:00,19.316,99.68926,19.266
168,2021-01-08 00:00:00+00:00,19.166,99.378654,19.066
169,2021-01-08 01:00:00+00:00,19.216002,99.06958,19.066
170,2021-01-08 02:00:00+00:00,19.366001,98.45533,19.116001
171,2021-01-08 03:00:00+00:00,20.066,93.10209,18.916
172,2021-01-08 04:00:00+00:00,21.666,84.90459,19.016
173,2021-01-08 05:00:00+00:00,22.816,78.18236,18.816
174,2021-01-08 06:00:00+00:00,24.216002,71.40664,18.716002
175,2021-01-08 07:00:00+00:00,24.816,73.315315,19.716002
176,2021-01-08 08:00:00+00:00,25.016,74.95518,20.266
177,2021-01-08 09:00:00+00:00,24.316,78.88513,20.416
178,2021-01-08 10:00:00+00:00,24.366001,77.68363,20.216002
179,2021-01-08 11:00:00+00:00,22.466002,85.78225,19.966002
180,2021-01-08 12:00:00+00:00,22.866001,76.97729,18.616001
181,2021-01-08 13:00:00+00:00,21.216002,85.925095,18.766
182,2021-01-08 14:00:00+00:00,19.816,97.546936,19.416
183,2021-01-08 15:00:00+00:00,20.016,98.46289,19.766
184,2021-01-08 16:00:00+00:00,19.966002,99.07485,19.816
185,2021-01-08 17:00:00+00:00,20.066,97.854706,19.716002
186,2021-01-08 18:00:00+00:00,19.616001,99.380775,19.516
187,2021-01-08 19:00:00+00:00,19.666,99.07278,19.516
188,2021-01-08 20:00:00+00:00,19.466002,97.540436,19.066
189,2021-01-08 21:00:00+00:00,18.966002,99.688416,18.916
190,2021-01-08 22:00:00+00:00,18.966002,99.688416,18.916
191,2021-01-08 23:00:00+00:00,18.966002,99.688416,18.916
192,2021-01-09 00:00:00+00:00,18.516,99.68738,18.466002
193,2021-01-09 01:00:00+00:00,18.716002,97.83271,18.366001
194,2021-01-09 02:00:00+00:00,19.116001,96.92585,18.616001
195,2021-01-09 03:00:00+00:00,20.066,91.94609,18.716002
196,2021-01-09 04:00:00+00:00,21.216002,84.85698,18.566
197,2021-01-09 05:00:00+00:00,22.816,75.536224,18.266
198,2021-01-09 06:00:00+00:00,23.416,73.303024,18.366001
199,2021-01-09 07:00:00+00:00,24.266,68.7815,18.166
200,2021-01-09 08:00:00+00:00,24.316,69.65946,18.416
201,2021-01-09 09:00:00+00:00,24.066,71.82734,18.666
202,2021-01-09 10:00:00+00:00,24.366001,69.669,18.466002
203,2021-01-09 11:00:00+00:00,24.066,70.27005,18.316
204,2021-01-09 12:00:00+00:00,22.266,78.59324,18.366001
205,2021-01-09 13:00:00+00:00,20.816,87.51395,18.666
206,2021-01-09 14:00:00+00:00,19.666,94.253876,18.716002
207,2021-01-09 15:00:00+00:00,19.366001,96.931625,18.866001
208,2021-01-09 16:00:00+00:00,19.316,98.148224,19.016
209,2021-01-09 17:00:00+00:00,19.216002,99.06958,19.066
210,2021-01-09 18:00:00+00:00,19.366001,98.45533,19.116001
211,2021-01-09 19:00:00+00:00,19.116001,99.688774,19.066
212,2021-01-09 20:00:00+00:00,18.966002,96.61923,18.416
213,2021-01-09 21:00:00+00:00,18.416,98.13555,18.116001
214,2021-01-09 22:00:00+00:00,18.266,97.82532,17.916
215,2021-01-09 23:00:00+00:00,18.166,98.75126,17.966002
216,2021-01-10 00:00:00+00:00,18.016,98.43943,17.766
217,2021-01-10 01:00:00+00:00,18.216002,95.99298,17.566
218,2021-01-10 02:00:00+00:00,18.366001,95.09409,17.566
219,2021-01-10 03:00:00+00:00,19.716002,87.69172,17.616001
220,2021-01-10 04:00:00+00:00,21.666,76.79297,17.416
221,2021-01-10 05:00:00+00:00,22.466002,72.907814,17.366001
222,2021-01-10 06:00:00+00:00,23.566,66.719055,17.016
223,2021-01-10 07:00:00+00:00,23.966002,64.311775,16.816
224,2021-01-10 08:00:00+00:00,23.416,67.752884,17.116001
225,2021-01-10 09:00:00+00:00,23.066,70.74866,17.466002
226,2021-01-10 10:00:00+00:00,23.416,67.752884,17.116001
227,2021-01-10 11:00:00+00:00,23.216002,67.498436,16.866001
228,2021-01-10 12:00:00+00:00,22.916,72.30018,17.666
229,2021-01-10 13:00:00+00:00,21.816,78.775734,17.966002
230,2021-01-10 14:00:00+00:00,21.066,85.64184,18.566
231,2021-01-10 15:00:00+00:00,20.466002,91.11323,18.966002
232,2021-01-10 16:00:00+00:00,19.816,96.34034,19.216002
233,2021-01-10 17:00:00+00:00,19.666,98.153114,19.366001
234,2021-01-10 18:00:00+00:00,19.966002,96.94541,19.466002
235,2021-01-10 19:00:00+00:00,19.766,96.94083,19.266
236,2021-01-10 20:00:00+00:00,19.366001,97.53862,18.966002
237,2021-01-10 21:00:00+00:00,19.266,98.14753,18.966002
238,2021-01-10 22:00:00+00:00,19.166,98.452995,18.916
239,2021-01-10 23:00:00+00:00,18.916,97.83599,18.566
240,2021-01-11 00:00:00+00:00,18.816,95.40987,18.066
241,2021-01-11 01:00:00+00:00,18.766,93.919235,17.766
242,2021-01-11 02:00:00+00:00,18.916,92.45909,17.666
243,2021-01-11 03:00:00+00:00,20.316,81.6087,17.066
244,2021-01-11 04:00:00+00:00,21.516,74.14095,16.716002
245,2021-01-11 05:00:00+00:00,22.066,71.237915,16.616001
246,2021-01-11 06:00:00+00:00,22.316,70.83314,16.766
247,2021-01-11 07:00:00+00:00,23.166,68.566154,17.066
248,2021-01-11 08:00:00+00:00,22.966002,69.841354,17.166
249,2021-01-11 09:00:00+00:00,23.816,66.13975,17.116001
250,2021-01-11 10:00:00+00:00,23.116001,70.09102,17.366001
251,2021-01-11 11:00:00+00:00,23.266,69.23942,17.316
252,2021-01-11 12:00:00+00:00,23.016,73.92748,18.116001
253,2021-01-11 13:00:00+00:00,21.616001,83.06278,18.616001
254,2021-01-11 14:00:00+00:00,21.066,86.71984,18.766
255,2021-01-11 15:00:00+00:00,20.366001,88.5779,18.416
256,2021-01-11 16:00:00+00:00,19.366001,91.61631,17.966002
257,2021-01-11 17:00:00+00:00,18.566,95.101425,17.766
258,2021-01-11 18:00:00+00:00,18.116001,96.59756,17.566
259,2021-01-11 19:00:00+00:00,17.866001,96.28638,17.266
260,2021-01-11 20:00:00+00:00,17.766,96.58859,17.216002
261,2021-01-11 21:00:00+00:00,17.416,96.273766,16.816
262,2021-01-11 22:00:00+00:00,17.266,94.4506,16.366001
263,2021-01-11 23:00:00+00:00,16.966002,93.239716,15.866
264,2021-01-12 00:00:00+00:00,17.116001,91.47668,15.716
265,2021-01-12 01:00:00+00:00,17.016,89.72818,15.316
266,2021-01-12 02:00:00+00:00,17.716002,84.75131,15.116
267,2021-01-12 03:00:00+00:00,19.666,73.115036,14.716
268,2021-01-12 04:00:00+00:00,21.716002,60.60044,13.766
269,2021-01-12 05:00:00+00:00,22.916,55.066208,13.415999
270,2021-01-12 06:00:00+00:00,24.066,52.56005,13.766
271,2021-01-12 07:00:00+00:00,24.616001,57.11708,15.566
272,2021-01-12 08:00:00+00:00,25.116001,55.79393,15.665999
273,2021-01-12 09:00:00+00:00,24.316,58.33857,15.616
274,2021-01-12 10:00:00+00:00,23.516,61.01668,15.566
275,2021-01-12 11:00:00+00:00,23.166,61.32867,15.316
276,2021-01-12 12:00:00+00:00,22.266,70.37546,16.616001
277,2021-01-12 13:00:00+00:00,21.016,76.93597,16.816
278,2021-01-12 14:00:00+00:00,20.516,80.09867,16.966002
279,2021-01-12 15:00:00+00:00,19.916,84.45091,17.216002
280,2021-01-12 16:00:00+00:00,19.616001,88.23772,17.616001
281,2021-01-12 17:00:00+00:00,18.516,95.39957,17.766
282,2021-01-12 18:00:00+00:00,18.366001,96.603966,17.816
283,2021-01-12 19:00:00+00:00,18.116001,97.51528,17.716002
284,2021-01-12 20:00:00+00:00,17.666,98.43526,17.416
285,2021-01-12 21:00:00+00:00,17.116001,97.80626,16.766
286,2021-01-12 22:00:00+00:00,16.766,95.33876,16.016
287,2021-01-12 23:00:00+00:00,16.216002,93.50179,15.165999
288,2021-01-13 00:00:00+00:00,16.216002,95.319405,15.466
289,2021-01-13 01:00:00+00:00,16.166,95.01245,15.366
290,2021-01-13 02:00:00+00:00,17.216002,90.609375,15.665999
291,2021-01-13 03:00:00+00:00,19.366001,80.45409,15.915999
292,2021-01-13 04:00:00+00:00,21.366001,71.33601,15.966001
293,2021-01-13 05:00:00+00:00,23.166,62.71989,15.665999
294,2021-01-13 06:00:00+00:00,24.166,59.054363,15.665999
295,2021-01-13 07:00:00+00:00,24.666,57.49607,15.716
296,2021-01-13 08:00:00+00:00,25.016,55.590828,15.516
297,2021-01-13 09:00:00+00:00,25.016,54.882423,15.316
298,2021-01-13 10:00:00+00:00,24.716002,53.58549,14.665999
299,2021-01-13 11:00:00+00:00,23.966002,56.410934,14.766
300,2021-01-13 12:00:00+00:00,22.766,63.03377,15.366
301,2021-01-13 13:00:00+00:00,20.516,72.09908,15.316
302,2021-01-13 14:00:00+00:00,19.466002,78.687386,15.665999
303,2021-01-13 15:00:00+00:00,18.616001,83.50366,15.766
304,2021-01-13 16:00:00+00:00,17.816,88.932556,15.966001
305,2021-01-13 17:00:00+00:00,17.366001,96.27235,16.766
306,2021-01-13 18:00:00+00:00,17.516,99.05747,17.366001
307,2021-01-13 19:00:00+00:00,17.866001,95.37712,17.116001
308,2021-01-13 20:00:00+00:00,16.666,98.73688,16.466002
309,2021-01-13 21:00:00+00:00,15.716,99.04436,15.566
310,2021-01-13 22:00:00+00:00,15.415999,98.7247,15.216
311,2021-01-13 23:00:00+00:00,15.266,99.04108,15.116
312,2021-01-14 00:00:00+00:00,15.466,99.36078,15.366
313,2021-01-14 01:00:00+00:00,15.665999,97.78185,15.316
314,2021-01-14 02:00:00+00:00,16.416,94.718056,15.566
315,2021-01-14 03:00:00+00:00,19.066,83.82224,16.266
316,2021-01-14 04:00:00+00:00,21.316,75.054756,16.716002
317,2021-01-14 05:00:00+00:00,23.266,65.190704,16.366001
318,2021-01-14 06:00:00+00:00,24.566,59.33783,16.116001
319,2021-01-14 07:00:00+00:00,24.966002,58.86732,16.366001
320,2021-01-14 08:00:00+00:00,23.966002,65.75368,17.166
321,2021-01-14 09:00:00+00:00,23.666,68.23242,17.466002
322,2021-01-14 10:00:00+00:00,23.816,68.91035,17.766
323,2021-01-14 11:00:00+00:00,22.866001,72.74832,17.716002
324,2021-01-14 12:00:00+00:00,22.216002,73.55858,17.266
325,2021-01-14 13:00:00+00:00,21.016,81.18406,17.666
326,2021-01-14 14:00:00+00:00,20.066,89.11102,18.216002
327,2021-01-14 15:00:00+00:00,19.666,92.50054,18.416
328,2021-01-14 16:00:00+00:00,19.216002,96.323814,18.616001
329,2021-01-14 17:00:00+00:00,19.216002,96.323814,18.616001
330,2021-01-14 18:00:00+00:00,19.116001,96.32108,18.516
331,2021-01-14 19:00:00+00:00,18.716002,98.75643,18.516
332,2021-01-14 20:00:00+00:00,18.416,98.44416,18.166
333,2021-01-14 21:00:00+00:00,17.866001,99.06001,17.716002
334,2021-01-14 22:00:00+00:00,17.666,99.05856,17.516
335,2021-01-14 23:00:00+00:00,17.216002,99.369316,17.116001
336,2021-01-15 00:00:00+00:00,16.666,97.48776,16.266
