,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,19.813,99.690445,19.763
1,2021-01-01 01:00:00+00:00,19.813,99.381714,19.713001
2,2021-01-01 02:00:00+00:00,20.213001,97.25224,19.763
3,2021-01-01 03:00:00+00:00,22.063,87.35297,19.863
4,2021-01-01 04:00:00+00:00,24.013,72.94894,18.863
5,2021-01-01 05:00:00+00:00,26.063,59.688023,17.613
6,2021-01-01 06:00:00+00:00,27.313,51.88675,16.563
7,2021-01-01 07:00:00+00:00,28.463001,46.106133,15.763
8,2021-01-01 08:00:00+00:00,29.763,39.721256,14.613
9,2021-01-01 09:00:00+00:00,28.813,47.39234,16.513
10,2021-01-01 10:00:00+00:00,28.313,48.943817,16.563
11,2021-01-01 11:00:00+00:00,27.213001,53.533707,16.963001
12,2021-01-01 12:00:00+00:00,26.063,62.569813,18.363
13,2021-01-01 13:00:00+00:00,24.513,71.01602,18.913
14,2021-01-01 14:00:00+00:00,23.613,75.66392,19.063
15,2021-01-01 15:00:00+00:00,22.263,82.62214,19.163
16,2021-01-01 16:00:00+00:00,21.113,88.6388,19.163
17,2021-01-01 17:00:00+00:00,19.913,93.38564,18.813
18,2021-01-01 18:00:00+00:00,19.313,93.649666,18.263
19,2021-01-01 19:00:00+00:00,19.763,92.795876,18.563
20,2021-01-01 20:00:00+00:00,17.863,97.81868,17.513
21,2021-01-01 21:00:00+00:00,17.613,97.814545,17.263
22,2021-01-01 22:00:00+00:00,17.713001,97.19999,17.263
23,2021-01-01 23:00:00+00:00,17.663,96.892,17.163
24,2021-01-02 00:00:00+00:00,17.113,97.4963,16.713001
25,2021-01-02 01:00:00+00:00,17.763,95.97934,17.113
26,2021-01-02 02:00:00+00:00,19.313,87.933754,17.263
27,2021-01-02 03:00:00+00:00,21.763,77.53793,17.663
28,2021-01-02 04:00:00+00:00,23.913,69.146385,17.913
29,2021-01-02 05:00:00+00:00,26.913,58.584785,18.113
30,2021-01-02 06:00:00+00:00,27.963001,55.612644,18.263
31,2021-01-02 07:00:00+00:00,27.813,58.61335,18.963001
32,2021-01-02 08:00:00+00:00,28.263,56.740475,18.863
33,2021-01-02 09:00:00+00:00,28.513,56.096516,18.913
34,2021-01-02 10:00:00+00:00,28.813,54.273987,18.663
35,2021-01-02 11:00:00+00:00,27.863,59.91734,19.363
36,2021-01-02 12:00:00+00:00,26.263,66.64255,19.563
37,2021-01-02 13:00:00+00:00,24.213001,75.524635,19.613
38,2021-01-02 14:00:00+00:00,23.913,77.13641,19.663
39,2021-01-02 15:00:00+00:00,23.313,82.49167,20.163
40,2021-01-02 16:00:00+00:00,23.513,79.01635,19.663
41,2021-01-02 17:00:00+00:00,22.813,82.94463,19.763
42,2021-01-02 18:00:00+00:00,22.313,85.767,19.813
43,2021-01-02 19:00:00+00:00,22.063,87.35297,19.863
44,2021-01-02 20:00:00+00:00,21.863,88.69949,19.913
45,2021-01-02 21:00:00+00:00,21.513,90.6175,19.913
46,2021-01-02 22:00:00+00:00,20.913,93.72413,19.863
47,2021-01-02 23:00:00+00:00,21.063,93.44131,19.963001
48,2021-01-03 00:00:00+00:00,21.113,95.19325,20.313
49,2021-01-03 01:00:00+00:00,21.213001,95.19679,20.413
50,2021-01-03 02:00:00+00:00,22.113,88.719604,20.163
51,2021-01-03 03:00:00+00:00,23.513,82.00758,20.263
52,2021-01-03 04:00:00+00:00,24.513,77.22689,20.263
53,2021-01-03 05:00:00+00:00,25.563,71.87215,20.113
54,2021-01-03 06:00:00+00:00,26.263,68.740776,20.063
55,2021-01-03 07:00:00+00:00,27.563,62.51101,19.763
56,2021-01-03 08:00:00+00:00,27.313,68.73183,21.063
57,2021-01-03 09:00:00+00:00,27.013,71.03357,21.313
58,2021-01-03 10:00:00+00:00,27.563,67.318214,20.963001
59,2021-01-03 11:00:00+00:00,27.163,68.914375,20.963001
60,2021-01-03 12:00:00+00:00,25.613,73.225365,20.463001
61,2021-01-03 13:00:00+00:00,24.263,81.84749,20.963001
62,2021-01-03 14:00:00+00:00,23.563,87.48615,21.363
63,2021-01-03 15:00:00+00:00,23.313,89.36117,21.463001
64,2021-01-03 16:00:00+00:00,23.263,89.63139,21.463001
65,2021-01-03 17:00:00+00:00,22.813,92.10535,21.463001
66,2021-01-03 18:00:00+00:00,22.913,90.990005,21.363
67,2021-01-03 19:00:00+00:00,22.663,91.8149,21.263
68,2021-01-03 20:00:00+00:00,22.413,92.3656,21.113
69,2021-01-03 21:00:00+00:00,22.113,93.779076,21.063
70,2021-01-03 22:00:00+00:00,21.863,95.51262,21.113
71,2021-01-03 23:00:00+00:00,21.513,96.683014,20.963001
72,2021-01-04 00:00:00+00:00,22.013,93.77453,20.963001
73,2021-01-04 01:00:00+00:00,21.963001,95.80928,21.263
74,2021-01-04 02:00:00+00:00,22.713001,89.86642,20.963001
75,2021-01-04 03:00:00+00:00,23.863,82.557465,20.713001
76,2021-01-04 04:00:00+00:00,25.313,72.27382,19.963001
77,2021-01-04 05:00:00+00:00,26.963001,63.356823,19.413
78,2021-01-04 06:00:00+00:00,28.313,55.87288,18.663
79,2021-01-04 07:00:00+00:00,28.763,52.918354,18.213001
80,2021-01-04 08:00:00+00:00,29.013,50.862457,17.813
81,2021-01-04 09:00:00+00:00,28.863,51.79268,17.963001
82,2021-01-04 10:00:00+00:00,28.563,55.066895,18.663
83,2021-01-04 11:00:00+00:00,27.613,61.559498,19.563
84,2021-01-04 12:00:00+00:00,25.713001,71.89891,20.263
85,2021-01-04 13:00:00+00:00,25.063,75.42706,20.413
86,2021-01-04 14:00:00+00:00,24.413,79.3867,20.613
87,2021-01-04 15:00:00+00:00,23.913,82.05662,20.663
88,2021-01-04 16:00:00+00:00,23.013,86.901,20.713001
89,2021-01-04 17:00:00+00:00,22.413,90.67817,20.813
90,2021-01-04 18:00:00+00:00,22.063,92.630745,20.813
91,2021-01-04 19:00:00+00:00,22.063,92.06233,20.713001
92,2021-01-04 20:00:00+00:00,21.663,94.337906,20.713001
93,2021-01-04 21:00:00+00:00,21.513,94.91472,20.663
94,2021-01-04 22:00:00+00:00,21.263,96.08314,20.613
95,2021-01-04 23:00:00+00:00,21.163,96.3769,20.563
96,2021-01-05 00:00:00+00:00,21.863,92.05079,20.513
97,2021-01-05 01:00:00+00:00,21.313,95.20036,20.513
98,2021-01-05 02:00:00+00:00,22.363,88.739685,20.413
99,2021-01-05 03:00:00+00:00,23.913,80.05648,20.263
100,2021-01-05 04:00:00+00:00,26.363,67.07779,19.763
101,2021-01-05 05:00:00+00:00,27.113,64.18122,19.763
102,2021-01-05 06:00:00+00:00,28.113,60.161285,19.663
103,2021-01-05 07:00:00+00:00,29.013,58.35022,20.013
104,2021-01-05 08:00:00+00:00,29.413,58.444107,20.413
105,2021-01-05 09:00:00+00:00,28.063,63.5948,20.513
106,2021-01-05 10:00:00+00:00,26.613,72.94795,21.363
107,2021-01-05 11:00:00+00:00,26.063,74.66545,21.213001
108,2021-01-05 12:00:00+00:00,26.363,70.04607,20.463001
109,2021-01-05 13:00:00+00:00,25.213001,76.857834,20.863
110,2021-01-05 14:00:00+00:00,24.363,82.87072,21.263
111,2021-01-05 15:00:00+00:00,24.013,86.198395,21.563
112,2021-01-05 16:00:00+00:00,23.463001,90.74818,21.863
113,2021-01-05 17:00:00+00:00,23.063,93.251564,21.913
114,2021-01-05 18:00:00+00:00,22.713001,94.95944,21.863
115,2021-01-05 19:00:00+00:00,22.863,93.52704,21.763
116,2021-01-05 20:00:00+00:00,22.613,94.66609,21.713001
117,2021-01-05 21:00:00+00:00,22.363,96.40902,21.763
118,2021-01-05 22:00:00+00:00,22.363,96.40902,21.763
119,2021-01-05 23:00:00+00:00,22.013,97.88574,21.663
120,2021-01-06 00:00:00+00:00,22.163,98.18744,21.863
121,2021-01-06 01:00:00+00:00,22.213001,97.590546,21.813
122,2021-01-06 02:00:00+00:00,22.763,93.52229,21.663
123,2021-01-06 03:00:00+00:00,24.213001,85.69234,21.663
124,2021-01-06 04:00:00+00:00,25.663,76.69068,21.263
125,2021-01-06 05:00:00+00:00,27.313,70.223175,21.413
126,2021-01-06 06:00:00+00:00,28.413,62.891075,20.663
127,2021-01-06 07:00:00+00:00,29.063,61.503475,20.913
128,2021-01-06 08:00:00+00:00,27.363,71.53294,21.763
129,2021-01-06 09:00:00+00:00,27.163,71.935684,21.663
130,2021-01-06 10:00:00+00:00,27.063,73.47249,21.913
131,2021-01-06 11:00:00+00:00,25.863,77.6657,21.663
132,2021-01-06 12:00:00+00:00,25.363,78.3091,21.313
133,2021-01-06 13:00:00+00:00,24.213001,84.13329,21.363
134,2021-01-06 14:00:00+00:00,23.713001,88.30587,21.663
135,2021-01-06 15:00:00+00:00,23.713001,88.8472,21.763
136,2021-01-06 16:00:00+00:00,23.163,91.564255,21.713001
137,2021-01-06 17:00:00+00:00,22.763,93.80858,21.713001
138,2021-01-06 18:00:00+00:00,22.863,93.24175,21.713001
139,2021-01-06 19:00:00+00:00,22.313,95.82011,21.613
140,2021-01-06 20:00:00+00:00,22.113,96.40236,21.513
141,2021-01-06 21:00:00+00:00,22.013,97.28893,21.563
142,2021-01-06 22:00:00+00:00,22.163,96.69902,21.613
143,2021-01-06 23:00:00+00:00,22.363,95.2374,21.563
144,2021-01-07 00:00:00+00:00,22.213001,96.7002,21.663
145,2021-01-07 01:00:00+00:00,22.513,94.952,21.663
146,2021-01-07 02:00:00+00:00,22.613,94.0891,21.613
147,2021-01-07 03:00:00+00:00,23.063,92.11962,21.713001
148,2021-01-07 04:00:00+00:00,23.913,86.98354,21.613
149,2021-01-07 05:00:00+00:00,24.463001,84.16059,21.613
150,2021-01-07 06:00:00+00:00,25.363,79.03201,21.463001
151,2021-01-07 07:00:00+00:00,26.463001,73.37063,21.313
152,2021-01-07 08:00:00+00:00,27.663,67.960976,21.213001
153,2021-01-07 09:00:00+00:00,27.963001,65.76357,20.963001
154,2021-01-07 10:00:00+00:00,28.013,65.77387,21.013
155,2021-01-07 11:00:00+00:00,27.313,70.223175,21.413
156,2021-01-07 12:00:00+00:00,26.763,72.30653,21.363
157,2021-01-07 13:00:00+00:00,25.463001,78.323456,21.413
158,2021-01-07 14:00:00+00:00,24.863,81.67107,21.513
159,2021-01-07 15:00:00+00:00,24.313,84.6608,21.563
160,2021-01-07 16:00:00+00:00,24.013,86.46244,21.613
161,2021-01-07 17:00:00+00:00,23.713001,87.76747,21.563
162,2021-01-07 18:00:00+00:00,23.413,89.64251,21.613
163,2021-01-07 19:00:00+00:00,23.363,90.46475,21.713001
