,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,12.924,90.3068,11.374
1,2021-01-01 01:00:00+00:00,12.474,91.78415,11.174
2,2021-01-01 02:00:00+00:00,14.824,82.23928,11.824
3,2021-01-01 03:00:00+00:00,17.524,70.84888,12.174
4,2021-01-01 04:00:00+00:00,20.124,61.224926,12.424
5,2021-01-01 05:00:00+00:00,22.274,52.611572,12.124
6,2021-01-01 06:00:00+00:00,23.674002,45.850655,11.324
7,2021-01-01 07:00:00+00:00,24.524,41.730164,10.674
8,2021-01-01 08:00:00+00:00,24.974,40.21967,10.524
9,2021-01-01 09:00:00+00:00,25.024,39.436928,10.274
10,2021-01-01 10:00:00+00:00,24.574001,40.918415,10.424
11,2021-01-01 11:00:00+00:00,21.574001,58.43507,13.074
12,2021-01-01 12:00:00+00:00,18.774,65.285576,12.124
13,2021-01-01 13:00:00+00:00,18.874,64.24153,11.974
14,2021-01-01 14:00:00+00:00,18.724,63.157585,11.574
15,2021-01-01 15:00:00+00:00,17.474,68.09118,11.524
16,2021-01-01 16:00:00+00:00,16.274,74.2062,11.674
17,2021-01-01 17:00:00+00:00,14.674,83.58749,11.924
18,2021-01-01 18:00:00+00:00,14.474,83.84025,11.774
19,2021-01-01 19:00:00+00:00,13.874,86.30258,11.624
20,2021-01-01 20:00:00+00:00,13.574,88.29234,11.674
21,2021-01-01 21:00:00+00:00,13.224,90.328415,11.674
22,2021-01-01 22:00:00+00:00,12.724,91.19404,11.324
23,2021-01-01 23:00:00+00:00,11.924,91.44513,10.574
24,2021-01-02 00:00:00+00:00,12.524,91.787224,11.224
25,2021-01-02 01:00:00+00:00,11.974,91.14439,10.574
26,2021-01-02 02:00:00+00:00,14.124,76.86027,10.124
27,2021-01-02 03:00:00+00:00,16.674002,63.7531,9.774
28,2021-01-02 04:00:00+00:00,19.424002,54.176785,9.924
29,2021-01-02 05:00:00+00:00,21.674002,47.317383,9.974
30,2021-01-02 06:00:00+00:00,23.224,43.207897,10.024
31,2021-01-02 07:00:00+00:00,24.274,38.831905,9.374
32,2021-01-02 08:00:00+00:00,24.924002,35.389477,8.574
33,2021-01-02 09:00:00+00:00,25.174002,33.36211,7.924
34,2021-01-02 10:00:00+00:00,24.674002,35.199078,8.274
35,2021-01-02 11:00:00+00:00,21.524,55.621433,12.274
36,2021-01-02 12:00:00+00:00,18.724,60.09518,10.824
37,2021-01-02 13:00:00+00:00,18.374,61.222534,10.774
38,2021-01-02 14:00:00+00:00,17.974,61.949394,10.574
39,2021-01-02 15:00:00+00:00,19.074001,55.742165,10.024
