,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,3.889,99.649284,3.839
1,2021-01-01 01:00:00+00:00,2.489,100.0,2.489
2,2021-01-01 02:00:00+00:00,3.4390001,100.0,3.4390001
3,2021-01-01 03:00:00+00:00,5.139,96.91336,4.689
4,2021-01-01 04:00:00+00:00,7.239,96.63196,6.739
5,2021-01-01 05:00:00+00:00,9.589,94.756,8.789
6,2021-01-01 06:00:00+00:00,12.289,82.46987,9.389
7,2021-01-01 07:00:00+00:00,14.789,61.62481,7.489
8,2021-01-01 08:00:00+00:00,16.088999,49.237347,5.439
9,2021-01-01 09:00:00+00:00,16.689,45.455635,4.839
10,2021-01-01 10:00:00+00:00,16.838999,43.32756,4.289
11,2021-01-01 11:00:00+00:00,16.239,47.43178,5.039
12,2021-01-01 12:00:00+00:00,14.738999,51.67537,4.889
13,2021-01-01 13:00:00+00:00,13.789,54.19015,4.689
14,2021-01-01 14:00:00+00:00,12.938999,56.679127,4.539
15,2021-01-01 15:00:00+00:00,12.339,58.5412,4.439
16,2021-01-01 16:00:00+00:00,9.488999,71.48713,4.589
17,2021-01-01 17:00:00+00:00,7.989,79.38971,4.639
18,2021-01-01 18:00:00+00:00,7.889,78.272415,4.339
19,2021-01-01 19:00:00+00:00,7.689,73.440186,3.239
20,2021-01-01 20:00:00+00:00,6.789,76.19258,2.889
21,2021-01-01 21:00:00+00:00,7.489,71.35249,2.639
22,2021-01-01 22:00:00+00:00,7.289,75.20658,3.1890001
23,2021-01-01 23:00:00+00:00,7.389,84.15764,4.889
24,2021-01-02 00:00:00+00:00,6.689,84.66683,4.289
25,2021-01-02 01:00:00+00:00,7.139,82.9608,4.439
26,2021-01-02 02:00:00+00:00,7.939,81.061455,4.889
27,2021-01-02 03:00:00+00:00,9.988999,77.78462,6.289
28,2021-01-02 04:00:00+00:00,12.889,69.9526,7.539
29,2021-01-02 05:00:00+00:00,14.839,62.909485,7.839
30,2021-01-02 06:00:00+00:00,16.389,56.77235,7.789
31,2021-01-02 07:00:00+00:00,17.539,53.323994,7.939
32,2021-01-02 08:00:00+00:00,18.039,53.81805,8.539
33,2021-01-02 09:00:00+00:00,18.338999,54.6282,9.039
34,2021-01-02 10:00:00+00:00,18.389,56.131485,9.488999
35,2021-01-02 11:00:00+00:00,17.539,69.00954,11.789
36,2021-01-02 12:00:00+00:00,14.539,74.90005,10.139
37,2021-01-02 13:00:00+00:00,13.839,74.780975,9.438999
38,2021-01-02 14:00:00+00:00,12.738999,79.5346,9.289
39,2021-01-02 15:00:00+00:00,12.438999,79.75995,9.039
40,2021-01-02 16:00:00+00:00,12.089,82.722755,9.238999
41,2021-01-02 17:00:00+00:00,11.589,83.78456,8.938999
42,2021-01-02 18:00:00+00:00,10.839,86.872574,8.738999
43,2021-01-02 19:00:00+00:00,10.688999,86.27219,8.488999
44,2021-01-02 20:00:00+00:00,11.188999,82.33134,8.289
45,2021-01-02 21:00:00+00:00,10.839,84.26617,8.289
46,2021-01-02 22:00:00+00:00,11.589,79.09973,8.089
47,2021-01-02 23:00:00+00:00,11.988999,78.35794,8.339
48,2021-01-03 00:00:00+00:00,11.988999,78.62393,8.389
49,2021-01-03 01:00:00+00:00,12.139,82.451065,9.238999
50,2021-01-03 02:00:00+00:00,11.988999,86.4024,9.789
