,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,8.876,95.372406,8.176
1,2021-01-01 01:00:00+00:00,9.026,94.73312,8.226
2,2021-01-01 02:00:00+00:00,10.376,91.03723,8.976
3,2021-01-01 03:00:00+00:00,13.176,77.74851,9.376
4,2021-01-01 04:00:00+00:00,15.976,65.99242,9.626
5,2021-01-01 05:00:00+00:00,18.325998,63.067944,11.176
6,2021-01-01 06:00:00+00:00,20.325998,60.47326,12.426
7,2021-01-01 07:00:00+00:00,21.976,56.653763,12.976
8,2021-01-01 08:00:00+00:00,23.026,53.326756,13.026
9,2021-01-01 09:00:00+00:00,23.526,50.569244,12.676
10,2021-01-01 10:00:00+00:00,23.575998,49.923817,12.526
11,2021-01-01 11:00:00+00:00,22.476,60.385574,14.426
12,2021-01-01 12:00:00+00:00,18.776,70.39323,13.276
13,2021-01-01 13:00:00+00:00,17.425999,75.876785,13.126
14,2021-01-01 14:00:00+00:00,17.026,76.81038,12.926
15,2021-01-01 15:00:00+00:00,15.126,83.09261,12.276
16,2021-01-01 16:00:00+00:00,13.926,87.166245,11.826
17,2021-01-01 17:00:00+00:00,13.126,89.43005,11.426
18,2021-01-01 18:00:00+00:00,12.926,88.23644,11.026
19,2021-01-01 19:00:00+00:00,12.026,90.8449,10.576
20,2021-01-01 20:00:00+00:00,11.526,92.64819,10.376
21,2021-01-01 21:00:00+00:00,11.226,94.50598,10.376
22,2021-01-01 22:00:00+00:00,10.626,96.39716,10.076
23,2021-01-01 23:00:00+00:00,10.426,97.03898,9.976
24,2021-01-02 00:00:00+00:00,11.226,97.05733,10.776
25,2021-01-02 01:00:00+00:00,11.376,96.73891,10.876
26,2021-01-02 02:00:00+00:00,11.976,96.434555,11.426
27,2021-01-02 03:00:00+00:00,14.626,88.09336,12.676
28,2021-01-02 04:00:00+00:00,17.825998,76.93557,13.726
29,2021-01-02 05:00:00+00:00,20.626,66.10863,14.076
30,2021-01-02 06:00:00+00:00,22.825998,55.765205,13.526
31,2021-01-02 07:00:00+00:00,24.276,48.339928,12.676
32,2021-01-02 08:00:00+00:00,25.026,42.993755,11.576
33,2021-01-02 09:00:00+00:00,25.226,40.82943,10.976
34,2021-01-02 10:00:00+00:00,25.026,41.04525,10.876
35,2021-01-02 11:00:00+00:00,23.476,56.655308,14.376
36,2021-01-02 12:00:00+00:00,20.626,61.140793,12.876
37,2021-01-02 13:00:00+00:00,18.626,69.67856,12.976
38,2021-01-02 14:00:00+00:00,17.276,74.134766,12.626
39,2021-01-02 15:00:00+00:00,16.376,76.456276,12.226
40,2021-01-02 16:00:00+00:00,15.476,79.397,11.926
41,2021-01-02 17:00:00+00:00,14.626,84.96933,12.126
42,2021-01-02 18:00:00+00:00,14.076,89.21062,12.326
43,2021-01-02 19:00:00+00:00,13.626,90.06035,12.026
44,2021-01-02 20:00:00+00:00,13.626,87.42653,11.576
45,2021-01-02 21:00:00+00:00,13.576,85.137215,11.126
46,2021-01-02 22:00:00+00:00,13.176,85.94702,10.876
47,2021-01-02 23:00:00+00:00,12.576,88.49996,10.726
48,2021-01-03 00:00:00+00:00,12.226,94.54782,11.376
49,2021-01-03 01:00:00+00:00,13.426,90.0456,11.826
50,2021-01-03 02:00:00+00:00,14.426,86.07375,12.126
51,2021-01-03 03:00:00+00:00,16.726,76.512024,12.576
52,2021-01-03 04:00:00+00:00,19.526,65.87636,12.976
53,2021-01-03 05:00:00+00:00,21.876,59.46765,13.626
54,2021-01-03 06:00:00+00:00,23.776,54.04261,13.926
55,2021-01-03 07:00:00+00:00,24.925999,50.1182,13.826
56,2021-01-03 08:00:00+00:00,25.325998,48.621357,13.726
57,2021-01-03 09:00:00+00:00,25.425999,48.333138,13.726
58,2021-01-03 10:00:00+00:00,25.526,47.89097,13.676
59,2021-01-03 11:00:00+00:00,24.075998,59.033062,15.576
60,2021-01-03 12:00:00+00:00,20.825998,71.46506,15.476
61,2021-01-03 13:00:00+00:00,20.175999,70.65871,14.676
62,2021-01-03 14:00:00+00:00,20.126,67.52116,13.926
63,2021-01-03 15:00:00+00:00,18.925999,72.98437,13.976
64,2021-01-03 16:00:00+00:00,17.876,78.20166,14.026
65,2021-01-03 17:00:00+00:00,16.526,84.896774,13.976
66,2021-01-03 18:00:00+00:00,15.076,90.75504,13.576
67,2021-01-03 19:00:00+00:00,14.676,91.024055,13.226
68,2021-01-03 20:00:00+00:00,13.726,93.07379,12.626
69,2021-01-03 21:00:00+00:00,13.626,92.45993,12.426
70,2021-01-03 22:00:00+00:00,13.126,92.43155,11.926
71,2021-01-03 23:00:00+00:00,13.576,91.24992,12.176
72,2021-01-04 00:00:00+00:00,14.126,91.885216,12.826
73,2021-01-04 01:00:00+00:00,14.076,91.28249,12.676
74,2021-01-04 02:00:00+00:00,14.776,87.81858,12.776
75,2021-01-04 03:00:00+00:00,17.175999,77.84322,13.276
76,2021-01-04 04:00:00+00:00,19.675999,68.31218,13.676
77,2021-01-04 05:00:00+00:00,22.376,58.248566,13.776
78,2021-01-04 06:00:00+00:00,24.226,51.754322,13.676
79,2021-01-04 07:00:00+00:00,25.626,45.93212,13.126
