,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,3.576,86.14179,1.4760001
1,2021-01-01 01:00:00+00:00,3.526,85.82835,1.376
2,2021-01-01 02:00:00+00:00,3.326,86.115585,1.2260001
3,2021-01-01 03:00:00+00:00,5.426,75.96319,1.526
4,2021-01-01 04:00:00+00:00,9.326,58.82462,1.676
5,2021-01-01 05:00:00+00:00,13.176,46.23799,1.876
6,2021-01-01 06:00:00+00:00,16.026,37.251213,1.426
7,2021-01-01 07:00:00+00:00,18.026,31.32137,0.776
8,2021-01-01 08:00:00+00:00,19.376,28.786003,0.776
9,2021-01-01 09:00:00+00:00,20.175999,28.70266,1.426
10,2021-01-01 10:00:00+00:00,20.526,28.801552,1.776
11,2021-01-01 11:00:00+00:00,20.276,29.776192,2.026
12,2021-01-01 12:00:00+00:00,19.476,31.28955,2.026
13,2021-01-01 13:00:00+00:00,17.976,34.365623,2.026
14,2021-01-01 14:00:00+00:00,16.175999,42.235004,3.326
15,2021-01-01 15:00:00+00:00,15.526,46.087585,3.976
16,2021-01-01 16:00:00+00:00,14.626,52.187695,4.926
17,2021-01-01 17:00:00+00:00,13.826,58.302055,5.776
18,2021-01-01 18:00:00+00:00,13.026,62.490707,6.026
19,2021-01-01 19:00:00+00:00,12.426,64.547356,5.926
20,2021-01-01 20:00:00+00:00,12.026,65.58337,5.776
21,2021-01-01 21:00:00+00:00,11.876,66.23467,5.776
22,2021-01-01 22:00:00+00:00,11.626,68.03843,5.926
23,2021-01-01 23:00:00+00:00,11.426,69.42179,6.026
24,2021-01-02 00:00:00+00:00,11.126,77.69477,7.376
25,2021-01-02 01:00:00+00:00,10.776,81.99944,7.826
26,2021-01-02 02:00:00+00:00,10.726,83.6831,8.076
27,2021-01-02 03:00:00+00:00,11.976,79.96399,8.626
28,2021-01-02 04:00:00+00:00,13.976,70.40381,8.676
29,2021-01-02 05:00:00+00:00,16.325998,61.566845,8.926
30,2021-01-02 06:00:00+00:00,18.575998,57.127647,9.926
31,2021-01-02 07:00:00+00:00,20.026,55.61167,10.876
32,2021-01-02 08:00:00+00:00,20.425999,55.528328,11.226
33,2021-01-02 09:00:00+00:00,21.126,54.432884,11.576
34,2021-01-02 10:00:00+00:00,21.175999,54.26611,11.576
35,2021-01-02 11:00:00+00:00,20.976,54.574738,11.476
36,2021-01-02 12:00:00+00:00,18.675999,63.565422,11.626
37,2021-01-02 13:00:00+00:00,17.175999,70.54982,11.776
38,2021-01-02 14:00:00+00:00,15.776,76.612816,11.676
39,2021-01-02 15:00:00+00:00,14.726,82.498726,11.776
40,2021-01-02 16:00:00+00:00,13.876,86.588196,11.676
41,2021-01-02 17:00:00+00:00,13.226,89.4379,11.526
42,2021-01-02 18:00:00+00:00,12.726,91.19417,11.326
43,2021-01-02 19:00:00+00:00,12.226,92.9949,11.126
44,2021-01-02 20:00:00+00:00,11.626,95.15311,10.876
45,2021-01-02 21:00:00+00:00,10.876,97.37333,10.476
46,2021-01-02 22:00:00+00:00,10.526,98.01883,10.226
47,2021-01-02 23:00:00+00:00,9.976,100.0,9.976
48,2021-01-03 00:00:00+00:00,9.276,100.0,9.276
49,2021-01-03 01:00:00+00:00,9.726,98.99877,9.576
50,2021-01-03 02:00:00+00:00,10.526,96.39437,9.976
51,2021-01-03 03:00:00+00:00,11.476,93.889114,10.526
52,2021-01-03 04:00:00+00:00,12.226,92.07399,10.976
53,2021-01-03 05:00:00+00:00,13.626,87.42653,11.576
54,2021-01-03 06:00:00+00:00,15.376,83.66928,12.626
55,2021-01-03 07:00:00+00:00,17.675999,79.19278,14.026
56,2021-01-03 08:00:00+00:00,19.126,73.01977,14.176
57,2021-01-03 09:00:00+00:00,20.026,66.629295,13.626
58,2021-01-03 10:00:00+00:00,20.325998,65.19249,13.576
59,2021-01-03 11:00:00+00:00,20.226,65.5965,13.576
60,2021-01-03 12:00:00+00:00,18.925999,77.10616,14.826
61,2021-01-03 13:00:00+00:00,17.376,84.170105,14.676
62,2021-01-03 14:00:00+00:00,16.075998,90.82309,14.576
63,2021-01-03 15:00:00+00:00,15.276,92.5525,14.076
64,2021-01-03 16:00:00+00:00,14.526,93.72347,13.526
65,2021-01-03 17:00:00+00:00,14.676,94.035614,13.726
66,2021-01-03 18:00:00+00:00,14.876,94.04456,13.926
67,2021-01-03 19:00:00+00:00,13.626,97.111336,13.176
68,2021-01-03 20:00:00+00:00,13.326,99.02656,13.176
69,2021-01-03 21:00:00+00:00,14.076,97.75463,13.726
70,2021-01-03 22:00:00+00:00,14.226,96.49561,13.676
71,2021-01-03 23:00:00+00:00,14.276,96.81089,13.776
72,2021-01-04 00:00:00+00:00,13.626,98.385994,13.376
73,2021-01-04 01:00:00+00:00,12.576,99.672676,12.526
74,2021-01-04 02:00:00+00:00,13.326,98.70395,13.126
75,2021-01-04 03:00:00+00:00,14.776,97.451256,14.376
76,2021-01-04 04:00:00+00:00,16.675999,91.15585,15.226
77,2021-01-04 05:00:00+00:00,18.276,83.73222,15.476
78,2021-01-04 06:00:00+00:00,19.626,75.01557,15.076
79,2021-01-04 07:00:00+00:00,21.376,63.13137,14.076
80,2021-01-04 08:00:00+00:00,21.876,60.4413,13.876
81,2021-01-04 09:00:00+00:00,21.175999,68.610985,15.176
82,2021-01-04 10:00:00+00:00,20.726,71.217834,15.326
83,2021-01-04 11:00:00+00:00,19.776,75.28169,15.276
84,2021-01-04 12:00:00+00:00,18.575998,86.48278,16.276
85,2021-01-04 13:00:00+00:00,17.325998,92.07587,16.026
86,2021-01-04 14:00:00+00:00,17.876,90.65467,16.325998
87,2021-01-04 15:00:00+00:00,17.126,93.84461,16.126
88,2021-01-04 16:00:00+00:00,17.075998,91.76727,15.726
89,2021-01-04 17:00:00+00:00,16.425999,93.812325,15.426
90,2021-01-04 18:00:00+00:00,16.726,93.22766,15.626
91,2021-01-04 19:00:00+00:00,15.976,93.18967,14.876
92,2021-01-04 20:00:00+00:00,16.126,92.30193,14.876
93,2021-01-04 21:00:00+00:00,16.075998,92.596794,14.876
94,2021-01-04 22:00:00+00:00,15.526,94.682556,14.676
95,2021-01-04 23:00:00+00:00,15.426,94.37346,14.526
96,2021-01-05 00:00:00+00:00,15.876,90.80953,14.376
97,2021-01-05 01:00:00+00:00,15.876,91.990295,14.576
98,2021-01-05 02:00:00+00:00,15.676,93.174385,14.576
99,2021-01-05 03:00:00+00:00,16.325998,91.426834,14.926
100,2021-01-05 04:00:00+00:00,16.476,91.73068,15.126
101,2021-01-05 05:00:00+00:00,17.175999,88.88103,15.326
102,2021-01-05 06:00:00+00:00,18.026,84.51335,15.376
103,2021-01-05 07:00:00+00:00,18.126,83.71507,15.326
104,2021-01-05 08:00:00+00:00,19.876,73.62417,15.026
105,2021-01-05 09:00:00+00:00,20.075998,75.33085,15.576
106,2021-01-05 10:00:00+00:00,20.026,76.29333,15.726
107,2021-01-05 11:00:00+00:00,19.976,78.26033,16.075998
108,2021-01-05 12:00:00+00:00,18.626,84.040344,15.876
109,2021-01-05 13:00:00+00:00,17.175999,87.74673,15.126
110,2021-01-05 14:00:00+00:00,16.226,90.83321,14.726
111,2021-01-05 15:00:00+00:00,16.175999,89.08734,14.376
112,2021-01-05 16:00:00+00:00,16.526,87.40618,14.426
113,2021-01-05 17:00:00+00:00,15.376,93.159035,14.276
114,2021-01-05 18:00:00+00:00,13.576,98.70644,13.376
115,2021-01-05 19:00:00+00:00,13.176,100.0,13.176
116,2021-01-05 20:00:00+00:00,12.076,100.0,12.076
117,2021-01-05 21:00:00+00:00,11.926,100.0,11.926
118,2021-01-05 22:00:00+00:00,11.826,99.670746,11.776
119,2021-01-05 23:00:00+00:00,11.726,99.67049,11.676
