,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,4.5740004,15.888232,-19.226
1,2021-01-01 01:00:00+00:00,2.8739998,17.983309,-19.176
2,2021-01-01 02:00:00+00:00,0.324,24.82781,-17.526001
3,2021-01-01 03:00:00+00:00,2.374,41.248142,-9.476
4,2021-01-01 04:00:00+00:00,6.274,37.975838,-7.026
5,2021-01-01 05:00:00+00:00,10.274,23.467297,-9.726
6,2021-01-01 06:00:00+00:00,11.524,19.178167,-11.226
7,2021-01-01 07:00:00+00:00,12.224,19.514917,-10.426001
8,2021-01-01 08:00:00+00:00,12.073999,22.879505,-8.526
9,2021-01-01 09:00:00+00:00,11.124,31.508286,-5.1759996
10,2021-01-01 10:00:00+00:00,10.024,39.986538,-2.9759998
11,2021-01-01 11:00:00+00:00,7.8239994,68.44103,2.374
12,2021-01-01 12:00:00+00:00,7.1239996,55.15983,-1.276
13,2021-01-01 13:00:00+00:00,5.8739996,59.23748,-1.476
14,2021-01-01 14:00:00+00:00,2.274,66.255486,-3.376
15,2021-01-01 15:00:00+00:00,0.7739999,61.56862,-5.776
16,2021-01-01 16:00:00+00:00,-0.47599995,53.281296,-8.826
17,2021-01-01 17:00:00+00:00,-2.026,48.61104,-11.426001
18,2021-01-01 18:00:00+00:00,-2.026,41.37839,-13.426001
19,2021-01-01 19:00:00+00:00,-2.176,39.843166,-14.026
20,2021-01-01 20:00:00+00:00,-1.576,38.748047,-13.826
21,2021-01-01 21:00:00+00:00,-1.026,38.919655,-13.276
22,2021-01-01 22:00:00+00:00,-1.526,46.11192,-11.626
23,2021-01-01 23:00:00+00:00,-0.876,46.307858,-10.976
24,2021-01-02 00:00:00+00:00,-0.626,48.447636,-10.176001
25,2021-01-02 01:00:00+00:00,-0.376,47.012894,-10.326
26,2021-01-02 02:00:00+00:00,1.0740001,48.947384,-8.476
27,2021-01-02 03:00:00+00:00,2.8240001,52.775658,-5.8760004
28,2021-01-02 04:00:00+00:00,6.424,46.324024,-4.276
29,2021-01-02 05:00:00+00:00,8.573999,33.59691,-6.576
30,2021-01-02 06:00:00+00:00,9.724,29.57843,-7.226
31,2021-01-02 07:00:00+00:00,9.474,31.740263,-6.526
32,2021-01-02 08:00:00+00:00,9.874,32.72068,-5.776
33,2021-01-02 09:00:00+00:00,9.524,32.74078,-6.076
34,2021-01-02 10:00:00+00:00,9.323999,34.602386,-5.526
35,2021-01-02 11:00:00+00:00,7.524,47.343544,-2.9759998
36,2021-01-02 12:00:00+00:00,3.174,66.70351,-2.426
37,2021-01-02 13:00:00+00:00,3.0740001,59.853546,-3.976
38,2021-01-02 14:00:00+00:00,2.5740001,60.17766,-4.376
39,2021-01-02 15:00:00+00:00,2.474,62.68877,-3.9259999
40,2021-01-02 16:00:00+00:00,2.674,61.343292,-4.026
41,2021-01-02 17:00:00+00:00,2.424,57.69451,-5.076
42,2021-01-02 18:00:00+00:00,3.024,58.949425,-4.226
43,2021-01-02 19:00:00+00:00,3.674,56.09569,-4.276
44,2021-01-02 20:00:00+00:00,3.3739998,57.50969,-4.226
45,2021-01-02 21:00:00+00:00,2.9740002,60.05297,-4.026
46,2021-01-02 22:00:00+00:00,3.424,58.173843,-4.026
47,2021-01-02 23:00:00+00:00,1.8740001,69.45379,-3.126
48,2021-01-03 00:00:00+00:00,3.3240001,68.23091,-1.976
49,2021-01-03 01:00:00+00:00,2.3240001,72.16865,-2.176
50,2021-01-03 02:00:00+00:00,1.8240001,72.3392,-2.626
51,2021-01-03 03:00:00+00:00,5.674,70.23364,0.674
52,2021-01-03 04:00:00+00:00,7.224,68.31516,1.7739999
53,2021-01-03 05:00:00+00:00,8.974,68.43878,3.4740002
54,2021-01-03 06:00:00+00:00,9.323999,66.374596,3.3739998
55,2021-01-03 07:00:00+00:00,8.624,71.069984,3.674
56,2021-01-03 08:00:00+00:00,9.474,62.312378,2.624
57,2021-01-03 09:00:00+00:00,10.573999,55.869682,2.124
58,2021-01-03 10:00:00+00:00,9.823999,57.4958,1.8240001
59,2021-01-03 11:00:00+00:00,8.674,64.14823,2.274
60,2021-01-03 12:00:00+00:00,10.024,44.344944,-1.576
61,2021-01-03 13:00:00+00:00,8.974,46.034943,-2.026
62,2021-01-03 14:00:00+00:00,8.073999,47.854702,-2.326
63,2021-01-03 15:00:00+00:00,5.6239996,54.75723,-2.776
64,2021-01-03 16:00:00+00:00,3.4740002,61.31176,-3.276
65,2021-01-03 17:00:00+00:00,3.6239998,59.769142,-3.476
66,2021-01-03 18:00:00+00:00,4.5740004,56.125694,-3.4259999
67,2021-01-03 19:00:00+00:00,5.174,54.432453,-3.276
68,2021-01-03 20:00:00+00:00,4.924,55.594524,-3.2259998
69,2021-01-03 21:00:00+00:00,5.8240004,53.208183,-2.9759998
70,2021-01-03 22:00:00+00:00,5.3739996,55.302727,-2.876
71,2021-01-03 23:00:00+00:00,4.174,60.579006,-2.776
72,2021-01-04 00:00:00+00:00,6.0740004,56.731316,-1.8759999
73,2021-01-04 01:00:00+00:00,5.724,58.550022,-1.776
74,2021-01-04 02:00:00+00:00,4.774,62.08662,-1.8759999
75,2021-01-04 03:00:00+00:00,5.424,72.49871,0.8740001
76,2021-01-04 04:00:00+00:00,8.774,59.748253,1.3740001
77,2021-01-04 05:00:00+00:00,10.474,56.847248,2.274
78,2021-01-04 06:00:00+00:00,11.573999,55.931553,3.0740001
79,2021-01-04 07:00:00+00:00,11.323999,60.162872,3.8739998
80,2021-01-04 08:00:00+00:00,10.323999,66.35921,4.3240004
81,2021-01-04 09:00:00+00:00,11.274,60.150665,3.8240001
82,2021-01-04 10:00:00+00:00,9.924,70.82657,4.8739996
83,2021-01-04 11:00:00+00:00,9.624,76.65992,5.724
84,2021-01-04 12:00:00+00:00,9.524,73.77211,5.0740004
85,2021-01-04 13:00:00+00:00,8.874,78.151405,5.274
86,2021-01-04 14:00:00+00:00,8.073999,77.755295,4.424
87,2021-01-04 15:00:00+00:00,8.274,73.54664,3.8240001
88,2021-01-04 16:00:00+00:00,7.3739996,76.82954,3.5740001
89,2021-01-04 17:00:00+00:00,4.474,89.03472,2.8240001
90,2021-01-04 18:00:00+00:00,4.924,85.9766,2.774
91,2021-01-04 19:00:00+00:00,5.424,83.0391,2.774
92,2021-01-04 20:00:00+00:00,4.8739996,84.45897,2.474
93,2021-01-04 21:00:00+00:00,4.424,85.61851,2.224
94,2021-01-04 22:00:00+00:00,4.424,84.708305,2.0740001
95,2021-01-04 23:00:00+00:00,3.8240001,87.09627,1.8740001
