,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,19.052,85.43632,16.552
1,2021-01-01 01:00:00+00:00,18.452,88.98343,16.602
2,2021-01-01 02:00:00+00:00,19.152,85.99087,16.752
3,2021-01-01 03:00:00+00:00,21.102,75.73813,16.652
4,2021-01-01 04:00:00+00:00,23.402,63.57902,16.102
5,2021-01-01 05:00:00+00:00,25.252,55.117672,15.602
6,2021-01-01 06:00:00+00:00,27.252,45.045193,14.302
7,2021-01-01 07:00:00+00:00,28.652,39.157223,13.402
8,2021-01-01 08:00:00+00:00,29.452,35.25007,12.502
9,2021-01-01 09:00:00+00:00,29.902,32.586803,11.702
10,2021-01-01 10:00:00+00:00,29.952,32.066788,11.502
11,2021-01-01 11:00:00+00:00,29.402,32.23365,11.102
12,2021-01-01 12:00:00+00:00,27.652,39.134308,12.502
13,2021-01-01 13:00:00+00:00,25.152,44.910233,12.352
14,2021-01-01 14:00:00+00:00,24.202,47.690247,12.402
15,2021-01-01 15:00:00+00:00,23.602,49.11811,12.302
16,2021-01-01 16:00:00+00:00,22.852,51.564133,12.352
17,2021-01-01 17:00:00+00:00,22.002,55.196236,12.602
18,2021-01-01 18:00:00+00:00,21.152,59.87965,13.052
19,2021-01-01 19:00:00+00:00,20.352,63.936882,13.302
20,2021-01-01 20:00:00+00:00,19.552,68.73285,13.652
21,2021-01-01 21:00:00+00:00,18.602,73.6411,13.802
22,2021-01-01 22:00:00+00:00,17.602,78.92577,13.902
23,2021-01-01 23:00:00+00:00,17.102,81.98874,14.002
24,2021-01-02 00:00:00+00:00,17.052,84.67929,14.452
25,2021-01-02 01:00:00+00:00,16.452,89.1093,14.652
26,2021-01-02 02:00:00+00:00,17.552,84.18981,14.852
27,2021-01-02 03:00:00+00:00,19.852,71.05532,14.452
28,2021-01-02 04:00:00+00:00,22.402,50.939587,11.752
29,2021-01-02 05:00:00+00:00,24.502,38.506557,9.452
