,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,19.3195,93.064064,18.169498
1,2021-01-01 01:00:00+00:00,19.019499,94.81988,18.169498
2,2021-01-01 02:00:00+00:00,19.4695,92.48971,18.2195
3,2021-01-01 03:00:00+00:00,21.169498,81.97381,17.9695
4,2021-01-01 04:00:00+00:00,23.169498,69.002174,17.169498
5,2021-01-01 05:00:00+00:00,24.769499,60.33773,16.5695
6,2021-01-01 06:00:00+00:00,26.169498,53.781948,16.0695
7,2021-01-01 07:00:00+00:00,27.0695,49.87695,15.719501
8,2021-01-01 08:00:00+00:00,27.1195,49.25555,15.569501
9,2021-01-01 09:00:00+00:00,27.519499,47.80705,15.469501
10,2021-01-01 10:00:00+00:00,27.7195,46.053276,15.0695
11,2021-01-01 11:00:00+00:00,27.519499,43.40015,13.969501
12,2021-01-01 12:00:00+00:00,26.5695,49.268284,15.0695
13,2021-01-01 13:00:00+00:00,25.169498,53.185257,14.969501
14,2021-01-01 14:00:00+00:00,24.4695,53.522686,14.4195
15,2021-01-01 15:00:00+00:00,23.3695,58.2991,14.719501
16,2021-01-01 16:00:00+00:00,22.669498,61.21493,14.8195
17,2021-01-01 17:00:00+00:00,22.169498,61.09991,14.3195
18,2021-01-01 18:00:00+00:00,20.919498,63.234734,13.6695
19,2021-01-01 19:00:00+00:00,20.1195,66.8656,13.7695
20,2021-01-01 20:00:00+00:00,19.3695,70.0499,13.7695
21,2021-01-01 21:00:00+00:00,18.8195,72.49331,13.7695
22,2021-01-01 22:00:00+00:00,17.9695,77.208015,13.9195
23,2021-01-01 23:00:00+00:00,16.919498,84.118904,14.219501
24,2021-01-02 00:00:00+00:00,16.1195,93.19697,15.0195
25,2021-01-02 01:00:00+00:00,15.6195,94.99186,14.8195
26,2021-01-02 02:00:00+00:00,16.769499,91.45487,15.3695
27,2021-01-02 03:00:00+00:00,18.9695,80.14353,15.469501
28,2021-01-02 04:00:00+00:00,21.4695,68.01154,15.3195
29,2021-01-02 05:00:00+00:00,23.669498,55.43449,14.219501
30,2021-01-02 06:00:00+00:00,25.519499,44.134476,12.4195
31,2021-01-02 07:00:00+00:00,26.8695,36.541725,10.7695
32,2021-01-02 08:00:00+00:00,27.669498,33.277424,10.0695
33,2021-01-02 09:00:00+00:00,28.0695,31.544222,9.6195
34,2021-01-02 10:00:00+00:00,27.8695,32.453682,9.8695
35,2021-01-02 11:00:00+00:00,27.419498,33.994186,10.1695
36,2021-01-02 12:00:00+00:00,25.7195,40.161922,11.1695
37,2021-01-02 13:00:00+00:00,23.4695,46.71352,11.4195
38,2021-01-02 14:00:00+00:00,22.519499,50.635597,11.7695
39,2021-01-02 15:00:00+00:00,21.6195,55.46297,12.3195
40,2021-01-02 16:00:00+00:00,20.9695,59.446274,12.7695
41,2021-01-02 17:00:00+00:00,20.919498,60.612167,13.0195
42,2021-01-02 18:00:00+00:00,20.3695,63.525166,13.219501
43,2021-01-02 19:00:00+00:00,19.6195,67.6375,13.469501
44,2021-01-02 20:00:00+00:00,19.0695,71.13955,13.719501
45,2021-01-02 21:00:00+00:00,18.519499,74.589035,13.9195
46,2021-01-02 22:00:00+00:00,18.0695,77.223434,14.0195
47,2021-01-02 23:00:00+00:00,17.7195,78.94273,14.0195
48,2021-01-03 00:00:00+00:00,17.3695,83.89833,14.6195
