,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,12.5935,89.38828,10.893499
1,2021-01-01 01:00:00+00:00,12.393499,90.87006,10.9435
2,2021-01-01 02:00:00+00:00,14.5935,80.5951,11.2935
3,2021-01-01 03:00:00+00:00,17.4935,69.45715,11.8435
4,2021-01-01 04:00:00+00:00,20.2435,59.468426,12.0935
5,2021-01-01 05:00:00+00:00,22.4935,50.62872,11.7435
6,2021-01-01 06:00:00+00:00,23.8435,44.69739,11.0935
7,2021-01-01 07:00:00+00:00,24.7435,40.96602,10.5935
8,2021-01-01 08:00:00+00:00,25.0935,39.720528,10.4435
9,2021-01-01 09:00:00+00:00,25.1435,38.6878,10.0935
10,2021-01-01 10:00:00+00:00,24.5935,39.7123,9.9935
11,2021-01-01 11:00:00+00:00,21.543499,57.292595,12.7435
12,2021-01-01 12:00:00+00:00,19.4935,61.482533,11.893499
13,2021-01-01 13:00:00+00:00,19.9435,59.20116,11.7435
14,2021-01-01 14:00:00+00:00,19.043499,62.40067,11.6935
15,2021-01-01 15:00:00+00:00,17.7435,67.47457,11.643499
16,2021-01-01 16:00:00+00:00,15.4435,78.35187,11.6935
17,2021-01-01 17:00:00+00:00,14.7935,80.88917,11.5435
18,2021-01-01 18:00:00+00:00,14.143499,83.5253,11.393499
19,2021-01-01 19:00:00+00:00,13.7435,85.437546,11.3435
20,2021-01-01 20:00:00+00:00,13.4935,85.69487,11.143499
21,2021-01-01 21:00:00+00:00,13.143499,84.52624,10.5935
22,2021-01-01 22:00:00+00:00,12.4435,83.04469,9.643499
23,2021-01-01 23:00:00+00:00,11.8435,81.034294,8.6935
24,2021-01-02 00:00:00+00:00,11.7435,84.93873,9.2935
25,2021-01-02 01:00:00+00:00,11.643499,82.38878,8.7435
26,2021-01-02 02:00:00+00:00,13.643499,72.02547,8.6935
27,2021-01-02 03:00:00+00:00,16.5935,60.395477,8.893499
28,2021-01-02 04:00:00+00:00,19.543499,51.20226,9.1935
29,2021-01-02 05:00:00+00:00,21.9435,44.020912,9.143499
30,2021-01-02 06:00:00+00:00,23.4935,39.668087,8.9935
31,2021-01-02 07:00:00+00:00,24.4935,35.870537,8.393499
32,2021-01-02 08:00:00+00:00,25.043499,33.552822,7.8935003
33,2021-01-02 09:00:00+00:00,25.1435,33.240227,7.8435
34,2021-01-02 10:00:00+00:00,24.6435,35.55014,8.393499
35,2021-01-02 11:00:00+00:00,21.3935,57.632168,12.6935
36,2021-01-02 12:00:00+00:00,18.5935,59.6657,10.5935
37,2021-01-02 13:00:00+00:00,18.7435,58.91209,10.5435
38,2021-01-02 14:00:00+00:00,19.4435,55.09513,10.1935
39,2021-01-02 15:00:00+00:00,18.9435,56.271122,10.0435
40,2021-01-02 16:00:00+00:00,18.293499,58.41106,9.9935
41,2021-01-02 17:00:00+00:00,17.543499,61.643593,10.0935
42,2021-01-02 18:00:00+00:00,17.0935,64.06046,10.2435
