,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,5.7320004,76.83338,1.982
1,2021-01-01 01:00:00+00:00,6.032,75.52521,2.032
2,2021-01-01 02:00:00+00:00,6.382,73.98767,2.082
3,2021-01-01 03:00:00+00:00,9.432,60.12507,2.082
4,2021-01-01 04:00:00+00:00,13.332,45.953342,1.932
5,2021-01-01 05:00:00+00:00,16.331999,37.877983,1.932
6,2021-01-01 06:00:00+00:00,18.632,35.927795,3.2319999
7,2021-01-01 07:00:00+00:00,20.132,36.361393,4.7320004
8,2021-01-01 08:00:00+00:00,21.132,37.288124,5.9820004
9,2021-01-01 09:00:00+00:00,21.382,39.742344,7.132
10,2021-01-01 10:00:00+00:00,21.182,40.786743,7.3320003
11,2021-01-01 11:00:00+00:00,20.682,42.78384,7.5820003
12,2021-01-01 12:00:00+00:00,19.632,47.55609,8.182
13,2021-01-01 13:00:00+00:00,17.932,54.893143,8.732
14,2021-01-01 14:00:00+00:00,16.932,58.668552,8.782001
15,2021-01-01 15:00:00+00:00,16.032,62.334866,8.832
16,2021-01-01 16:00:00+00:00,15.082,64.47788,8.432
17,2021-01-01 17:00:00+00:00,14.532001,63.26902,7.632
18,2021-01-01 18:00:00+00:00,13.882,67.578964,7.9820004
19,2021-01-01 19:00:00+00:00,13.382,73.204796,8.682
20,2021-01-01 20:00:00+00:00,13.082,73.15079,8.382
21,2021-01-01 21:00:00+00:00,13.032001,75.658356,8.832
22,2021-01-01 22:00:00+00:00,12.732,77.94247,8.982
23,2021-01-01 23:00:00+00:00,12.832,80.62386,9.582
24,2021-01-02 00:00:00+00:00,12.432,84.16428,9.832
25,2021-01-02 01:00:00+00:00,12.232,86.71598,10.082
26,2021-01-02 02:00:00+00:00,12.482,87.03007,10.382
27,2021-01-02 03:00:00+00:00,13.682,84.58609,11.132
28,2021-01-02 04:00:00+00:00,15.982,77.40668,12.032001
29,2021-01-02 05:00:00+00:00,18.282,68.70445,12.432
30,2021-01-02 06:00:00+00:00,20.432,64.58214,13.532001
31,2021-01-02 07:00:00+00:00,21.932,62.443363,14.432
32,2021-01-02 08:00:00+00:00,23.032,59.35665,14.682
33,2021-01-02 09:00:00+00:00,23.081999,58.607334,14.532001
34,2021-01-02 10:00:00+00:00,22.481998,60.582363,14.482
35,2021-01-02 11:00:00+00:00,21.331999,67.54844,15.082
36,2021-01-02 12:00:00+00:00,20.882,65.52332,14.182
37,2021-01-02 13:00:00+00:00,19.382,72.82926,14.382
38,2021-01-02 14:00:00+00:00,18.532,78.55159,14.732
39,2021-01-02 15:00:00+00:00,17.581999,86.94251,15.382
40,2021-01-02 16:00:00+00:00,16.782,92.63554,15.582
41,2021-01-02 17:00:00+00:00,16.231998,94.10498,15.282001
42,2021-01-02 18:00:00+00:00,15.932,94.09167,14.982
43,2021-01-02 19:00:00+00:00,15.732,93.78009,14.732
44,2021-01-02 20:00:00+00:00,15.532001,94.68282,14.682
45,2021-01-02 21:00:00+00:00,15.332,94.980965,14.532001
46,2021-01-02 22:00:00+00:00,15.432,94.67879,14.582
47,2021-01-02 23:00:00+00:00,15.782001,92.879745,14.632
48,2021-01-03 00:00:00+00:00,15.982,95.31113,15.232
49,2021-01-03 01:00:00+00:00,15.832,95.9203,15.182
50,2021-01-03 02:00:00+00:00,15.932,96.54087,15.382
51,2021-01-03 03:00:00+00:00,16.632,95.02993,15.832
52,2021-01-03 04:00:00+00:00,17.532,91.50274,16.132
53,2021-01-03 05:00:00+00:00,18.981998,78.36503,15.132
54,2021-01-03 06:00:00+00:00,20.932,64.48117,13.982
55,2021-01-03 07:00:00+00:00,22.481998,54.95685,12.982
56,2021-01-03 08:00:00+00:00,23.432,48.430626,11.932
57,2021-01-03 09:00:00+00:00,23.682,44.65272,10.932
58,2021-01-03 10:00:00+00:00,23.532,42.576984,10.082
59,2021-01-03 11:00:00+00:00,22.932,42.694466,9.582
60,2021-01-03 12:00:00+00:00,20.432,65.00358,13.632
61,2021-01-03 13:00:00+00:00,18.182,77.49125,14.182
62,2021-01-03 14:00:00+00:00,16.682,87.13866,14.532001
63,2021-01-03 15:00:00+00:00,14.932,93.13626,13.832
64,2021-01-03 16:00:00+00:00,14.832,94.04261,13.882
65,2021-01-03 17:00:00+00:00,15.632,93.47336,14.582
66,2021-01-03 18:00:00+00:00,16.382,95.93725,15.732
67,2021-01-03 19:00:00+00:00,16.782,97.18017,16.331999
68,2021-01-03 20:00:00+00:00,16.981998,93.24056,15.882
69,2021-01-03 21:00:00+00:00,16.981998,89.15131,15.182
70,2021-01-03 22:00:00+00:00,16.831999,88.28309,14.882
71,2021-01-03 23:00:00+00:00,16.782,87.9949,14.782001
72,2021-01-04 00:00:00+00:00,16.182,93.50017,15.132
73,2021-01-04 01:00:00+00:00,15.582,94.38005,14.682
74,2021-01-04 02:00:00+00:00,14.732,94.958145,13.932
75,2021-01-04 03:00:00+00:00,15.432,91.96383,14.132
76,2021-01-04 04:00:00+00:00,17.132,82.79311,14.182
77,2021-01-04 05:00:00+00:00,19.432,70.518036,13.932
78,2021-01-04 06:00:00+00:00,20.331999,68.66494,14.382
79,2021-01-04 07:00:00+00:00,18.632,76.5646,14.432
80,2021-01-04 08:00:00+00:00,18.731998,82.19234,15.632
81,2021-01-04 09:00:00+00:00,18.731998,85.94902,16.331999
82,2021-01-04 10:00:00+00:00,19.132,83.82973,16.331999
83,2021-01-04 11:00:00+00:00,18.382,88.97786,16.532
84,2021-01-04 12:00:00+00:00,18.081999,89.23769,16.282
85,2021-01-04 13:00:00+00:00,16.981998,94.74047,16.132
86,2021-01-04 14:00:00+00:00,16.782,95.33932,16.032
87,2021-01-04 15:00:00+00:00,16.831999,94.43255,15.932
88,2021-01-04 16:00:00+00:00,16.532,94.42,15.632
89,2021-01-04 17:00:00+00:00,16.231998,94.407455,15.332
90,2021-01-04 18:00:00+00:00,16.132,94.40323,15.232
91,2021-01-04 19:00:00+00:00,16.081999,93.7964,15.082
92,2021-01-04 20:00:00+00:00,15.882,93.48555,14.832
93,2021-01-04 21:00:00+00:00,15.732,93.17723,14.632
94,2021-01-04 22:00:00+00:00,15.482,91.37311,14.082
95,2021-01-04 23:00:00+00:00,14.982,91.93689,13.682
96,2021-01-05 00:00:00+00:00,15.282001,90.76912,13.782001
97,2021-01-05 01:00:00+00:00,15.132,91.35066,13.732
98,2021-01-05 02:00:00+00:00,14.982,92.23608,13.732
99,2021-01-05 03:00:00+00:00,15.432,89.608284,13.732
100,2021-01-05 04:00:00+00:00,16.632,83.00176,13.732
101,2021-01-05 05:00:00+00:00,17.682,74.20447,13.032001
102,2021-01-05 06:00:00+00:00,19.182,71.62383,13.932
103,2021-01-05 07:00:00+00:00,20.882,62.003597,13.332
104,2021-01-05 08:00:00+00:00,20.981998,62.431484,13.532001
105,2021-01-05 09:00:00+00:00,20.132,69.96959,14.482
106,2021-01-05 10:00:00+00:00,20.032,71.54884,14.732
107,2021-01-05 11:00:00+00:00,19.481998,76.69798,15.282001
108,2021-01-05 12:00:00+00:00,18.231998,85.07882,15.682
109,2021-01-05 13:00:00+00:00,17.581999,86.66408,15.332
110,2021-01-05 14:00:00+00:00,16.632,90.278305,15.032001
111,2021-01-05 15:00:00+00:00,15.982,91.70038,14.632
112,2021-01-05 16:00:00+00:00,15.632,93.77543,14.632
113,2021-01-05 17:00:00+00:00,15.482,94.6808,14.632
114,2021-01-05 18:00:00+00:00,14.982,95.89391,14.332
115,2021-01-05 19:00:00+00:00,14.732,97.13574,14.282001
116,2021-01-05 20:00:00+00:00,14.232,98.39353,13.982
117,2021-01-05 21:00:00+00:00,13.932,99.03113,13.782001
118,2021-01-05 22:00:00+00:00,13.382,99.67474,13.332
119,2021-01-05 23:00:00+00:00,13.232,99.67435,13.182
120,2021-01-06 00:00:00+00:00,12.882,99.02321,12.732
121,2021-01-06 01:00:00+00:00,12.632,99.3466,12.532001
122,2021-01-06 02:00:00+00:00,12.232,99.344536,12.132
123,2021-01-06 03:00:00+00:00,12.432,96.12966,11.832
124,2021-01-06 04:00:00+00:00,12.782001,96.45661,12.232
125,2021-01-06 05:00:00+00:00,13.282001,91.531815,11.932
126,2021-01-06 06:00:00+00:00,14.282001,85.21268,11.832
127,2021-01-06 07:00:00+00:00,16.432,67.87844,10.482
128,2021-01-06 08:00:00+00:00,17.682,60.047585,9.832
129,2021-01-06 09:00:00+00:00,18.132,56.255547,9.282001
130,2021-01-06 10:00:00+00:00,18.132,55.316296,9.032001
131,2021-01-06 11:00:00+00:00,17.481998,57.43291,8.982
132,2021-01-06 12:00:00+00:00,15.332,72.82094,10.482
133,2021-01-06 13:00:00+00:00,13.432,82.88775,10.582
134,2021-01-06 14:00:00+00:00,12.432,87.90021,10.482
135,2021-01-06 15:00:00+00:00,11.882,90.53265,10.382
136,2021-01-06 16:00:00+00:00,11.532001,91.11493,10.132
137,2021-01-06 17:00:00+00:00,10.732,90.75551,9.282001
138,2021-01-06 18:00:00+00:00,9.832,92.24054,8.632
139,2021-01-06 19:00:00+00:00,9.332,93.787964,8.382
140,2021-01-06 20:00:00+00:00,8.532001,97.324776,8.132
141,2021-01-06 21:00:00+00:00,8.432,99.66182,8.382
142,2021-01-06 22:00:00+00:00,8.732,99.32624,8.632
143,2021-01-06 23:00:00+00:00,9.432,99.66448,9.382
144,2021-01-07 00:00:00+00:00,9.832,99.66556,9.782001
145,2021-01-07 01:00:00+00:00,9.982,99.33286,9.882
146,2021-01-07 02:00:00+00:00,9.932,99.33261,9.832
147,2021-01-07 03:00:00+00:00,10.532001,97.36628,10.132
148,2021-01-07 04:00:00+00:00,11.482,93.8894,10.532001
149,2021-01-07 05:00:00+00:00,13.332,83.707695,10.632
150,2021-01-07 06:00:00+00:00,15.682,67.04607,9.582
151,2021-01-07 07:00:00+00:00,17.032,60.296604,9.282001
152,2021-01-07 08:00:00+00:00,18.081999,54.561993,8.782001
153,2021-01-07 09:00:00+00:00,18.632,51.305336,8.382
154,2021-01-07 10:00:00+00:00,18.782,49.802376,8.082
155,2021-01-07 11:00:00+00:00,18.282,51.211765,8.032
156,2021-01-07 12:00:00+00:00,15.032001,71.56035,9.932
157,2021-01-07 13:00:00+00:00,13.132,80.935265,9.932
158,2021-01-07 14:00:00+00:00,11.982,88.44936,10.132
159,2021-01-07 15:00:00+00:00,10.982,92.30803,9.782001
160,2021-01-07 16:00:00+00:00,10.332,93.20648,9.282001
161,2021-01-07 17:00:00+00:00,9.932,93.185684,8.882
162,2021-01-07 18:00:00+00:00,9.582,93.16742,8.532001
163,2021-01-07 19:00:00+00:00,8.982,94.09029,8.082
164,2021-01-07 20:00:00+00:00,8.632,95.03986,7.882
165,2021-01-07 21:00:00+00:00,8.532001,95.035995,7.782
166,2021-01-07 22:00:00+00:00,8.282001,96.00323,7.682
167,2021-01-07 23:00:00+00:00,8.282001,96.33083,7.7320004
168,2021-01-08 00:00:00+00:00,9.232,95.06287,8.482
169,2021-01-08 01:00:00+00:00,9.182,95.38339,8.482
170,2021-01-08 02:00:00+00:00,9.632,95.07812,8.882
171,2021-01-08 03:00:00+00:00,11.782001,88.43226,9.932
172,2021-01-08 04:00:00+00:00,13.382,83.71354,10.682
173,2021-01-08 05:00:00+00:00,13.832,89.19118,12.082
174,2021-01-08 06:00:00+00:00,14.682,88.676765,12.832
175,2021-01-08 07:00:00+00:00,16.932,78.06083,13.082
176,2021-01-08 08:00:00+00:00,17.981998,74.25582,13.332
177,2021-01-08 09:00:00+00:00,17.831999,77.94195,13.932
