,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,6.24,98.6297,6.04
1,2021-01-01 01:00:00+00:00,6.09,97.94834,5.79
2,2021-01-01 02:00:00+00:00,6.3900003,97.27923,5.99
3,2021-01-01 03:00:00+00:00,7.24,96.96422,6.79
4,2021-01-01 04:00:00+00:00,8.74,96.017494,8.139999
5,2021-01-01 05:00:00+00:00,11.639999,84.07348,9.04
6,2021-01-01 06:00:00+00:00,14.99,65.780075,8.639999
7,2021-01-01 07:00:00+00:00,16.99,53.727055,7.54
8,2021-01-01 08:00:00+00:00,17.99,50.098076,7.4399996
9,2021-01-01 09:00:00+00:00,18.44,47.877953,7.1899996
10,2021-01-01 10:00:00+00:00,18.24,48.98189,7.34
11,2021-01-01 11:00:00+00:00,16.69,65.267586,10.139999
12,2021-01-01 12:00:00+00:00,11.99,79.69599,8.59
13,2021-01-01 13:00:00+00:00,11.49,81.26154,8.389999
14,2021-01-01 14:00:00+00:00,10.79,84.546814,8.29
15,2021-01-01 15:00:00+00:00,9.79,88.25982,7.9399996
16,2021-01-01 16:00:00+00:00,10.04,83.31671,7.34
17,2021-01-01 17:00:00+00:00,11.29,75.36639,7.09
18,2021-01-01 18:00:00+00:00,9.99,76.98447,6.1400003
19,2021-01-01 19:00:00+00:00,8.639999,78.660706,5.1400003
20,2021-01-01 20:00:00+00:00,6.79,82.626915,4.04
21,2021-01-01 21:00:00+00:00,6.49,78.88836,3.09
22,2021-01-01 22:00:00+00:00,6.29,76.6519,2.49
23,2021-01-01 23:00:00+00:00,8.44,69.546135,3.19
24,2021-01-02 00:00:00+00:00,4.29,95.87574,3.69
25,2021-01-02 01:00:00+00:00,4.6400003,98.26774,4.3900003
26,2021-01-02 02:00:00+00:00,4.09,97.91533,3.7900002
27,2021-01-02 03:00:00+00:00,6.24,90.12013,4.74
28,2021-01-02 04:00:00+00:00,10.24,76.4958,6.29
29,2021-01-02 05:00:00+00:00,14.94,61.45041,7.59
30,2021-01-02 06:00:00+00:00,17.49,49.281578,6.74
31,2021-01-02 07:00:00+00:00,18.94,45.77308,6.99
32,2021-01-02 08:00:00+00:00,19.99,45.289116,7.79
33,2021-01-02 09:00:00+00:00,20.44,46.34732,8.54
34,2021-01-02 10:00:00+00:00,20.39,46.490562,8.54
35,2021-01-02 11:00:00+00:00,18.69,64.625725,11.889999
36,2021-01-02 12:00:00+00:00,15.19,65.38018,8.74
37,2021-01-02 13:00:00+00:00,14.94,62.29357,7.79
38,2021-01-02 14:00:00+00:00,12.54,77.91306,8.79
39,2021-01-02 15:00:00+00:00,12.139999,85.840706,9.84
40,2021-01-02 16:00:00+00:00,13.09,81.746056,10.04
41,2021-01-02 17:00:00+00:00,12.639999,84.18802,10.04
42,2021-01-02 18:00:00+00:00,12.74,82.25023,9.79
43,2021-01-02 19:00:00+00:00,12.29,82.19321,9.34
44,2021-01-02 20:00:00+00:00,11.94,83.26328,9.19
45,2021-01-02 21:00:00+00:00,12.74,80.07142,9.389999
46,2021-01-02 22:00:00+00:00,10.74,87.452156,8.74
47,2021-01-02 23:00:00+00:00,9.99,85.908424,7.74
48,2021-01-03 00:00:00+00:00,10.59,81.14101,7.49
49,2021-01-03 01:00:00+00:00,11.99,70.73911,6.84
50,2021-01-03 02:00:00+00:00,11.889999,74.44523,7.49
51,2021-01-03 03:00:00+00:00,13.139999,83.96463,10.49
52,2021-01-03 04:00:00+00:00,14.49,83.56596,11.74
53,2021-01-03 05:00:00+00:00,16.289999,75.442635,11.94
54,2021-01-03 06:00:00+00:00,18.84,67.92138,12.79
55,2021-01-03 07:00:00+00:00,19.89,65.73886,13.29
56,2021-01-03 08:00:00+00:00,20.09,67.513824,13.889999
57,2021-01-03 09:00:00+00:00,19.99,72.00377,14.79
58,2021-01-03 10:00:00+00:00,19.289999,81.21839,15.99
59,2021-01-03 11:00:00+00:00,17.99,91.82255,16.64
60,2021-01-03 12:00:00+00:00,16.69,95.032074,15.889999
61,2021-01-03 13:00:00+00:00,15.74,97.46997,15.34
62,2021-01-03 14:00:00+00:00,15.34,97.77634,14.99
63,2021-01-03 15:00:00+00:00,14.49,97.76177,14.139999
64,2021-01-03 16:00:00+00:00,13.74,97.11388,13.29
65,2021-01-03 17:00:00+00:00,14.639999,91.021645,13.19
66,2021-01-03 18:00:00+00:00,13.74,96.48257,13.19
67,2021-01-03 19:00:00+00:00,12.99,96.779274,12.49
68,2021-01-03 20:00:00+00:00,12.84,98.05417,12.54
69,2021-01-03 21:00:00+00:00,12.84,96.141754,12.24
70,2021-01-03 22:00:00+00:00,13.09,94.273155,12.19
71,2021-01-03 23:00:00+00:00,13.34,94.9046,12.54
72,2021-01-04 00:00:00+00:00,13.139999,94.89684,12.34
73,2021-01-04 01:00:00+00:00,13.04,96.46363,12.49
74,2021-01-04 02:00:00+00:00,12.79,96.14027,12.19
75,2021-01-04 03:00:00+00:00,14.389999,90.41176,12.84
76,2021-01-04 04:00:00+00:00,16.789999,85.47631,14.34
77,2021-01-04 05:00:00+00:00,18.59,79.067726,14.889999
78,2021-01-04 06:00:00+00:00,19.289999,76.42184,15.04
79,2021-01-04 07:00:00+00:00,19.64,73.58327,14.79
80,2021-01-04 08:00:00+00:00,22.39,58.631317,13.889999
81,2021-01-04 09:00:00+00:00,22.99,57.645676,14.19
82,2021-01-04 10:00:00+00:00,22.74,61.034237,14.84
83,2021-01-04 11:00:00+00:00,21.24,68.40363,15.19
84,2021-01-04 12:00:00+00:00,17.99,88.09928,15.99
85,2021-01-04 13:00:00+00:00,17.289999,89.7487,15.59
86,2021-01-04 14:00:00+00:00,16.09,91.11753,14.639999
87,2021-01-04 15:00:00+00:00,17.24,88.601524,15.34
88,2021-01-04 16:00:00+00:00,14.94,93.13666,13.84
89,2021-01-04 17:00:00+00:00,14.639999,90.134674,13.04
90,2021-01-04 18:00:00+00:00,14.74,91.028305,13.29
91,2021-01-04 19:00:00+00:00,14.94,91.93435,13.639999
92,2021-01-04 20:00:00+00:00,14.69,91.62033,13.34
93,2021-01-04 21:00:00+00:00,14.09,94.62453,13.24
94,2021-01-04 22:00:00+00:00,14.389999,94.02273,13.44
95,2021-01-04 23:00:00+00:00,12.24,95.80699,11.59
96,2021-01-05 00:00:00+00:00,12.44,89.97239,10.84
97,2021-01-05 01:00:00+00:00,11.94,89.33665,10.24
98,2021-01-05 02:00:00+00:00,12.34,93.00094,11.24
99,2021-01-05 03:00:00+00:00,14.889999,82.79125,11.99
100,2021-01-05 04:00:00+00:00,17.44,72.958176,12.54
101,2021-01-05 05:00:00+00:00,20.24,64.3304,13.29
102,2021-01-05 06:00:00+00:00,22.44,55.30647,13.04
103,2021-01-05 07:00:00+00:00,23.99,50.691635,13.139999
104,2021-01-05 08:00:00+00:00,24.34,50.6187,13.44
105,2021-01-05 09:00:00+00:00,24.24,51.422554,13.59
106,2021-01-05 10:00:00+00:00,23.64,55.069298,14.09
107,2021-01-05 11:00:00+00:00,21.99,67.4654,15.69
108,2021-01-05 12:00:00+00:00,17.84,85.31056,15.34
109,2021-01-05 13:00:00+00:00,19.789999,74.562195,15.139999
110,2021-01-05 14:00:00+00:00,18.94,77.10831,14.84
111,2021-01-05 15:00:00+00:00,16.64,87.982544,14.639999
112,2021-01-05 16:00:00+00:00,14.74,92.22203,13.49
113,2021-01-05 17:00:00+00:00,14.24,91.5922,12.889999
114,2021-01-05 18:00:00+00:00,14.19,88.34515,12.29
115,2021-01-05 19:00:00+00:00,13.99,85.74618,11.639999
116,2021-01-05 20:00:00+00:00,14.139999,79.99972,10.74
117,2021-01-05 21:00:00+00:00,15.19,73.28241,10.44
118,2021-01-05 22:00:00+00:00,13.69,81.280426,10.54
119,2021-01-05 23:00:00+00:00,13.639999,83.7436,10.94
120,2021-01-06 00:00:00+00:00,14.79,83.87664,12.09
121,2021-01-06 01:00:00+00:00,16.039999,77.92656,12.19
122,2021-01-06 02:00:00+00:00,15.69,79.95153,12.24
123,2021-01-06 03:00:00+00:00,16.84,75.28595,12.44
124,2021-01-06 04:00:00+00:00,18.539999,68.531044,12.639999
125,2021-01-06 05:00:00+00:00,20.289999,65.18475,13.54
126,2021-01-06 06:00:00+00:00,20.84,66.79822,14.44
127,2021-01-06 07:00:00+00:00,23.039999,58.408314,14.44
128,2021-01-06 08:00:00+00:00,23.19,57.69419,14.389999
129,2021-01-06 09:00:00+00:00,22.74,60.252407,14.639999
130,2021-01-06 10:00:00+00:00,22.539999,59.048584,14.139999
131,2021-01-06 11:00:00+00:00,21.39,64.78943,14.49
132,2021-01-06 12:00:00+00:00,20.039999,72.94583,15.04
133,2021-01-06 13:00:00+00:00,17.39,89.46941,15.639999
134,2021-01-06 14:00:00+00:00,16.84,91.45933,15.44
135,2021-01-06 15:00:00+00:00,16.039999,91.114235,14.59
136,2021-01-06 16:00:00+00:00,15.59,82.33503,12.59
137,2021-01-06 17:00:00+00:00,14.889999,81.70703,11.79
138,2021-01-06 18:00:00+00:00,14.09,83.79584,11.389999
139,2021-01-06 19:00:00+00:00,13.29,87.10651,11.19
140,2021-01-06 20:00:00+00:00,12.79,90.59667,11.29
141,2021-01-06 21:00:00+00:00,12.09,91.45579,10.74
142,2021-01-06 22:00:00+00:00,11.49,92.95571,10.389999
143,2021-01-06 23:00:00+00:00,11.09,94.18519,10.19
144,2021-01-07 00:00:00+00:00,11.19,94.8202,10.389999
145,2021-01-07 01:00:00+00:00,10.84,94.80625,10.04
146,2021-01-07 02:00:00+00:00,10.84,94.80625,10.04
147,2021-01-07 03:00:00+00:00,12.79,85.907524,10.49
148,2021-01-07 04:00:00+00:00,15.69,74.105316,11.09
149,2021-01-07 05:00:00+00:00,18.64,63.55738,11.59
150,2021-01-07 06:00:00+00:00,21.039999,55.499687,11.79
151,2021-01-07 07:00:00+00:00,22.74,50.361076,11.889999
152,2021-01-07 08:00:00+00:00,23.59,47.056293,11.639999
153,2021-01-07 09:00:00+00:00,23.69,46.61948,11.59
154,2021-01-07 10:00:00+00:00,23.19,48.365356,11.69
155,2021-01-07 11:00:00+00:00,21.59,58.629993,13.139999
156,2021-01-07 12:00:00+00:00,18.039999,74.02416,13.34
157,2021-01-07 13:00:00+00:00,16.84,78.81536,13.139999
158,2021-01-07 14:00:00+00:00,15.639999,85.356285,13.19
159,2021-01-07 15:00:00+00:00,14.84,90.443634,13.29
160,2021-01-07 16:00:00+00:00,14.34,93.10568,13.24
161,2021-01-07 17:00:00+00:00,13.889999,94.30781,12.99
162,2021-01-07 18:00:00+00:00,13.44,95.219864,12.69
163,2021-01-07 19:00:00+00:00,13.04,96.14767,12.44
164,2021-01-07 20:00:00+00:00,12.639999,96.770584,12.139999
165,2021-01-07 21:00:00+00:00,12.19,97.399994,11.79
166,2021-01-07 22:00:00+00:00,11.69,98.68734,11.49
167,2021-01-07 23:00:00+00:00,11.29,99.01096,11.139999
168,2021-01-08 00:00:00+00:00,12.24,98.692955,12.04
169,2021-01-08 01:00:00+00:00,12.29,98.04586,11.99
170,2021-01-08 02:00:00+00:00,11.94,99.01601,11.79
171,2021-01-08 03:00:00+00:00,12.69,94.87929,11.889999
172,2021-01-08 04:00:00+00:00,13.84,90.968094,12.389999
173,2021-01-08 05:00:00+00:00,16.49,78.76438,12.79
174,2021-01-08 06:00:00+00:00,18.99,67.50886,12.84
175,2021-01-08 07:00:00+00:00,20.94,58.473286,12.49
176,2021-01-08 08:00:00+00:00,22.14,52.40386,11.94
177,2021-01-08 09:00:00+00:00,22.59,50.65429,11.84
178,2021-01-08 10:00:00+00:00,22.39,53.51304,12.49
179,2021-01-08 11:00:00+00:00,20.89,61.00244,13.09
180,2021-01-08 12:00:00+00:00,17.19,75.83845,12.889999
181,2021-01-08 13:00:00+00:00,15.74,80.74998,12.44
182,2021-01-08 14:00:00+00:00,14.74,83.59521,11.99
183,2021-01-08 15:00:00+00:00,14.139999,86.04491,11.84
184,2021-01-08 16:00:00+00:00,14.139999,85.47918,11.74
185,2021-01-08 17:00:00+00:00,13.94,82.67486,11.04
186,2021-01-08 18:00:00+00:00,13.889999,84.05067,11.24
187,2021-01-08 19:00:00+00:00,13.139999,89.72737,11.49
188,2021-01-08 20:00:00+00:00,12.59,93.01416,11.49
189,2021-01-08 21:00:00+00:00,12.29,95.17771,11.54
190,2021-01-08 22:00:00+00:00,12.139999,95.80377,11.49
191,2021-01-08 23:00:00+00:00,12.139999,92.375114,10.94
192,2021-01-09 00:00:00+00:00,12.389999,96.12842,11.79
193,2021-01-09 01:00:00+00:00,12.04,94.22722,11.139999
194,2021-01-09 02:00:00+00:00,11.59,92.34335,10.389999
195,2021-01-09 03:00:00+00:00,13.04,84.233475,10.44
196,2021-01-09 04:00:00+00:00,15.24,73.04747,10.44
197,2021-01-09 05:00:00+00:00,17.789999,61.90693,10.389999
198,2021-01-09 06:00:00+00:00,20.289999,55.12697,10.99
199,2021-01-09 07:00:00+00:00,22.289999,49.25314,11.139999
200,2021-01-09 08:00:00+00:00,23.34,48.405834,11.84
201,2021-01-09 09:00:00+00:00,23.69,49.3032,12.44
202,2021-01-09 10:00:00+00:00,23.34,52.031033,12.94
203,2021-01-09 11:00:00+00:00,22.09,59.518345,13.84
204,2021-01-09 12:00:00+00:00,19.539999,68.73048,13.639999
205,2021-01-09 13:00:00+00:00,18.64,69.68128,12.99
206,2021-01-09 14:00:00+00:00,17.89,72.79995,12.94
207,2021-01-09 15:00:00+00:00,17.14,76.57771,12.99
208,2021-01-09 16:00:00+00:00,16.24,82.1473,13.19
209,2021-01-09 17:00:00+00:00,15.34,87.58264,13.29
210,2021-01-09 18:00:00+00:00,14.79,90.14559,13.19
211,2021-01-09 19:00:00+00:00,14.29,90.70104,12.79
212,2021-01-09 20:00:00+00:00,13.74,91.86177,12.44
213,2021-01-09 21:00:00+00:00,13.19,93.65984,12.19
214,2021-01-09 22:00:00+00:00,12.69,94.255745,11.79
215,2021-01-09 23:00:00+00:00,12.44,93.31452,11.389999
216,2021-01-10 00:00:00+00:00,12.29,97.72346,11.94
217,2021-01-10 01:00:00+00:00,12.139999,97.07808,11.69
218,2021-01-10 02:00:00+00:00,11.99,96.434944,11.44
219,2021-01-10 03:00:00+00:00,13.24,89.14385,11.49
220,2021-01-10 04:00:00+00:00,15.389999,78.343895,11.639999
221,2021-01-10 05:00:00+00:00,18.039999,67.758385,11.99
222,2021-01-10 06:00:00+00:00,20.34,59.687325,12.24
223,2021-01-10 07:00:00+00:00,21.89,54.807114,12.389999
224,2021-01-10 08:00:00+00:00,22.74,52.04508,12.389999
225,2021-01-10 09:00:00+00:00,22.89,51.06838,12.24
226,2021-01-10 10:00:00+00:00,22.44,52.13795,12.139999
227,2021-01-10 11:00:00+00:00,21.19,57.018227,12.34
228,2021-01-10 12:00:00+00:00,18.39,64.34717,11.54
229,2021-01-10 13:00:00+00:00,16.94,68.43498,11.09
230,2021-01-10 14:00:00+00:00,15.74,72.17124,10.74
231,2021-01-10 15:00:00+00:00,14.59,77.19052,10.639999
232,2021-01-10 16:00:00+00:00,13.639999,82.08985,10.639999
233,2021-01-10 17:00:00+00:00,12.79,86.48172,10.59
234,2021-01-10 18:00:00+00:00,11.84,91.135475,10.44
235,2021-01-10 19:00:00+00:00,10.99,94.812225,10.19
236,2021-01-10 20:00:00+00:00,10.29,96.71133,9.79
237,2021-01-10 21:00:00+00:00,9.74,98.33638,9.49
238,2021-01-10 22:00:00+00:00,9.389999,99.32976,9.29
239,2021-01-10 23:00:00+00:00,9.59,98.66555,9.389999
240,2021-01-11 00:00:00+00:00,10.24,97.0347,9.79
241,2021-01-11 01:00:00+00:00,10.34,95.42457,9.639999
242,2021-01-11 02:00:00+00:00,10.389999,93.20949,9.34
243,2021-01-11 03:00:00+00:00,10.84,89.24889,9.139999
244,2021-01-11 04:00:00+00:00,11.94,82.70433,9.09
245,2021-01-11 05:00:00+00:00,13.19,76.97013,9.24
246,2021-01-11 06:00:00+00:00,14.54,71.22814,9.389999
247,2021-01-11 07:00:00+00:00,16.09,65.13695,9.54
248,2021-01-11 08:00:00+00:00,17.44,59.588345,9.49
249,2021-01-11 09:00:00+00:00,18.14,58.37353,9.84
250,2021-01-11 10:00:00+00:00,18.039999,60.738087,10.34
251,2021-01-11 11:00:00+00:00,17.24,66.26203,10.889999
252,2021-01-11 12:00:00+00:00,13.29,81.22749,10.139999
253,2021-01-11 13:00:00+00:00,12.04,88.45432,10.19
254,2021-01-11 14:00:00+00:00,10.74,93.540665,9.74
255,2021-01-11 15:00:00+00:00,9.69,96.046814,9.09
256,2021-01-11 16:00:00+00:00,9.79,95.08412,9.04
257,2021-01-11 17:00:00+00:00,9.139999,94.41716,8.29
258,2021-01-11 18:00:00+00:00,8.59,93.43332,7.59
259,2021-01-11 19:00:00+00:00,8.139999,93.73065,7.1899996
260,2021-01-11 20:00:00+00:00,7.9399996,95.338615,7.24
261,2021-01-11 21:00:00+00:00,7.9399996,94.68862,7.1400003
262,2021-01-11 22:00:00+00:00,7.8899994,95.01119,7.1400003
263,2021-01-11 23:00:00+00:00,8.09,94.694786,7.29
264,2021-01-12 00:00:00+00:00,8.79,92.49341,7.6400003
265,2021-01-12 01:00:00+00:00,8.99,93.13634,7.9399996
266,2021-01-12 02:00:00+00:00,8.79,95.36933,8.09
267,2021-01-12 03:00:00+00:00,9.139999,93.778786,8.19
268,2021-01-12 04:00:00+00:00,9.94,90.39357,8.44
269,2021-01-12 05:00:00+00:00,10.69,87.1524,8.639999
270,2021-01-12 06:00:00+00:00,11.84,81.85917,8.84
271,2021-01-12 07:00:00+00:00,12.84,77.69671,9.04
272,2021-01-12 08:00:00+00:00,13.84,73.534134,9.19
273,2021-01-12 09:00:00+00:00,14.34,70.474396,9.04
274,2021-01-12 10:00:00+00:00,14.59,69.111984,8.99
275,2021-01-12 11:00:00+00:00,14.29,70.70267,9.04
276,2021-01-12 12:00:00+00:00,11.889999,79.6817,8.49
277,2021-01-12 13:00:00+00:00,12.24,77.60378,8.44
278,2021-01-12 14:00:00+00:00,11.59,80.72622,8.389999
279,2021-01-12 15:00:00+00:00,11.04,82.03345,8.09
280,2021-01-12 16:00:00+00:00,9.29,87.91525,7.3900003
281,2021-01-12 17:00:00+00:00,8.44,92.47326,7.29
282,2021-01-12 18:00:00+00:00,9.04,93.773994,8.09
283,2021-01-12 19:00:00+00:00,8.69,96.015945,8.09
284,2021-01-12 20:00:00+00:00,8.19,98.98655,8.04
285,2021-01-12 21:00:00+00:00,6.8900003,99.65764,6.84
286,2021-01-12 22:00:00+00:00,7.24,98.640564,7.04
287,2021-01-12 23:00:00+00:00,7.59,99.659546,7.54
288,2021-01-13 00:00:00+00:00,8.99,97.3344,8.59
289,2021-01-13 01:00:00+00:00,8.99,97.3344,8.59
290,2021-01-13 02:00:00+00:00,8.94,97.333336,8.54
291,2021-01-13 03:00:00+00:00,10.04,90.707184,8.59
292,2021-01-13 04:00:00+00:00,11.49,84.62519,8.99
293,2021-01-13 05:00:00+00:00,12.389999,79.21674,8.889999
294,2021-01-13 06:00:00+00:00,13.09,76.69549,9.09
295,2021-01-13 07:00:00+00:00,13.99,72.0898,9.04
296,2021-01-13 08:00:00+00:00,14.54,68.1751,8.74
297,2021-01-13 09:00:00+00:00,14.94,65.76927,8.59
298,2021-01-13 10:00:00+00:00,14.94,65.10482,8.44
299,2021-01-13 11:00:00+00:00,14.389999,66.54755,8.24
300,2021-01-13 12:00:00+00:00,12.24,74.00043,7.74
301,2021-01-13 13:00:00+00:00,11.09,79.83836,7.74
302,2021-01-13 14:00:00+00:00,9.99,85.908424,7.74
303,2021-01-13 15:00:00+00:00,9.389999,90.97016,7.99
304,2021-01-13 16:00:00+00:00,8.79,94.08153,7.8899994
305,2021-01-13 17:00:00+00:00,8.04,95.668465,7.3900003
306,2021-01-13 18:00:00+00:00,7.24,96.30075,6.6899996
307,2021-01-13 19:00:00+00:00,8.19,93.41306,7.1899996
308,2021-01-13 20:00:00+00:00,8.389999,92.787025,7.29
309,2021-01-13 21:00:00+00:00,7.8899994,95.6634,7.24
310,2021-01-13 22:00:00+00:00,6.4399996,99.31386,6.34
311,2021-01-13 23:00:00+00:00,5.79,99.310265,5.6899996
312,2021-01-14 00:00:00+00:00,6.6400003,98.63405,6.4399996
313,2021-01-14 01:00:00+00:00,6.84,97.96051,6.54
314,2021-01-14 02:00:00+00:00,6.59,97.95647,6.29
315,2021-01-14 03:00:00+00:00,7.74,96.64518,7.24
316,2021-01-14 04:00:00+00:00,10.19,90.10652,8.639999
317,2021-01-14 05:00:00+00:00,14.24,73.358406,9.54
318,2021-01-14 06:00:00+00:00,16.34,63.678185,9.44
