,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,-12.5685,61.106724,-18.518501
1,2021-01-01 01:00:00+00:00,-13.3185,61.168594,-19.2185
2,2021-01-01 02:00:00+00:00,-12.0685,56.97426,-18.8685
3,2021-01-01 03:00:00+00:00,-10.768499,54.50445,-18.1685
4,2021-01-01 04:00:00+00:00,-9.468499,63.730957,-15.0685
5,2021-01-01 05:00:00+00:00,-6.0685,64.822914,-11.6185
6,2021-01-01 06:00:00+00:00,-4.3185,64.72741,-9.968499
7,2021-01-01 07:00:00+00:00,-3.1685,67.32055,-8.3685
8,2021-01-01 08:00:00+00:00,-2.4685001,69.05872,-7.3685
9,2021-01-01 09:00:00+00:00,-1.9685,70.2355,-6.6685
10,2021-01-01 10:00:00+00:00,-2.2685,75.17948,-6.0685
11,2021-01-01 11:00:00+00:00,-4.7185,80.4491,-7.5685
12,2021-01-01 12:00:00+00:00,-3.0185,73.333626,-7.1185
13,2021-01-01 13:00:00+00:00,-3.6185,72.3734,-7.8685
14,2021-01-01 14:00:00+00:00,-5.4185,74.60461,-9.218499
15,2021-01-01 15:00:00+00:00,-5.4685,70.32316,-10.018499
16,2021-01-01 16:00:00+00:00,-6.0685,61.777832,-12.218499
17,2021-01-01 17:00:00+00:00,-6.6685,54.322834,-14.3685
18,2021-01-01 18:00:00+00:00,-6.8185,46.193,-16.4685
19,2021-01-01 19:00:00+00:00,-6.9185,39.839764,-18.3185
20,2021-01-01 20:00:00+00:00,-7.2685,38.069836,-19.1685
21,2021-01-01 21:00:00+00:00,-7.4185,35.804115,-20.018501
22,2021-01-01 22:00:00+00:00,-7.4185,34.291763,-20.518501
23,2021-01-01 23:00:00+00:00,-7.8185,35.21577,-20.5685
24,2021-01-02 00:00:00+00:00,-8.018499,34.999363,-20.8185
25,2021-01-02 01:00:00+00:00,-8.268499,37.912014,-20.1185
26,2021-01-02 02:00:00+00:00,-8.3685,39.376347,-19.768501
