,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,2.998,100.0,2.998
1,2021-01-01 01:00:00+00:00,2.5479999,99.645454,2.498
2,2021-01-01 02:00:00+00:00,2.648,100.0,2.648
3,2021-01-01 03:00:00+00:00,3.648,97.21922,3.248
4,2021-01-01 04:00:00+00:00,5.998,97.270775,5.598
5,2021-01-01 05:00:00+00:00,9.448,89.44036,7.798
6,2021-01-01 06:00:00+00:00,13.048,71.427444,7.998
7,2021-01-01 07:00:00+00:00,15.048,60.23051,7.398
8,2021-01-01 08:00:00+00:00,16.198,56.531075,7.548
9,2021-01-01 09:00:00+00:00,16.948,53.350594,7.398
10,2021-01-01 10:00:00+00:00,17.248,51.6363,7.198
11,2021-01-01 11:00:00+00:00,16.598,59.586197,8.698
12,2021-01-01 12:00:00+00:00,12.248,73.499344,7.648
13,2021-01-01 13:00:00+00:00,11.448,76.95376,7.548
14,2021-01-01 14:00:00+00:00,11.348,77.72925,7.598
15,2021-01-01 15:00:00+00:00,10.898,79.53919,7.498
16,2021-01-01 16:00:00+00:00,10.898,78.19237,7.248
17,2021-01-01 17:00:00+00:00,10.798,77.6437,7.048
18,2021-01-01 18:00:00+00:00,10.448,78.9314,6.948
19,2021-01-01 19:00:00+00:00,10.498,78.66879,6.948
20,2021-01-01 20:00:00+00:00,10.998,75.83541,6.898
21,2021-01-01 21:00:00+00:00,10.898,76.34066,6.898
22,2021-01-01 22:00:00+00:00,10.098,80.520836,6.898
23,2021-01-01 23:00:00+00:00,10.048,81.346146,6.998
24,2021-01-02 00:00:00+00:00,9.898,83.871086,7.298
25,2021-01-02 01:00:00+00:00,10.198,81.924675,7.248
26,2021-01-02 02:00:00+00:00,9.548,85.86251,7.298
27,2021-01-02 03:00:00+00:00,10.798,80.34313,7.548
28,2021-01-02 04:00:00+00:00,12.548,72.80608,7.798
29,2021-01-02 05:00:00+00:00,14.398,64.325516,7.748
30,2021-01-02 06:00:00+00:00,16.148,58.277782,7.948
31,2021-01-02 07:00:00+00:00,17.448,56.84596,8.798
32,2021-01-02 08:00:00+00:00,17.798,61.49712,10.298
33,2021-01-02 09:00:00+00:00,17.248,69.40887,11.598
34,2021-01-02 10:00:00+00:00,17.498,67.87137,11.498
35,2021-01-02 11:00:00+00:00,17.248,69.40887,11.598
36,2021-01-02 12:00:00+00:00,16.448,64.99699,9.848
37,2021-01-02 13:00:00+00:00,15.398,68.81053,9.698
38,2021-01-02 14:00:00+00:00,15.048,69.43643,9.498
39,2021-01-02 15:00:00+00:00,14.448,72.904915,9.648
40,2021-01-02 16:00:00+00:00,14.048,76.33579,9.948
41,2021-01-02 17:00:00+00:00,13.898,80.7687,10.648
42,2021-01-02 18:00:00+00:00,13.348,87.69075,11.348
43,2021-01-02 19:00:00+00:00,13.148,90.62173,11.648
44,2021-01-02 20:00:00+00:00,12.948,91.813324,11.648
45,2021-01-02 21:00:00+00:00,13.048,91.819466,11.748
46,2021-01-02 22:00:00+00:00,12.798,91.50106,11.448
47,2021-01-02 23:00:00+00:00,12.498,91.48193,11.148
48,2021-01-03 00:00:00+00:00,12.398,91.77945,11.098
49,2021-01-03 01:00:00+00:00,12.098,92.066345,10.848
50,2021-01-03 02:00:00+00:00,12.348,91.1692,10.948
51,2021-01-03 03:00:00+00:00,13.348,88.85846,11.548
52,2021-01-03 04:00:00+00:00,14.948,86.12618,12.648
53,2021-01-03 05:00:00+00:00,15.948,83.73548,13.198
54,2021-01-03 06:00:00+00:00,17.798,74.95412,13.298
55,2021-01-03 07:00:00+00:00,20.048,65.55857,13.398
56,2021-01-03 08:00:00+00:00,20.798,64.452034,13.848
57,2021-01-03 09:00:00+00:00,20.998,64.49552,14.048
58,2021-01-03 10:00:00+00:00,20.698,66.33817,14.198
59,2021-01-03 11:00:00+00:00,19.898,71.0639,14.498
60,2021-01-03 12:00:00+00:00,17.748,77.929344,13.848
61,2021-01-03 13:00:00+00:00,17.248,82.539696,14.248
62,2021-01-03 14:00:00+00:00,16.998,84.67342,14.398
63,2021-01-03 15:00:00+00:00,16.148,89.3735,14.398
64,2021-01-03 16:00:00+00:00,15.448,92.86197,14.298
65,2021-01-03 17:00:00+00:00,15.198,93.14992,14.098
66,2021-01-03 18:00:00+00:00,14.898,93.13451,13.798
67,2021-01-03 19:00:00+00:00,14.648,93.42499,13.598
68,2021-01-03 20:00:00+00:00,14.248,93.71031,13.248
69,2021-01-03 21:00:00+00:00,14.298,93.40765,13.248
70,2021-01-03 22:00:00+00:00,14.398,94.02309,13.448
71,2021-01-03 23:00:00+00:00,14.398,94.63708,13.548
72,2021-01-04 00:00:00+00:00,14.048,96.49083,13.498
73,2021-01-04 01:00:00+00:00,13.498,98.06405,13.198
74,2021-01-04 02:00:00+00:00,13.048,98.37876,12.798
75,2021-01-04 03:00:00+00:00,14.148,95.24555,13.398
76,2021-01-04 04:00:00+00:00,15.448,91.075264,13.998
77,2021-01-04 05:00:00+00:00,16.898,87.72205,14.848
78,2021-01-04 06:00:00+00:00,18.298,83.466805,15.448
79,2021-01-04 07:00:00+00:00,19.798,77.73574,15.798
80,2021-01-04 08:00:00+00:00,21.348,69.75386,15.598
81,2021-01-04 09:00:00+00:00,22.198,64.75482,15.248
82,2021-01-04 10:00:00+00:00,21.648,66.75007,15.198
83,2021-01-04 11:00:00+00:00,20.098,77.28594,15.997999
84,2021-01-04 12:00:00+00:00,18.498,84.29505,15.798
85,2021-01-04 13:00:00+00:00,17.698,91.51312,16.298
86,2021-01-04 14:00:00+00:00,16.848,94.132095,15.898
87,2021-01-04 15:00:00+00:00,16.748,93.527565,15.698
88,2021-01-04 16:00:00+00:00,16.548,92.326,15.298
89,2021-01-04 17:00:00+00:00,16.248,92.308914,14.998
90,2021-01-04 18:00:00+00:00,15.997999,92.59251,14.798
91,2021-01-04 19:00:00+00:00,15.698,92.57593,14.498
92,2021-01-04 20:00:00+00:00,15.548,91.97076,14.248
93,2021-01-04 21:00:00+00:00,15.398,91.66435,14.048
94,2021-01-04 22:00:00+00:00,14.998,91.63952,13.648
95,2021-01-04 23:00:00+00:00,14.898,91.335625,13.498
96,2021-01-05 00:00:00+00:00,15.098,89.29141,13.348
97,2021-01-05 01:00:00+00:00,14.248,92.1934,12.998
98,2021-01-05 02:00:00+00:00,15.448,86.45776,13.198
99,2021-01-05 03:00:00+00:00,15.698,87.04693,13.548
100,2021-01-05 04:00:00+00:00,16.548,86.84504,14.348
101,2021-01-05 05:00:00+00:00,17.848,81.81815,14.698
102,2021-01-05 06:00:00+00:00,18.948,77.60761,14.948
103,2021-01-05 07:00:00+00:00,19.748,75.76181,15.348
104,2021-01-05 08:00:00+00:00,20.598,73.51321,15.698
105,2021-01-05 09:00:00+00:00,20.998,70.586464,15.448
106,2021-01-05 10:00:00+00:00,21.098,68.59554,15.098
107,2021-01-05 11:00:00+00:00,20.198,76.80947,15.997999
108,2021-01-05 12:00:00+00:00,18.648,82.70985,15.648
109,2021-01-05 13:00:00+00:00,17.998,85.32706,15.498
110,2021-01-05 14:00:00+00:00,17.648,85.8401,15.248
111,2021-01-05 15:00:00+00:00,17.498,86.656044,15.248
112,2021-01-05 16:00:00+00:00,17.148,88.878746,15.298
113,2021-01-05 17:00:00+00:00,16.948,90.01154,15.298
114,2021-01-05 18:00:00+00:00,16.848,91.16706,15.398
115,2021-01-05 19:00:00+00:00,16.648,93.52272,15.598
116,2021-01-05 20:00:00+00:00,16.748,94.42904,15.848
117,2021-01-05 21:00:00+00:00,16.398,95.631325,15.698
118,2021-01-05 22:00:00+00:00,15.948,95.61647,15.248
119,2021-01-05 23:00:00+00:00,15.848,95.9208,15.198
120,2021-01-06 00:00:00+00:00,15.498,94.98727,14.698
121,2021-01-06 01:00:00+00:00,15.148,96.20919,14.548
122,2021-01-06 02:00:00+00:00,14.948,94.96639,14.148
123,2021-01-06 03:00:00+00:00,15.898,92.88591,14.748
124,2021-01-06 04:00:00+00:00,17.198,89.74184,15.498
125,2021-01-06 05:00:00+00:00,18.548,84.57033,15.898
126,2021-01-06 06:00:00+00:00,19.698,77.22481,15.598
127,2021-01-06 07:00:00+00:00,20.598,71.19411,15.198
128,2021-01-06 08:00:00+00:00,21.248,67.31446,14.948
129,2021-01-06 09:00:00+00:00,20.998,68.1358,14.898
130,2021-01-06 10:00:00+00:00,20.748,70.766235,15.248
131,2021-01-06 11:00:00+00:00,20.648,72.819435,15.598
132,2021-01-06 12:00:00+00:00,17.998,85.875404,15.598
133,2021-01-06 13:00:00+00:00,16.448,92.32032,15.198
134,2021-01-06 14:00:00+00:00,15.798,94.08572,14.848
135,2021-01-06 15:00:00+00:00,15.448,94.374374,14.548
136,2021-01-06 16:00:00+00:00,15.048,94.970184,14.248
137,2021-01-06 17:00:00+00:00,14.848,95.270744,14.098
138,2021-01-06 18:00:00+00:00,14.548,96.50423,13.998
139,2021-01-06 19:00:00+00:00,14.048,97.43696,13.648
140,2021-01-06 20:00:00+00:00,13.648,98.0663,13.348
141,2021-01-06 21:00:00+00:00,13.248,99.02596,13.098
142,2021-01-06 22:00:00+00:00,12.998,99.348434,12.898
143,2021-01-06 23:00:00+00:00,13.198,99.34946,13.098
144,2021-01-07 00:00:00+00:00,12.698,99.34692,12.598
145,2021-01-07 01:00:00+00:00,12.648,99.02142,12.498
146,2021-01-07 02:00:00+00:00,12.298,100.0,12.298
147,2021-01-07 03:00:00+00:00,13.598,96.79428,13.098
148,2021-01-07 04:00:00+00:00,14.598,92.51468,13.398
149,2021-01-07 05:00:00+00:00,15.848,85.93584,13.498
150,2021-01-07 06:00:00+00:00,17.098,79.62663,13.548
151,2021-01-07 07:00:00+00:00,18.298,70.53219,12.848
152,2021-01-07 08:00:00+00:00,19.048,64.27978,12.148
153,2021-01-07 09:00:00+00:00,19.348,62.059742,11.898
154,2021-01-07 10:00:00+00:00,19.398,61.460434,11.798
155,2021-01-07 11:00:00+00:00,18.748,65.71079,12.198
156,2021-01-07 12:00:00+00:00,15.848,80.236404,12.448
157,2021-01-07 13:00:00+00:00,13.948,85.45906,11.548
158,2021-01-07 14:00:00+00:00,12.848,84.77561,10.348
159,2021-01-07 15:00:00+00:00,12.498,81.395226,9.398
