,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,11.146,47.68429,0.446
1,2021-01-01 01:00:00+00:00,10.796,47.241093,-0.0040000007
2,2021-01-01 02:00:00+00:00,10.396,48.692455,0.046000004
3,2021-01-01 03:00:00+00:00,11.546,48.143063,0.946
4,2021-01-01 04:00:00+00:00,13.896,44.501247,1.9959999
5,2021-01-01 05:00:00+00:00,16.796,41.821434,3.7459998
6,2021-01-01 06:00:00+00:00,19.646,40.208786,5.746
7,2021-01-01 07:00:00+00:00,21.946,40.450077,7.896
8,2021-01-01 08:00:00+00:00,23.346,41.399334,9.496
9,2021-01-01 09:00:00+00:00,24.096,41.057766,10.046
10,2021-01-01 10:00:00+00:00,24.296,39.62836,9.696
11,2021-01-01 11:00:00+00:00,23.996,39.6767,9.446
12,2021-01-01 12:00:00+00:00,21.146,57.194927,12.346
13,2021-01-01 13:00:00+00:00,17.996,56.791775,9.296
14,2021-01-01 14:00:00+00:00,17.046,56.937542,8.446
15,2021-01-01 15:00:00+00:00,15.896,60.638863,8.296
16,2021-01-01 16:00:00+00:00,14.846,65.084206,8.346
17,2021-01-01 17:00:00+00:00,14.596,65.25041,8.146
18,2021-01-01 18:00:00+00:00,13.496,69.126335,7.946
19,2021-01-01 19:00:00+00:00,13.396,66.334785,7.246
20,2021-01-01 20:00:00+00:00,13.196,63.179996,6.3459997
21,2021-01-01 21:00:00+00:00,12.846,59.0773,5.046
22,2021-01-01 22:00:00+00:00,12.246,55.908623,3.6959999
23,2021-01-01 23:00:00+00:00,11.696,52.690506,2.346
24,2021-01-02 00:00:00+00:00,11.646,51.196198,1.896
25,2021-01-02 01:00:00+00:00,10.946,52.29986,1.546
26,2021-01-02 02:00:00+00:00,10.496,53.504433,1.446
27,2021-01-02 03:00:00+00:00,11.996,51.109856,2.1959999
28,2021-01-02 04:00:00+00:00,14.596,44.38584,2.596
29,2021-01-02 05:00:00+00:00,17.046,39.879185,3.296
30,2021-01-02 06:00:00+00:00,19.396,36.788235,4.246
31,2021-01-02 07:00:00+00:00,21.346,35.461407,5.446
32,2021-01-02 08:00:00+00:00,22.746,34.294235,6.196
33,2021-01-02 09:00:00+00:00,23.446,32.98621,6.246
34,2021-01-02 10:00:00+00:00,23.546,31.674934,5.746
35,2021-01-02 11:00:00+00:00,23.046,31.974287,5.446
36,2021-01-02 12:00:00+00:00,20.246,44.142452,7.646
37,2021-01-02 13:00:00+00:00,17.296,43.76222,4.8459997
38,2021-01-02 14:00:00+00:00,15.846,47.15703,4.5959997
39,2021-01-02 15:00:00+00:00,15.346,47.34756,4.196
40,2021-01-02 16:00:00+00:00,14.446,48.78316,3.796
41,2021-01-02 17:00:00+00:00,14.346,46.73507,3.096
42,2021-01-02 18:00:00+00:00,14.096,52.04509,4.396
43,2021-01-02 19:00:00+00:00,13.446,61.732025,6.246
44,2021-01-02 20:00:00+00:00,12.746,70.403366,7.496
45,2021-01-02 21:00:00+00:00,12.196,76.03372,8.096
46,2021-01-02 22:00:00+00:00,11.646,79.646774,8.246
47,2021-01-02 23:00:00+00:00,11.096,82.5993,8.246
48,2021-01-03 00:00:00+00:00,10.646,88.93279,8.896
49,2021-01-03 01:00:00+00:00,10.046,91.63218,8.746
50,2021-01-03 02:00:00+00:00,9.796,92.864265,8.696
51,2021-01-03 03:00:00+00:00,11.246,86.91184,9.146
52,2021-01-03 04:00:00+00:00,13.746,76.54318,9.696
53,2021-01-03 05:00:00+00:00,16.246,67.61419,10.246
54,2021-01-03 06:00:00+00:00,18.546,60.052887,10.646
55,2021-01-03 07:00:00+00:00,20.446,53.542175,10.696
56,2021-01-03 08:00:00+00:00,21.746,46.395733,9.746
57,2021-01-03 09:00:00+00:00,22.446,40.867813,8.496
58,2021-01-03 10:00:00+00:00,22.646,38.239223,7.696
59,2021-01-03 11:00:00+00:00,22.396,37.265488,7.0959997
60,2021-01-03 12:00:00+00:00,19.896,54.66147,10.496
61,2021-01-03 13:00:00+00:00,16.696,54.574184,7.496
62,2021-01-03 14:00:00+00:00,15.396,57.10567,6.946
63,2021-01-03 15:00:00+00:00,14.646,58.104576,6.496
64,2021-01-03 16:00:00+00:00,13.996,59.976727,6.3459997
65,2021-01-03 17:00:00+00:00,13.546,61.331524,6.246
66,2021-01-03 18:00:00+00:00,12.746,64.1749,6.146
67,2021-01-03 19:00:00+00:00,11.696,69.23708,6.246
68,2021-01-03 20:00:00+00:00,11.246,69.86681,5.946
69,2021-01-03 21:00:00+00:00,11.446,67.06543,5.546
70,2021-01-03 22:00:00+00:00,11.646,68.27802,5.996
71,2021-01-03 23:00:00+00:00,11.696,70.925385,6.5959997
72,2021-01-04 00:00:00+00:00,11.946,79.68969,8.546
73,2021-01-04 01:00:00+00:00,11.696,84.36361,9.146
74,2021-01-04 02:00:00+00:00,11.296,88.98624,9.546
75,2021-01-04 03:00:00+00:00,12.596,83.62144,9.896
76,2021-01-04 04:00:00+00:00,15.096,72.7783,10.246
77,2021-01-04 05:00:00+00:00,17.696,63.55698,10.696
78,2021-01-04 06:00:00+00:00,19.996,55.974686,10.946
79,2021-01-04 07:00:00+00:00,21.846,49.626205,10.846
80,2021-01-04 08:00:00+00:00,23.046,44.923676,10.446
81,2021-01-04 09:00:00+00:00,23.696,42.19788,10.096
82,2021-01-04 10:00:00+00:00,23.946,40.33407,9.646
83,2021-01-04 11:00:00+00:00,23.646,40.249386,9.346
84,2021-01-04 12:00:00+00:00,21.146,55.893425,11.996
85,2021-01-04 13:00:00+00:00,17.996,58.338287,9.696
86,2021-01-04 14:00:00+00:00,16.846,61.069077,9.296
87,2021-01-04 15:00:00+00:00,15.746,65.501076,9.296
88,2021-01-04 16:00:00+00:00,14.996,68.26846,9.196
89,2021-01-04 17:00:00+00:00,14.296,70.228645,8.946
90,2021-01-04 18:00:00+00:00,14.146,67.4049,8.196
91,2021-01-04 19:00:00+00:00,13.996,68.52654,8.296
92,2021-01-04 20:00:00+00:00,13.846,70.37852,8.546
93,2021-01-04 21:00:00+00:00,13.446,71.74537,8.446
94,2021-01-04 22:00:00+00:00,12.896,75.12601,8.596
95,2021-01-04 23:00:00+00:00,12.296,79.73962,8.896
96,2021-01-05 00:00:00+00:00,12.396,90.870224,10.946
97,2021-01-05 01:00:00+00:00,12.496,92.09009,11.246
98,2021-01-05 02:00:00+00:00,12.296,93.616745,11.296
99,2021-01-05 03:00:00+00:00,13.746,88.891075,11.946
100,2021-01-05 04:00:00+00:00,16.246,78.470955,12.496
101,2021-01-05 05:00:00+00:00,18.596,68.992485,12.796
102,2021-01-05 06:00:00+00:00,20.646,61.949776,13.096
103,2021-01-05 07:00:00+00:00,22.296,51.418102,11.796
104,2021-01-05 08:00:00+00:00,23.246,43.358753,10.096
105,2021-01-05 09:00:00+00:00,23.596,38.12053,8.496
106,2021-01-05 10:00:00+00:00,23.546,34.640656,7.046
107,2021-01-05 11:00:00+00:00,23.196,33.372643,6.196
108,2021-01-05 12:00:00+00:00,19.996,59.40933,11.846
109,2021-01-05 13:00:00+00:00,16.846,58.449574,8.646
110,2021-01-05 14:00:00+00:00,17.346,59.365814,9.346
111,2021-01-05 15:00:00+00:00,16.896,60.875774,9.296
112,2021-01-05 16:00:00+00:00,15.796,62.49135,8.646
113,2021-01-05 17:00:00+00:00,14.246,68.11473,8.446
114,2021-01-05 18:00:00+00:00,13.396,71.493324,8.346
115,2021-01-05 19:00:00+00:00,13.296,71.47442,8.246
116,2021-01-05 20:00:00+00:00,12.796,74.0981,8.296
117,2021-01-05 21:00:00+00:00,12.796,76.90758,8.846
118,2021-01-05 22:00:00+00:00,12.646,82.79147,9.796
119,2021-01-05 23:00:00+00:00,12.296,87.88808,10.346
120,2021-01-06 00:00:00+00:00,12.746,93.022385,11.646
121,2021-01-06 01:00:00+00:00,12.496,93.936386,11.546
122,2021-01-06 02:00:00+00:00,12.246,94.54864,11.396
123,2021-01-06 03:00:00+00:00,13.196,92.13161,11.946
