,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,16.563,97.4858,16.163
1,2021-01-01 01:00:00+00:00,17.413,89.75792,15.712999
2,2021-01-01 02:00:00+00:00,18.163,82.917076,15.212999
3,2021-01-01 03:00:00+00:00,19.363,75.21378,14.863
4,2021-01-01 04:00:00+00:00,21.013,66.189835,14.462999
5,2021-01-01 05:00:00+00:00,22.813,57.416218,13.962999
6,2021-01-01 06:00:00+00:00,24.513,49.8464,13.363
7,2021-01-01 07:00:00+00:00,26.063,40.92838,11.763
8,2021-01-01 08:00:00+00:00,26.963001,34.78518,10.113
9,2021-01-01 09:00:00+00:00,27.313,33.0665,9.662999
10,2021-01-01 10:00:00+00:00,27.113,34.48011,10.113
11,2021-01-01 11:00:00+00:00,26.363,38.773293,11.212999
12,2021-01-01 12:00:00+00:00,24.913,45.438072,12.313
13,2021-01-01 13:00:00+00:00,23.213001,50.985928,12.513
14,2021-01-01 14:00:00+00:00,22.013,55.198994,12.613
15,2021-01-01 15:00:00+00:00,21.313,58.181328,12.763
16,2021-01-01 16:00:00+00:00,20.863,60.40119,12.912999
17,2021-01-01 17:00:00+00:00,20.363,62.29121,12.912999
18,2021-01-01 18:00:00+00:00,19.463001,67.38554,13.263
19,2021-01-01 19:00:00+00:00,18.063,74.99836,13.563
20,2021-01-01 20:00:00+00:00,17.313,79.65678,13.763
21,2021-01-01 21:00:00+00:00,16.663,83.81769,13.912999
22,2021-01-01 22:00:00+00:00,16.013,88.213165,14.063
23,2021-01-01 23:00:00+00:00,15.363,92.258095,14.113
24,2021-01-02 00:00:00+00:00,15.063,95.27843,14.313
25,2021-01-02 01:00:00+00:00,14.462999,96.50195,13.912999
26,2021-01-02 02:00:00+00:00,15.513,92.26673,14.263
27,2021-01-02 03:00:00+00:00,18.013,75.97171,13.712999
28,2021-01-02 04:00:00+00:00,20.713001,59.190697,12.462999
29,2021-01-02 05:00:00+00:00,23.013,49.93809,12.013
30,2021-01-02 06:00:00+00:00,24.813,45.56014,12.263
31,2021-01-02 07:00:00+00:00,26.113,43.153408,12.613
32,2021-01-02 08:00:00+00:00,27.363,40.75422,12.863
33,2021-01-02 09:00:00+00:00,29.613,33.4872,11.863
34,2021-01-02 10:00:00+00:00,27.963001,40.655273,13.363
35,2021-01-02 11:00:00+00:00,27.463001,41.997173,13.412999
36,2021-01-02 12:00:00+00:00,25.013,54.181213,15.113
37,2021-01-02 13:00:00+00:00,22.613,68.2398,16.463001
38,2021-01-02 14:00:00+00:00,21.763,76.084,17.363
39,2021-01-02 15:00:00+00:00,20.963001,82.20653,17.813
40,2021-01-02 16:00:00+00:00,20.413,85.575676,17.913
41,2021-01-02 17:00:00+00:00,19.813,88.81143,17.913
42,2021-01-02 18:00:00+00:00,19.263,92.47831,18.013
43,2021-01-02 19:00:00+00:00,18.813,95.110435,18.013
44,2021-01-02 20:00:00+00:00,18.563,96.00341,17.913
45,2021-01-02 21:00:00+00:00,18.363,96.60388,17.813
46,2021-01-02 22:00:00+00:00,18.013,97.82115,17.663
47,2021-01-02 23:00:00+00:00,18.013,97.82115,17.663
48,2021-01-03 00:00:00+00:00,18.613,93.02785,17.463001
49,2021-01-03 01:00:00+00:00,18.813,91.582275,17.413
