,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,17.58,90.634384,16.029999
1,2021-01-01 01:00:00+00:00,16.88,95.03917,16.08
2,2021-01-01 02:00:00+00:00,17.679998,91.511986,16.279999
3,2021-01-01 03:00:00+00:00,19.23,79.41287,15.58
4,2021-01-01 04:00:00+00:00,20.83,67.44635,14.58
5,2021-01-01 05:00:00+00:00,22.63,54.45803,12.9800005
6,2021-01-01 06:00:00+00:00,24.23,46.45996,12.03
7,2021-01-01 07:00:00+00:00,25.33,43.362972,11.9800005
8,2021-01-01 08:00:00+00:00,25.929998,43.671856,12.63
9,2021-01-01 09:00:00+00:00,26.029999,43.69946,12.7300005
10,2021-01-01 10:00:00+00:00,25.779999,44.49667,12.78
11,2021-01-01 11:00:00+00:00,25.13,46.85783,12.9800005
12,2021-01-01 12:00:00+00:00,24.08,51.380733,13.43
13,2021-01-01 13:00:00+00:00,22.279999,57.66017,13.53
14,2021-01-01 14:00:00+00:00,22.48,55.497395,13.13
15,2021-01-01 15:00:00+00:00,21.429998,58.783222,13.03
16,2021-01-01 16:00:00+00:00,19.98,65.97248,13.43
17,2021-01-01 17:00:00+00:00,18.83,72.26011,13.7300005
18,2021-01-01 18:00:00+00:00,18.13,75.99058,13.83
19,2021-01-01 19:00:00+00:00,17.33,80.43852,13.93
20,2021-01-01 20:00:00+00:00,16.58,85.17815,14.08
21,2021-01-01 21:00:00+00:00,15.93,89.35653,14.18
22,2021-01-01 22:00:00+00:00,15.2300005,93.75661,14.2300005
23,2021-01-01 23:00:00+00:00,14.7300005,94.650505,13.88
24,2021-01-02 00:00:00+00:00,14.68,94.03579,13.7300005
25,2021-01-02 01:00:00+00:00,14.83,91.0343,13.38
26,2021-01-02 02:00:00+00:00,15.93,83.18861,13.08
27,2021-01-02 03:00:00+00:00,18.33,70.07827,12.78
28,2021-01-02 04:00:00+00:00,20.83,60.988514,13.03
29,2021-01-02 05:00:00+00:00,22.98,55.985195,13.7300005
30,2021-01-02 06:00:00+00:00,25.029999,51.963108,14.4800005
31,2021-01-02 07:00:00+00:00,27.23,45.478123,14.43
32,2021-01-02 08:00:00+00:00,27.58,44.55539,14.43
33,2021-01-02 09:00:00+00:00,27.029999,47.676243,14.9800005
34,2021-01-02 10:00:00+00:00,26.779999,48.537926,15.03
35,2021-01-02 11:00:00+00:00,25.88,52.35029,15.38
36,2021-01-02 12:00:00+00:00,23.33,67.09483,16.88
37,2021-01-02 13:00:00+00:00,22.179998,73.552414,17.23
38,2021-01-02 14:00:00+00:00,21.73,75.838745,17.279999
39,2021-01-02 15:00:00+00:00,21.13,78.92634,17.33
40,2021-01-02 16:00:00+00:00,20.179998,83.683205,17.33
41,2021-01-02 17:00:00+00:00,19.98,85.531555,17.48
42,2021-01-02 18:00:00+00:00,19.429998,89.90702,17.73
43,2021-01-02 19:00:00+00:00,18.63,94.50678,17.73
44,2021-01-02 20:00:00+00:00,18.08,96.59663,17.529999
45,2021-01-02 21:00:00+00:00,17.73,97.20034,17.279999
46,2021-01-02 22:00:00+00:00,18.23,95.38971,17.48
47,2021-01-02 23:00:00+00:00,18.679998,91.863914,17.33
48,2021-01-03 00:00:00+00:00,18.929998,89.87035,17.23
49,2021-01-03 01:00:00+00:00,19.08,88.471886,17.13
50,2021-01-03 02:00:00+00:00,19.33,87.10492,17.13
51,2021-01-03 03:00:00+00:00,19.98,83.6604,17.13
52,2021-01-03 04:00:00+00:00,21.98,74.69011,17.279999
53,2021-01-03 05:00:00+00:00,24.38,64.80926,17.33
