,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,22.73,80.898315,19.279999
1,2021-01-01 01:00:00+00:00,22.63,76.70041,18.33
2,2021-01-01 02:00:00+00:00,22.88,75.30997,18.279999
3,2021-01-01 03:00:00+00:00,24.98,70.88078,19.33
4,2021-01-01 04:00:00+00:00,27.73,65.71551,20.73
5,2021-01-01 05:00:00+00:00,29.33,61.75213,21.23
6,2021-01-01 06:00:00+00:00,30.23,58.635014,21.23
7,2021-01-01 07:00:00+00:00,30.529999,57.107594,21.08
8,2021-01-01 08:00:00+00:00,30.679998,54.735516,20.529999
9,2021-01-01 09:00:00+00:00,30.529999,58.34655,21.429998
10,2021-01-01 10:00:00+00:00,29.83,63.77841,22.23
11,2021-01-01 11:00:00+00:00,28.98,68.42552,22.58
12,2021-01-01 12:00:00+00:00,28.529999,70.02157,22.529999
13,2021-01-01 13:00:00+00:00,27.38,76.486305,22.88
14,2021-01-01 14:00:00+00:00,27.279999,77.40312,22.98
15,2021-01-01 15:00:00+00:00,25.779999,85.58805,23.179998
16,2021-01-01 16:00:00+00:00,24.679998,87.85042,22.529999
17,2021-01-01 17:00:00+00:00,24.23,84.652,21.48
18,2021-01-01 18:00:00+00:00,24.029999,79.08891,20.179998
19,2021-01-01 19:00:00+00:00,23.179998,82.47572,20.029999
20,2021-01-01 20:00:00+00:00,22.63,86.59778,20.279999
21,2021-01-01 21:00:00+00:00,22.529999,89.30164,20.679998
22,2021-01-01 22:00:00+00:00,22.279999,78.34929,18.33
23,2021-01-01 23:00:00+00:00,22.029999,63.891182,14.88
24,2021-01-02 00:00:00+00:00,21.929998,59.28743,13.63
25,2021-01-02 01:00:00+00:00,21.88,60.246384,13.83
26,2021-01-02 02:00:00+00:00,22.08,63.084118,14.7300005
27,2021-01-02 03:00:00+00:00,24.08,59.794422,15.78
28,2021-01-02 04:00:00+00:00,26.679998,52.723198,16.23
29,2021-01-02 05:00:00+00:00,29.23,44.008812,15.7300005
30,2021-01-02 06:00:00+00:00,31.279999,36.575382,14.68
31,2021-01-02 07:00:00+00:00,32.18,34.30885,14.4800005
32,2021-01-02 08:00:00+00:00,31.279999,45.2704,18.029999
33,2021-01-02 09:00:00+00:00,30.83,44.583244,17.38
34,2021-01-02 10:00:00+00:00,30.73,40.763165,15.88
35,2021-01-02 11:00:00+00:00,29.73,52.33971,18.929998
36,2021-01-02 12:00:00+00:00,28.48,60.619183,20.13
37,2021-01-02 13:00:00+00:00,27.179998,64.79489,19.98
38,2021-01-02 14:00:00+00:00,26.529999,66.079155,19.679998
39,2021-01-02 15:00:00+00:00,25.779999,72.57972,20.48
40,2021-01-02 16:00:00+00:00,24.58,76.05257,20.08
41,2021-01-02 17:00:00+00:00,24.38,72.785645,19.179998
42,2021-01-02 18:00:00+00:00,24.58,66.92613,18.029999
43,2021-01-02 19:00:00+00:00,24.029999,72.045845,18.679998
44,2021-01-02 20:00:00+00:00,23.58,75.423035,18.98
45,2021-01-02 21:00:00+00:00,23.13,76.53796,18.779999
46,2021-01-02 22:00:00+00:00,22.779999,77.20542,18.58
47,2021-01-02 23:00:00+00:00,22.38,79.35119,18.63
48,2021-01-03 00:00:00+00:00,22.33,81.86145,19.08
49,2021-01-03 01:00:00+00:00,22.23,81.33973,18.88
50,2021-01-03 02:00:00+00:00,22.679998,79.39292,18.929998
51,2021-01-03 03:00:00+00:00,24.98,71.32305,19.429998
52,2021-01-03 04:00:00+00:00,27.63,62.71982,19.88
53,2021-01-03 05:00:00+00:00,29.429998,57.020905,20.029999
54,2021-01-03 06:00:00+00:00,30.779999,52.442444,19.929998
55,2021-01-03 07:00:00+00:00,30.929998,54.460556,20.679998
56,2021-01-03 08:00:00+00:00,30.179998,55.979385,20.429998
57,2021-01-03 09:00:00+00:00,30.179998,55.292233,20.23
58,2021-01-03 10:00:00+00:00,29.83,57.82525,20.63
59,2021-01-03 11:00:00+00:00,29.179998,58.93316,20.33
60,2021-01-03 12:00:00+00:00,28.529999,63.49976,20.929998
61,2021-01-03 13:00:00+00:00,27.23,71.72802,21.679998
62,2021-01-03 14:00:00+00:00,26.63,76.837715,22.23
63,2021-01-03 15:00:00+00:00,25.98,83.5631,22.98
64,2021-01-03 16:00:00+00:00,26.08,79.61493,22.279999
65,2021-01-03 17:00:00+00:00,25.83,78.376076,21.779999
