,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,16.611,86.57077,14.361
1,2021-01-01 01:00:00+00:00,16.011,90.81868,14.511001
2,2021-01-01 02:00:00+00:00,16.061,89.65614,14.361
3,2021-01-01 03:00:00+00:00,18.211,78.50464,14.411
4,2021-01-01 04:00:00+00:00,21.211,66.01799,14.611
5,2021-01-01 05:00:00+00:00,23.861,57.300808,14.911
6,2021-01-01 06:00:00+00:00,25.961,51.869667,15.311001
7,2021-01-01 07:00:00+00:00,27.361,48.84829,15.661
8,2021-01-01 08:00:00+00:00,28.411001,46.53634,15.861
9,2021-01-01 09:00:00+00:00,29.011,45.522285,16.061
10,2021-01-01 10:00:00+00:00,29.061,45.53577,16.111
11,2021-01-01 11:00:00+00:00,28.961,45.94637,16.161001
12,2021-01-01 12:00:00+00:00,27.061,65.374344,20.011
13,2021-01-01 13:00:00+00:00,24.111,67.89174,17.811
14,2021-01-01 14:00:00+00:00,23.361,70.13734,17.611
15,2021-01-01 15:00:00+00:00,22.661001,71.79969,17.311
16,2021-01-01 16:00:00+00:00,21.811,73.956154,16.961
17,2021-01-01 17:00:00+00:00,21.161001,77.20244,17.011
18,2021-01-01 18:00:00+00:00,20.861,76.91209,16.661001
19,2021-01-01 19:00:00+00:00,20.361,76.34626,16.061
20,2021-01-01 20:00:00+00:00,19.461,74.506836,14.811001
21,2021-01-01 21:00:00+00:00,18.961,71.81601,13.761001
22,2021-01-01 22:00:00+00:00,18.411001,71.48133,13.161
23,2021-01-01 23:00:00+00:00,17.861,72.557106,12.861
24,2021-01-02 00:00:00+00:00,17.461,74.65329,12.911
25,2021-01-02 01:00:00+00:00,17.161001,74.60249,12.611
26,2021-01-02 02:00:00+00:00,16.861,73.820114,12.161
27,2021-01-02 03:00:00+00:00,18.311,65.40116,11.711
28,2021-01-02 04:00:00+00:00,20.111,57.88869,11.561001
29,2021-01-02 05:00:00+00:00,22.211,52.59521,12.061001
30,2021-01-02 06:00:00+00:00,24.511,47.93037,12.761001
31,2021-01-02 07:00:00+00:00,26.061,45.60306,13.411
