,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,18.25,93.0091,17.1
1,2021-01-01 01:00:00+00:00,17.8,94.47269,16.9
2,2021-01-01 02:00:00+00:00,17.85,94.175804,16.9
3,2021-01-01 03:00:00+00:00,20.55,81.8967,17.35
4,2021-01-01 04:00:00+00:00,23.9,69.14386,17.9
5,2021-01-01 05:00:00+00:00,26.15,60.655315,17.95
6,2021-01-01 06:00:00+00:00,27.5,58.174484,18.55
7,2021-01-01 07:00:00+00:00,28.05,57.58164,18.9
8,2021-01-01 08:00:00+00:00,27.75,57.509983,18.6
9,2021-01-01 09:00:00+00:00,27.35,57.95701,18.35
10,2021-01-01 10:00:00+00:00,26.85,59.310074,18.25
11,2021-01-01 11:00:00+00:00,26.2,61.82035,18.3
12,2021-01-01 12:00:00+00:00,24.85,68.895004,18.75
13,2021-01-01 13:00:00+00:00,23.55,75.418236,18.95
14,2021-01-01 14:00:00+00:00,23.5,74.706856,18.75
15,2021-01-01 15:00:00+00:00,22.8,79.906136,19.15
16,2021-01-01 16:00:00+00:00,22.9,76.50225,18.55
17,2021-01-01 17:00:00+00:00,23.2,74.42375,18.4
18,2021-01-01 18:00:00+00:00,23.1,75.11001,18.45
19,2021-01-01 19:00:00+00:00,22.45,79.36094,18.7
20,2021-01-01 20:00:00+00:00,23.0,76.517784,18.65
21,2021-01-01 21:00:00+00:00,21.25,87.27989,19.05
22,2021-01-01 22:00:00+00:00,20.95,90.017265,19.25
23,2021-01-01 23:00:00+00:00,20.9,91.70958,19.5
24,2021-01-02 00:00:00+00:00,20.45,95.76199,19.75
25,2021-01-02 01:00:00+00:00,20.05,96.04763,19.4
26,2021-01-02 02:00:00+00:00,20.1,95.45358,19.35
27,2021-01-02 03:00:00+00:00,21.85,86.2555,19.45
28,2021-01-02 04:00:00+00:00,23.5,78.76963,19.6
29,2021-01-02 05:00:00+00:00,24.5,71.90522,19.1
30,2021-01-02 06:00:00+00:00,25.3,63.1918,17.8
31,2021-01-02 07:00:00+00:00,26.25,58.983505,17.6
32,2021-01-02 08:00:00+00:00,26.2,58.971745,17.55
33,2021-01-02 09:00:00+00:00,25.85,59.827015,17.45
34,2021-01-02 10:00:00+00:00,25.6,59.3919,17.1
35,2021-01-02 11:00:00+00:00,25.15,59.664005,16.75
36,2021-01-02 12:00:00+00:00,24.4,61.609554,16.55
37,2021-01-02 13:00:00+00:00,23.1,65.781006,16.35
38,2021-01-02 14:00:00+00:00,22.7,65.90704,16.0
39,2021-01-02 15:00:00+00:00,22.3,67.74404,16.05
40,2021-01-02 16:00:00+00:00,22.0,67.900345,15.8
41,2021-01-02 17:00:00+00:00,21.7,68.27603,15.6
42,2021-01-02 18:00:00+00:00,21.3,69.96835,15.6
43,2021-01-02 19:00:00+00:00,20.8,71.91968,15.55
44,2021-01-02 20:00:00+00:00,20.6,73.74906,15.75
45,2021-01-02 21:00:00+00:00,20.2,79.54859,16.55
46,2021-01-02 22:00:00+00:00,20.5,77.10139,16.35
47,2021-01-02 23:00:00+00:00,20.5,73.02691,15.5
48,2021-01-03 00:00:00+00:00,19.9,70.378784,14.35
49,2021-01-03 01:00:00+00:00,19.35,63.506386,12.25
50,2021-01-03 02:00:00+00:00,18.95,57.22052,10.3
51,2021-01-03 03:00:00+00:00,19.7,52.28694,9.65
52,2021-01-03 04:00:00+00:00,21.25,48.1604,9.85
53,2021-01-03 05:00:00+00:00,23.1,45.692783,10.75
54,2021-01-03 06:00:00+00:00,24.85,45.420795,12.25
55,2021-01-03 07:00:00+00:00,26.2,45.05044,13.35
56,2021-01-03 08:00:00+00:00,26.95,44.383114,13.8
57,2021-01-03 09:00:00+00:00,26.05,47.259724,13.95
58,2021-01-03 10:00:00+00:00,25.1,52.656193,14.75
59,2021-01-03 11:00:00+00:00,24.3,55.77088,14.9
60,2021-01-03 12:00:00+00:00,23.2,58.07059,14.5
61,2021-01-03 13:00:00+00:00,22.55,56.426914,13.45
62,2021-01-03 14:00:00+00:00,22.15,52.062218,11.85
63,2021-01-03 15:00:00+00:00,21.6,48.41699,10.25
64,2021-01-03 16:00:00+00:00,20.95,47.277596,9.3
65,2021-01-03 17:00:00+00:00,20.5,46.99497,8.8
66,2021-01-03 18:00:00+00:00,19.9,48.935684,8.85
