,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,9.1,78.730034,5.6
1,2021-01-01 01:00:00+00:00,7.85,86.878845,5.8
2,2021-01-01 02:00:00+00:00,9.4,78.775085,5.9
3,2021-01-01 03:00:00+00:00,12.2,66.3048,6.1
4,2021-01-01 04:00:00+00:00,15.1,55.291645,6.2
5,2021-01-01 05:00:00+00:00,17.45,47.440247,6.15
6,2021-01-01 06:00:00+00:00,19.2,43.847603,6.6
7,2021-01-01 07:00:00+00:00,20.55,42.166374,7.25
8,2021-01-01 08:00:00+00:00,21.35,42.392815,8.05
9,2021-01-01 09:00:00+00:00,21.65,42.91133,8.5
10,2021-01-01 10:00:00+00:00,21.5,43.3069,8.5
11,2021-01-01 11:00:00+00:00,20.0,65.76221,13.4
12,2021-01-01 12:00:00+00:00,19.9,50.612385,9.35
13,2021-01-01 13:00:00+00:00,16.65,63.32167,9.65
14,2021-01-01 14:00:00+00:00,14.6,72.202545,9.65
15,2021-01-01 15:00:00+00:00,13.75,75.27003,9.45
16,2021-01-01 16:00:00+00:00,13.2,76.97172,9.25
17,2021-01-01 17:00:00+00:00,12.8,78.47987,9.15
18,2021-01-01 18:00:00+00:00,12.4,80.02371,9.05
19,2021-01-01 19:00:00+00:00,12.8,76.39052,8.75
20,2021-01-01 20:00:00+00:00,13.4,72.469086,8.55
21,2021-01-01 21:00:00+00:00,12.8,74.09881,8.3
22,2021-01-01 22:00:00+00:00,12.2,76.29297,8.15
23,2021-01-01 23:00:00+00:00,11.8,78.329384,8.15
24,2021-01-02 00:00:00+00:00,11.85,82.13719,8.9
25,2021-01-02 01:00:00+00:00,11.95,83.54519,9.25
26,2021-01-02 02:00:00+00:00,12.1,83.00291,9.3
27,2021-01-02 03:00:00+00:00,14.05,76.59195,10.0
28,2021-01-02 04:00:00+00:00,16.95,65.542145,10.45
29,2021-01-02 05:00:00+00:00,19.1,56.12266,10.15
30,2021-01-02 06:00:00+00:00,20.6,53.581997,10.85
31,2021-01-02 07:00:00+00:00,21.8,52.315193,11.6
32,2021-01-02 08:00:00+00:00,22.7,51.355106,12.15
33,2021-01-02 09:00:00+00:00,23.1,50.6226,12.3
