,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,19.734999,93.376945,18.635
1,2021-01-01 01:00:00+00:00,19.635,94.54762,18.734999
2,2021-01-01 02:00:00+00:00,20.734999,88.88527,18.835
3,2021-01-01 03:00:00+00:00,22.635,78.646194,18.734999
4,2021-01-01 04:00:00+00:00,24.585,69.92892,18.734999
5,2021-01-01 05:00:00+00:00,26.234999,60.67476,18.035
6,2021-01-01 06:00:00+00:00,27.535,53.954727,17.385
7,2021-01-01 07:00:00+00:00,28.585,49.171127,16.885
8,2021-01-01 08:00:00+00:00,29.085,46.420887,16.435
9,2021-01-01 09:00:00+00:00,29.135,44.407078,15.785001
10,2021-01-01 10:00:00+00:00,29.035,43.815083,15.485001
11,2021-01-01 11:00:00+00:00,26.635,59.633305,18.135
12,2021-01-01 12:00:00+00:00,24.635,67.99587,18.335
13,2021-01-01 13:00:00+00:00,23.535,69.07318,17.535
14,2021-01-01 14:00:00+00:00,22.885,72.52283,17.685
15,2021-01-01 15:00:00+00:00,21.935,80.29004,18.385
16,2021-01-01 16:00:00+00:00,21.234999,84.85902,18.585
17,2021-01-01 17:00:00+00:00,20.835,82.450134,17.734999
18,2021-01-01 18:00:00+00:00,20.135,86.90494,17.885
19,2021-01-01 19:00:00+00:00,19.734999,91.065865,18.234999
20,2021-01-01 20:00:00+00:00,19.585,92.78645,18.385
21,2021-01-01 21:00:00+00:00,19.435,93.65539,18.385
22,2021-01-01 22:00:00+00:00,19.335,94.239746,18.385
23,2021-01-01 23:00:00+00:00,19.285,94.53345,18.385
24,2021-01-02 00:00:00+00:00,19.385,96.02794,18.734999
25,2021-01-02 01:00:00+00:00,19.385,96.32851,18.785
26,2021-01-02 02:00:00+00:00,20.484999,92.5454,19.234999
27,2021-01-02 03:00:00+00:00,22.635,81.39125,19.285
28,2021-01-02 04:00:00+00:00,24.484999,68.824135,18.385
29,2021-01-02 05:00:00+00:00,26.035,61.011642,17.935
30,2021-01-02 06:00:00+00:00,27.385,55.470585,17.685
31,2021-01-02 07:00:00+00:00,28.484999,49.457542,16.885
32,2021-01-02 08:00:00+00:00,29.285,42.910347,15.385
33,2021-01-02 09:00:00+00:00,29.734999,39.077255,14.335
34,2021-01-02 10:00:00+00:00,29.585,38.909473,14.135
35,2021-01-02 11:00:00+00:00,28.435,45.366558,15.485001
36,2021-01-02 12:00:00+00:00,25.785,57.400208,16.734999
37,2021-01-02 13:00:00+00:00,23.734999,72.44552,18.484999
38,2021-01-02 14:00:00+00:00,22.635,75.03404,17.984999
39,2021-01-02 15:00:00+00:00,21.585,82.02525,18.385
40,2021-01-02 16:00:00+00:00,20.585,83.20326,17.635
41,2021-01-02 17:00:00+00:00,20.085,76.54696,15.835
42,2021-01-02 18:00:00+00:00,19.685,77.22283,15.585
43,2021-01-02 19:00:00+00:00,19.135,83.56357,16.285
44,2021-01-02 20:00:00+00:00,18.435,90.692795,16.885
45,2021-01-02 21:00:00+00:00,18.385,92.72241,17.185
46,2021-01-02 22:00:00+00:00,18.635,93.32295,17.535
47,2021-01-02 23:00:00+00:00,18.635,94.50698,17.734999
48,2021-01-03 00:00:00+00:00,19.135,94.824356,18.285
49,2021-01-03 01:00:00+00:00,19.185,95.72183,18.484999
50,2021-01-03 02:00:00+00:00,20.185,91.666306,18.785
51,2021-01-03 03:00:00+00:00,22.234999,82.87659,19.185
52,2021-01-03 04:00:00+00:00,24.285,73.911,19.335
53,2021-01-03 05:00:00+00:00,25.835,63.70693,18.435
54,2021-01-03 06:00:00+00:00,26.935,56.596764,17.585
55,2021-01-03 07:00:00+00:00,27.835,53.016964,17.385
56,2021-01-03 08:00:00+00:00,28.535,51.06033,17.435
57,2021-01-03 09:00:00+00:00,28.885,49.249886,17.185
58,2021-01-03 10:00:00+00:00,29.035,47.451447,16.734999
59,2021-01-03 11:00:00+00:00,27.234999,58.111652,18.285
60,2021-01-03 12:00:00+00:00,25.385,64.818954,18.285
61,2021-01-03 13:00:00+00:00,24.135,67.0465,17.635
62,2021-01-03 14:00:00+00:00,23.085,71.42475,17.635
63,2021-01-03 15:00:00+00:00,22.234999,76.1586,17.835
64,2021-01-03 16:00:00+00:00,21.135,81.96951,17.935
65,2021-01-03 17:00:00+00:00,19.835,89.37334,18.035
66,2021-01-03 18:00:00+00:00,19.585,88.79306,17.685
67,2021-01-03 19:00:00+00:00,19.335,88.213936,17.335
68,2021-01-03 20:00:00+00:00,19.035,91.885056,17.685
69,2021-01-03 21:00:00+00:00,18.935,93.6319,17.885
70,2021-01-03 22:00:00+00:00,18.935,94.51923,18.035
71,2021-01-03 23:00:00+00:00,18.935,95.41394,18.185
72,2021-01-04 00:00:00+00:00,19.234999,96.02348,18.585
73,2021-01-04 01:00:00+00:00,19.135,96.02049,18.484999
74,2021-01-04 02:00:00+00:00,20.185,91.38028,18.734999
75,2021-01-04 03:00:00+00:00,22.385,80.60148,18.885
76,2021-01-04 04:00:00+00:00,24.535,69.483406,18.585
77,2021-01-04 05:00:00+00:00,26.285,60.49582,18.035
78,2021-01-04 06:00:00+00:00,27.085,56.27744,17.635
79,2021-01-04 07:00:00+00:00,28.185,50.64812,16.984999
80,2021-01-04 08:00:00+00:00,28.935,46.974827,16.484999
81,2021-01-04 09:00:00+00:00,29.085,45.108444,15.985
82,2021-01-04 10:00:00+00:00,28.885,45.633724,15.985
83,2021-01-04 11:00:00+00:00,28.085,49.82533,16.635
84,2021-01-04 12:00:00+00:00,26.685,56.714836,17.385
85,2021-01-04 13:00:00+00:00,25.234999,61.215057,17.234999
86,2021-01-04 14:00:00+00:00,23.885,70.9004,18.285
87,2021-01-04 15:00:00+00:00,23.385,77.77964,19.285
88,2021-01-04 16:00:00+00:00,22.935,81.936386,19.685
89,2021-01-04 17:00:00+00:00,22.335,84.18715,19.535
90,2021-01-04 18:00:00+00:00,21.885,84.927666,19.234999
91,2021-01-04 19:00:00+00:00,21.385,86.47973,19.035
92,2021-01-04 20:00:00+00:00,21.085,88.36074,19.085
93,2021-01-04 21:00:00+00:00,20.835,90.85385,19.285
94,2021-01-04 22:00:00+00:00,20.734999,92.55902,19.484999
95,2021-01-04 23:00:00+00:00,20.635,93.13083,19.484999
96,2021-01-05 00:00:00+00:00,20.885,91.70866,19.484999
97,2021-01-05 01:00:00+00:00,20.835,91.70565,19.435
98,2021-01-05 02:00:00+00:00,21.885,86.25889,19.484999
99,2021-01-05 03:00:00+00:00,23.585,78.78169,19.685
100,2021-01-05 04:00:00+00:00,25.435,72.51931,20.135
101,2021-01-05 05:00:00+00:00,27.185,65.60272,20.185
102,2021-01-05 06:00:00+00:00,28.984999,57.446632,19.734999
103,2021-01-05 07:00:00+00:00,29.335,56.646076,19.835
104,2021-01-05 08:00:00+00:00,28.685,60.106026,20.185
105,2021-01-05 09:00:00+00:00,29.085,59.093323,20.285
106,2021-01-05 10:00:00+00:00,29.785,55.538643,19.935
107,2021-01-05 11:00:00+00:00,29.435,57.198814,20.085
108,2021-01-05 12:00:00+00:00,27.635,65.29221,20.535
109,2021-01-05 13:00:00+00:00,26.435,71.14683,20.785
110,2021-01-05 14:00:00+00:00,25.285,77.580414,21.085
111,2021-01-05 15:00:00+00:00,24.785,81.1626,21.335
112,2021-01-05 16:00:00+00:00,24.585,83.40552,21.585
113,2021-01-05 17:00:00+00:00,24.484999,83.90603,21.585
114,2021-01-05 18:00:00+00:00,24.285,82.86156,21.185
115,2021-01-05 19:00:00+00:00,24.085,82.58393,20.935
116,2021-01-05 20:00:00+00:00,23.785,84.34518,20.984999
117,2021-01-05 21:00:00+00:00,23.385,86.935196,21.085
118,2021-01-05 22:00:00+00:00,23.135,88.25796,21.085
119,2021-01-05 23:00:00+00:00,22.984999,89.336296,21.135
120,2021-01-06 00:00:00+00:00,22.885,90.709724,21.285
121,2021-01-06 01:00:00+00:00,23.035,89.61452,21.234999
122,2021-01-06 02:00:00+00:00,23.135,88.801346,21.185
123,2021-01-06 03:00:00+00:00,23.685,85.90287,21.185
124,2021-01-06 04:00:00+00:00,24.785,79.43792,20.984999
125,2021-01-06 05:00:00+00:00,26.535,70.94645,20.835
126,2021-01-06 06:00:00+00:00,27.885,64.14754,20.484999
127,2021-01-06 07:00:00+00:00,28.285,56.74578,18.885
128,2021-01-06 08:00:00+00:00,28.185,51.94602,17.385
129,2021-01-06 09:00:00+00:00,27.935,52.542233,17.335
130,2021-01-06 10:00:00+00:00,27.335,57.051224,18.085
131,2021-01-06 11:00:00+00:00,26.635,62.892002,18.984999
132,2021-01-06 12:00:00+00:00,25.435,68.36667,19.185
133,2021-01-06 13:00:00+00:00,24.785,69.09805,18.734999
134,2021-01-06 14:00:00+00:00,24.585,69.27592,18.585
135,2021-01-06 15:00:00+00:00,24.085,68.7462,17.984999
136,2021-01-06 16:00:00+00:00,23.685,70.86344,18.085
137,2021-01-06 17:00:00+00:00,22.984999,77.7204,18.885
138,2021-01-06 18:00:00+00:00,22.484999,83.422966,19.535
139,2021-01-06 19:00:00+00:00,22.484999,86.316734,20.085
140,2021-01-06 20:00:00+00:00,22.435,88.199554,20.385
141,2021-01-06 21:00:00+00:00,22.335,87.10743,20.085
142,2021-01-06 22:00:00+00:00,22.234999,87.910576,20.135
