,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,19.0495,81.70792,15.8495
1,2021-01-01 01:00:00+00:00,18.9495,84.34492,16.2495
2,2021-01-01 02:00:00+00:00,20.7495,78.87203,16.9495
3,2021-01-01 03:00:00+00:00,23.3995,69.265205,17.4495
4,2021-01-01 04:00:00+00:00,25.0495,63.93778,17.7495
5,2021-01-01 05:00:00+00:00,26.1995,57.864895,17.2495
6,2021-01-01 06:00:00+00:00,26.8995,54.481647,16.9495
7,2021-01-01 07:00:00+00:00,26.9995,54.334293,16.9995
8,2021-01-01 08:00:00+00:00,26.9495,54.666992,17.0495
9,2021-01-01 09:00:00+00:00,26.5495,57.40266,17.4495
10,2021-01-01 10:00:00+00:00,25.8495,63.510788,18.3995
11,2021-01-01 11:00:00+00:00,24.9495,68.05818,18.6495
12,2021-01-01 12:00:00+00:00,23.4995,73.778,18.5495
13,2021-01-01 13:00:00+00:00,22.9995,79.19025,19.1995
14,2021-01-01 14:00:00+00:00,22.6995,79.14824,18.8995
15,2021-01-01 15:00:00+00:00,22.1495,78.33031,18.1995
16,2021-01-01 16:00:00+00:00,20.9995,83.25155,18.0495
17,2021-01-01 17:00:00+00:00,20.0995,87.45004,17.9495
18,2021-01-01 18:00:00+00:00,19.4495,87.3917,17.2995
19,2021-01-01 19:00:00+00:00,18.9495,86.79389,16.6995
20,2021-01-01 20:00:00+00:00,18.6995,87.32385,16.5495
21,2021-01-01 21:00:00+00:00,18.5995,86.48504,16.2995
22,2021-01-01 22:00:00+00:00,18.2995,86.45606,15.9995
23,2021-01-01 23:00:00+00:00,18.2495,85.35321,15.7495
24,2021-01-02 00:00:00+00:00,18.3495,87.291985,16.1995
25,2021-01-02 01:00:00+00:00,18.1495,88.959274,16.2995
26,2021-01-02 02:00:00+00:00,20.2995,79.31011,16.5995
27,2021-01-02 03:00:00+00:00,23.2995,67.51528,16.9495
28,2021-01-02 04:00:00+00:00,24.9995,62.72858,17.3995
29,2021-01-02 05:00:00+00:00,26.0495,57.646217,17.0495
30,2021-01-02 06:00:00+00:00,26.6995,55.12647,16.9495
31,2021-01-02 07:00:00+00:00,26.9995,53.82015,16.8495
32,2021-01-02 08:00:00+00:00,26.9495,54.32178,16.9495
33,2021-01-02 09:00:00+00:00,26.6495,55.288998,16.9495
34,2021-01-02 10:00:00+00:00,25.9995,58.92457,17.3495
35,2021-01-02 11:00:00+00:00,24.9995,65.762245,18.1495
36,2021-01-02 12:00:00+00:00,23.4495,75.87424,18.9495
37,2021-01-02 13:00:00+00:00,22.8495,80.16208,19.2495
38,2021-01-02 14:00:00+00:00,22.6495,82.1561,19.4495
39,2021-01-02 15:00:00+00:00,22.3495,82.8901,19.2995
40,2021-01-02 16:00:00+00:00,21.5495,86.76516,19.2495
41,2021-01-02 17:00:00+00:00,20.7495,89.44308,18.9495
42,2021-01-02 18:00:00+00:00,20.4495,90.82826,18.8995
43,2021-01-02 19:00:00+00:00,19.9495,92.516106,18.6995
44,2021-01-02 20:00:00+00:00,19.3995,93.06818,18.2495
45,2021-01-02 21:00:00+00:00,19.1495,93.05538,17.9995
46,2021-01-02 22:00:00+00:00,19.0995,92.178696,17.7995
47,2021-01-02 23:00:00+00:00,18.8995,91.299034,17.4495
