,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,14.624,80.599266,11.324
1,2021-01-01 01:00:00+00:00,14.324,83.27088,11.524
2,2021-01-01 02:00:00+00:00,14.824,82.23928,11.824
3,2021-01-01 03:00:00+00:00,17.574001,71.56012,12.374
4,2021-01-01 04:00:00+00:00,21.074001,58.314224,12.574
5,2021-01-01 05:00:00+00:00,23.774,49.164124,12.474
6,2021-01-01 06:00:00+00:00,25.724,40.833603,11.424
7,2021-01-01 07:00:00+00:00,26.824001,37.140865,10.974
8,2021-01-01 08:00:00+00:00,27.574001,33.6983,10.174
9,2021-01-01 09:00:00+00:00,27.924002,31.292706,9.374
10,2021-01-01 10:00:00+00:00,27.874,30.96463,9.174
11,2021-01-01 11:00:00+00:00,26.874,40.08767,12.174
12,2021-01-01 12:00:00+00:00,24.724,41.097134,10.624
13,2021-01-01 13:00:00+00:00,21.374,53.42736,11.524
14,2021-01-01 14:00:00+00:00,20.174002,54.55079,10.724
15,2021-01-01 15:00:00+00:00,18.874,61.33894,11.274
16,2021-01-01 16:00:00+00:00,17.724,68.367035,11.824
17,2021-01-01 17:00:00+00:00,19.574001,58.334568,11.174
18,2021-01-01 18:00:00+00:00,17.324001,68.73927,11.524
19,2021-01-01 19:00:00+00:00,15.974,74.64664,11.474
20,2021-01-01 20:00:00+00:00,15.924,73.41269,11.174
21,2021-01-01 21:00:00+00:00,15.674,74.34869,11.124
22,2021-01-01 22:00:00+00:00,14.874,78.52666,11.174
23,2021-01-01 23:00:00+00:00,14.024,83.235085,11.224
24,2021-01-02 00:00:00+00:00,13.624,90.06021,12.024
25,2021-01-02 01:00:00+00:00,13.574,90.35354,12.024
26,2021-01-02 02:00:00+00:00,14.474,85.79595,12.124
27,2021-01-02 03:00:00+00:00,17.824001,71.60647,12.624
28,2021-01-02 04:00:00+00:00,21.374,57.06358,12.524
29,2021-01-02 05:00:00+00:00,23.724,49.799706,12.624
30,2021-01-02 06:00:00+00:00,25.524,44.280766,12.474
31,2021-01-02 07:00:00+00:00,26.724,39.782845,11.924
32,2021-01-02 08:00:00+00:00,27.524,36.969227,11.524
33,2021-01-02 09:00:00+00:00,27.874,36.340637,11.574
34,2021-01-02 10:00:00+00:00,27.874,36.46087,11.624
35,2021-01-02 11:00:00+00:00,27.524,38.842564,12.274
36,2021-01-02 12:00:00+00:00,26.024,42.287514,12.224
37,2021-01-02 13:00:00+00:00,24.374,47.424656,12.474
38,2021-01-02 14:00:00+00:00,20.124,64.93718,13.324
39,2021-01-02 15:00:00+00:00,19.924002,60.180332,11.974
40,2021-01-02 16:00:00+00:00,18.074001,69.5709,12.424
41,2021-01-02 17:00:00+00:00,18.324001,69.16498,12.574
42,2021-01-02 18:00:00+00:00,17.274,71.740005,12.124
43,2021-01-02 19:00:00+00:00,16.324001,74.46006,11.774
44,2021-01-02 20:00:00+00:00,15.974,77.151,11.974
45,2021-01-02 21:00:00+00:00,15.174,80.40823,11.824
46,2021-01-02 22:00:00+00:00,14.474,83.84025,11.774
47,2021-01-02 23:00:00+00:00,13.824,86.297615,11.574
48,2021-01-03 00:00:00+00:00,13.874,90.970375,12.424
49,2021-01-03 01:00:00+00:00,14.774,86.391624,12.524
50,2021-01-03 02:00:00+00:00,15.874,81.299,12.674
51,2021-01-03 03:00:00+00:00,18.624,69.90619,13.024
52,2021-01-03 04:00:00+00:00,20.974,59.44735,12.774
53,2021-01-03 05:00:00+00:00,23.824001,49.66339,12.674
54,2021-01-03 06:00:00+00:00,25.974,42.552444,12.274
55,2021-01-03 07:00:00+00:00,27.474,37.819294,11.824
56,2021-01-03 08:00:00+00:00,28.374,35.297367,11.574
57,2021-01-03 09:00:00+00:00,28.824001,33.93541,11.374
58,2021-01-03 10:00:00+00:00,28.924002,33.075344,11.074
59,2021-01-03 11:00:00+00:00,27.924002,44.076984,14.574
60,2021-01-03 12:00:00+00:00,24.324001,47.100826,12.324
61,2021-01-03 13:00:00+00:00,21.774,55.86703,12.574
62,2021-01-03 14:00:00+00:00,20.424002,62.305054,12.974
63,2021-01-03 15:00:00+00:00,19.174002,66.0175,12.674
64,2021-01-03 16:00:00+00:00,18.024,70.71131,12.624
65,2021-01-03 17:00:00+00:00,19.174002,63.676308,12.124
66,2021-01-03 18:00:00+00:00,18.574001,66.76252,12.274
67,2021-01-03 19:00:00+00:00,17.474,70.374695,12.024
68,2021-01-03 20:00:00+00:00,17.624,68.572716,11.774
69,2021-01-03 21:00:00+00:00,16.724,71.40172,11.524
70,2021-01-03 22:00:00+00:00,16.474,71.82887,11.374
71,2021-01-03 23:00:00+00:00,16.574001,71.37363,11.374
72,2021-01-04 00:00:00+00:00,15.974,80.78137,12.674
73,2021-01-04 01:00:00+00:00,16.524,77.999565,12.674
74,2021-01-04 02:00:00+00:00,17.224,75.10337,12.774
75,2021-01-04 03:00:00+00:00,19.524,66.52452,13.124
76,2021-01-04 04:00:00+00:00,22.374,55.652275,13.074
77,2021-01-04 05:00:00+00:00,24.474,47.763725,12.674
78,2021-01-04 06:00:00+00:00,26.274,40.450466,11.774
79,2021-01-04 07:00:00+00:00,27.624,35.67457,11.074
80,2021-01-04 08:00:00+00:00,28.224,33.32138,10.574
81,2021-01-04 09:00:00+00:00,28.574001,31.790558,10.174
82,2021-01-04 10:00:00+00:00,28.424002,31.117378,9.724
83,2021-01-04 11:00:00+00:00,27.474,34.581467,10.474
84,2021-01-04 12:00:00+00:00,23.974,52.87876,13.774
85,2021-01-04 13:00:00+00:00,23.374,47.62287,11.624
86,2021-01-04 14:00:00+00:00,21.974,52.01616,11.674
87,2021-01-04 15:00:00+00:00,19.224,64.107475,12.274
88,2021-01-04 16:00:00+00:00,18.124,69.12547,12.374
89,2021-01-04 17:00:00+00:00,17.674002,69.26413,11.974
90,2021-01-04 18:00:00+00:00,17.574001,69.47295,11.924
91,2021-01-04 19:00:00+00:00,17.024,72.1677,11.974
92,2021-01-04 20:00:00+00:00,16.824001,72.84802,11.924
93,2021-01-04 21:00:00+00:00,16.874,71.90273,11.774
94,2021-01-04 22:00:00+00:00,16.474,73.50971,11.724
95,2021-01-04 23:00:00+00:00,16.224,74.44297,11.674
96,2021-01-05 00:00:00+00:00,16.574001,77.24416,12.574
97,2021-01-05 01:00:00+00:00,17.174002,74.3606,12.574
98,2021-01-05 02:00:00+00:00,17.324001,74.87472,12.824
99,2021-01-05 03:00:00+00:00,20.274,64.33782,13.324
100,2021-01-05 04:00:00+00:00,23.324001,52.36799,13.024
101,2021-01-05 05:00:00+00:00,25.524,46.205063,13.124
102,2021-01-05 06:00:00+00:00,27.374,41.56396,13.174
103,2021-01-05 07:00:00+00:00,28.974,35.581852,12.224
104,2021-01-05 08:00:00+00:00,29.924002,31.22085,11.074
105,2021-01-05 09:00:00+00:00,30.324001,28.355942,9.974
106,2021-01-05 10:00:00+00:00,30.174002,28.220434,9.774
107,2021-01-05 11:00:00+00:00,28.974,39.50251,13.824
108,2021-01-05 12:00:00+00:00,26.024,42.566322,12.324
109,2021-01-05 13:00:00+00:00,23.874,54.418976,14.124
110,2021-01-05 14:00:00+00:00,22.574001,57.731644,13.824
111,2021-01-05 15:00:00+00:00,22.324001,59.76695,14.124
112,2021-01-05 16:00:00+00:00,22.124,60.303448,14.074
113,2021-01-05 17:00:00+00:00,21.824001,60.429146,13.824
114,2021-01-05 18:00:00+00:00,21.774,59.443455,13.524
115,2021-01-05 19:00:00+00:00,21.574001,59.202675,13.274
116,2021-01-05 20:00:00+00:00,21.424002,59.94382,13.324
117,2021-01-05 21:00:00+00:00,21.174002,61.667606,13.524
