,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,4.996,97.24897,4.5959997
1,2021-01-01 01:00:00+00:00,5.196,97.933685,4.896
2,2021-01-01 02:00:00+00:00,5.296,97.25553,4.896
3,2021-01-01 03:00:00+00:00,5.746,93.94007,4.8459997
4,2021-01-01 04:00:00+00:00,6.796,97.287964,6.396
5,2021-01-01 05:00:00+00:00,8.246,96.98812,7.796
6,2021-01-01 06:00:00+00:00,10.546,88.92454,8.796
7,2021-01-01 07:00:00+00:00,13.096,75.669,8.896
8,2021-01-01 08:00:00+00:00,14.746,65.72726,8.396
9,2021-01-01 09:00:00+00:00,15.496,61.580982,8.146
10,2021-01-01 10:00:00+00:00,15.646,59.964703,7.896
11,2021-01-01 11:00:00+00:00,14.996,64.67757,8.396
12,2021-01-01 12:00:00+00:00,13.596,67.51923,7.696
13,2021-01-01 13:00:00+00:00,10.996,75.31663,6.796
14,2021-01-01 14:00:00+00:00,9.646,78.81192,6.146
15,2021-01-01 15:00:00+00:00,10.296,77.033455,6.446
16,2021-01-01 16:00:00+00:00,5.8459997,92.96776,4.796
17,2021-01-01 17:00:00+00:00,5.696,96.926956,5.246
18,2021-01-01 18:00:00+00:00,5.396,97.257706,4.996
19,2021-01-01 19:00:00+00:00,5.396,96.91965,4.946
20,2021-01-01 20:00:00+00:00,5.646,95.58643,4.996
21,2021-01-01 21:00:00+00:00,6.946,91.74917,5.696
22,2021-01-01 22:00:00+00:00,5.8459997,94.272484,4.996
23,2021-01-01 23:00:00+00:00,6.8459997,91.74282,5.5959997
24,2021-01-02 00:00:00+00:00,7.046,95.30598,6.3459997
25,2021-01-02 01:00:00+00:00,7.646,93.06501,6.5959997
26,2021-01-02 02:00:00+00:00,7.746,92.43307,6.5959997
27,2021-01-02 03:00:00+00:00,8.946,83.758896,6.3459997
28,2021-01-02 04:00:00+00:00,11.196,73.815636,6.696
29,2021-01-02 05:00:00+00:00,10.946,82.58055,8.096
30,2021-01-02 06:00:00+00:00,12.646,77.66673,8.846
31,2021-01-02 07:00:00+00:00,14.596,72.20182,9.646
32,2021-01-02 08:00:00+00:00,15.696,66.600334,9.496
33,2021-01-02 09:00:00+00:00,15.246,75.0195,10.846
34,2021-01-02 10:00:00+00:00,16.146,68.27406,10.296
35,2021-01-02 11:00:00+00:00,15.496,72.367035,10.546
36,2021-01-02 12:00:00+00:00,15.596,74.33527,11.046
37,2021-01-02 13:00:00+00:00,13.896,80.232414,10.546
38,2021-01-02 14:00:00+00:00,12.896,83.099525,10.096
39,2021-01-02 15:00:00+00:00,12.596,82.231995,9.646
40,2021-01-02 16:00:00+00:00,12.946,81.7274,9.896
41,2021-01-02 17:00:00+00:00,13.196,80.403915,9.896
42,2021-01-02 18:00:00+00:00,11.996,84.96629,9.546
43,2021-01-02 19:00:00+00:00,12.046,84.68704,9.546
44,2021-01-02 20:00:00+00:00,11.396,87.80738,9.446
45,2021-01-02 21:00:00+00:00,11.296,87.50359,9.296
46,2021-01-02 22:00:00+00:00,10.896,88.65428,9.096
47,2021-01-02 23:00:00+00:00,10.396,89.515175,8.746
48,2021-01-03 00:00:00+00:00,9.896,90.69708,8.446
49,2021-01-03 01:00:00+00:00,11.146,82.88605,8.346
50,2021-01-03 02:00:00+00:00,10.896,83.703156,8.246
51,2021-01-03 03:00:00+00:00,12.196,81.081635,9.046
52,2021-01-03 04:00:00+00:00,13.396,79.895355,9.996
53,2021-01-03 05:00:00+00:00,15.196,69.233116,9.596
54,2021-01-03 06:00:00+00:00,16.496,69.0305,10.796
55,2021-01-03 07:00:00+00:00,18.546,63.957695,11.596
56,2021-01-03 08:00:00+00:00,18.746,68.34829,12.796
57,2021-01-03 09:00:00+00:00,18.846,68.816765,12.996
58,2021-01-03 10:00:00+00:00,19.346,68.02385,13.296
59,2021-01-03 11:00:00+00:00,18.646,71.75817,13.446
60,2021-01-03 12:00:00+00:00,16.296,77.201065,12.296
61,2021-01-03 13:00:00+00:00,15.146,82.550644,12.196
62,2021-01-03 14:00:00+00:00,13.946,89.493965,12.246
63,2021-01-03 15:00:00+00:00,13.146,92.43271,11.946
64,2021-01-03 16:00:00+00:00,12.946,93.34009,11.896
65,2021-01-03 17:00:00+00:00,12.996,93.3426,11.946
66,2021-01-03 18:00:00+00:00,12.846,94.26255,11.946
67,2021-01-03 19:00:00+00:00,12.846,94.26255,11.946
68,2021-01-03 20:00:00+00:00,12.646,94.25381,11.746
69,2021-01-03 21:00:00+00:00,12.746,93.63848,11.746
70,2021-01-03 22:00:00+00:00,12.646,93.32495,11.596
71,2021-01-03 23:00:00+00:00,12.946,92.72667,11.796
72,2021-01-04 00:00:00+00:00,14.146,90.69109,12.646
73,2021-01-04 01:00:00+00:00,14.096,90.094894,12.496
74,2021-01-04 02:00:00+00:00,13.646,90.95505,12.196
75,2021-01-04 03:00:00+00:00,14.396,88.36275,12.496
76,2021-01-04 04:00:00+00:00,16.396,83.78706,13.646
77,2021-01-04 05:00:00+00:00,17.696,78.174904,13.846
78,2021-01-04 06:00:00+00:00,18.246,76.50366,14.046
79,2021-01-04 07:00:00+00:00,18.696,77.56943,14.696
80,2021-01-04 08:00:00+00:00,19.046,79.13278,15.346
81,2021-01-04 09:00:00+00:00,19.396,75.94877,15.046
82,2021-01-04 10:00:00+00:00,19.046,77.62244,15.046
83,2021-01-04 11:00:00+00:00,18.496,83.75736,15.696
84,2021-01-04 12:00:00+00:00,17.696,83.66567,14.896
85,2021-01-04 13:00:00+00:00,17.646,82.057045,14.546
86,2021-01-04 14:00:00+00:00,16.746,87.70857,14.696
87,2021-01-04 15:00:00+00:00,16.396,92.317345,15.146
88,2021-01-04 16:00:00+00:00,16.396,90.844696,14.896
89,2021-01-04 17:00:00+00:00,16.246,90.83457,14.746
90,2021-01-04 18:00:00+00:00,15.646,91.67968,14.296
91,2021-01-04 19:00:00+00:00,15.896,85.661514,13.496
92,2021-01-04 20:00:00+00:00,15.796,86.49173,13.546
93,2021-01-04 21:00:00+00:00,15.246,88.14712,13.296
94,2021-01-04 22:00:00+00:00,15.246,84.480896,12.646
95,2021-01-04 23:00:00+00:00,15.646,80.472595,12.296
96,2021-01-05 00:00:00+00:00,14.896,89.275505,13.146
97,2021-01-05 01:00:00+00:00,15.746,79.959305,12.296
98,2021-01-05 02:00:00+00:00,15.945999,74.889084,11.496
99,2021-01-05 03:00:00+00:00,16.546,71.60496,11.396
100,2021-01-05 04:00:00+00:00,17.146,72.666435,12.196
101,2021-01-05 05:00:00+00:00,17.246,74.1296,12.596
102,2021-01-05 06:00:00+00:00,18.346,70.081345,12.796
103,2021-01-05 07:00:00+00:00,18.396,71.013374,13.046
104,2021-01-05 08:00:00+00:00,18.446,78.53902,14.646
105,2021-01-05 09:00:00+00:00,18.646,79.84238,15.096
106,2021-01-05 10:00:00+00:00,18.296,79.53706,14.696
107,2021-01-05 11:00:00+00:00,17.596,77.90649,13.696
108,2021-01-05 12:00:00+00:00,16.496,69.72192,10.946
109,2021-01-05 13:00:00+00:00,15.996,70.79268,10.696
110,2021-01-05 14:00:00+00:00,15.996,67.11182,9.896
111,2021-01-05 15:00:00+00:00,15.446,69.0512,9.796
112,2021-01-05 16:00:00+00:00,14.896,72.25705,9.946
113,2021-01-05 17:00:00+00:00,14.646,74.66843,10.196
114,2021-01-05 18:00:00+00:00,14.796,75.44486,10.496
115,2021-01-05 19:00:00+00:00,14.346,77.66837,10.496
116,2021-01-05 20:00:00+00:00,12.946,85.35327,10.546
